gene_symbol,ensembl_id,score,disease_name,efo_id
TP53,ENSG00000141510,0.7994574255119729,adrenal cortex carcinoma,EFO_1000796
ATRX,ENSG00000085224,0.5624419917938577,adrenal cortex carcinoma,EFO_1000796
CTNNB1,ENSG00000168036,0.5388970116085952,adrenal cortex carcinoma,EFO_1000796
PRKAR1A,ENSG00000108946,0.46087357861056744,adrenal cortex carcinoma,EFO_1000796
MEN1,ENSG00000133895,0.45099645664288346,adrenal cortex carcinoma,EFO_1000796
GNAI2,ENSG00000114353,0.4157773365202895,adrenal cortex carcinoma,EFO_1000796
TOP2A,ENSG00000131747,0.39809396295400157,adrenal cortex carcinoma,EFO_1000796
CYP11B1,ENSG00000160882,0.3911972312640586,adrenal cortex carcinoma,EFO_1000796
CYP11A1,ENSG00000140459,0.37754343218250136,adrenal cortex carcinoma,EFO_1000796
TOP2B,ENSG00000077097,0.36062780931567234,adrenal cortex carcinoma,EFO_1000796
RB1,ENSG00000139687,0.3372538554206514,adrenal cortex carcinoma,EFO_1000796
EGFR,ENSG00000146648,0.334576268968271,adrenal cortex carcinoma,EFO_1000796
NF1,ENSG00000196712,0.32869939170160034,adrenal cortex carcinoma,EFO_1000796
CSF3R,ENSG00000119535,0.32430632248582586,adrenal cortex carcinoma,EFO_1000796
DAXX,ENSG00000204209,0.3166947620063127,adrenal cortex carcinoma,EFO_1000796
KIT,ENSG00000157404,0.31439064539720546,adrenal cortex carcinoma,EFO_1000796
BCOR,ENSG00000183337,0.3136296009152717,adrenal cortex carcinoma,EFO_1000796
KDR,ENSG00000128052,0.30901425261872895,adrenal cortex carcinoma,EFO_1000796
ATM,ENSG00000149311,0.3090103974991728,adrenal cortex carcinoma,EFO_1000796
CHEK2,ENSG00000183765,0.3082485796983436,adrenal cortex carcinoma,EFO_1000796
CDKN2A,ENSG00000147889,0.3056775938496533,adrenal cortex carcinoma,EFO_1000796
JAK2,ENSG00000096968,0.3056425398242483,adrenal cortex carcinoma,EFO_1000796
KMT2A,ENSG00000118058,0.3048120076576599,adrenal cortex carcinoma,EFO_1000796
KMT2C,ENSG00000055609,0.30457907483185975,adrenal cortex carcinoma,EFO_1000796
POLE,ENSG00000177084,0.3040115592218495,adrenal cortex carcinoma,EFO_1000796
MET,ENSG00000105976,0.30390759845068127,adrenal cortex carcinoma,EFO_1000796
RET,ENSG00000165731,0.30252002920819265,adrenal cortex carcinoma,EFO_1000796
NOTCH1,ENSG00000148400,0.30152155791377216,adrenal cortex carcinoma,EFO_1000796
EZH2,ENSG00000106462,0.298758526773744,adrenal cortex carcinoma,EFO_1000796
BRAF,ENSG00000157764,0.2986088134632461,adrenal cortex carcinoma,EFO_1000796
PTCH1,ENSG00000185920,0.29730903460786845,adrenal cortex carcinoma,EFO_1000796
CDK4,ENSG00000135446,0.29712709813139593,adrenal cortex carcinoma,EFO_1000796
SMARCB1,ENSG00000099956,0.29545003503400524,adrenal cortex carcinoma,EFO_1000796
TERT,ENSG00000164362,0.2939000044875196,adrenal cortex carcinoma,EFO_1000796
XPO1,ENSG00000082898,0.29266104742844823,adrenal cortex carcinoma,EFO_1000796
ASXL1,ENSG00000171456,0.29224527009192797,adrenal cortex carcinoma,EFO_1000796
IGF1R,ENSG00000140443,0.2908192373727428,adrenal cortex carcinoma,EFO_1000796
BRCA1,ENSG00000012048,0.29077485586245966,adrenal cortex carcinoma,EFO_1000796
BRCA2,ENSG00000139618,0.29069569389741584,adrenal cortex carcinoma,EFO_1000796
CDH1,ENSG00000039068,0.2902197183317268,adrenal cortex carcinoma,EFO_1000796
AKT1,ENSG00000142208,0.2895659987175693,adrenal cortex carcinoma,EFO_1000796
AR,ENSG00000169083,0.2857986059228385,adrenal cortex carcinoma,EFO_1000796
TSC1,ENSG00000165699,0.2845861382478705,adrenal cortex carcinoma,EFO_1000796
MSH6,ENSG00000116062,0.28407511302110855,adrenal cortex carcinoma,EFO_1000796
SETD2,ENSG00000181555,0.2835962770610541,adrenal cortex carcinoma,EFO_1000796
MSH2,ENSG00000095002,0.2833700011418389,adrenal cortex carcinoma,EFO_1000796
APC,ENSG00000134982,0.28310645012174984,adrenal cortex carcinoma,EFO_1000796
FGFR2,ENSG00000066468,0.28265082583462736,adrenal cortex carcinoma,EFO_1000796
TGFBR2,ENSG00000163513,0.28244573977687487,adrenal cortex carcinoma,EFO_1000796
FANCA,ENSG00000187741,0.28224687826845946,adrenal cortex carcinoma,EFO_1000796
BUB1B,ENSG00000156970,0.28206073229473827,adrenal cortex carcinoma,EFO_1000796
H3C2,ENSG00000286522,0.28173662623771606,adrenal cortex carcinoma,EFO_1000796
ARID1A,ENSG00000117713,0.28151092115965276,adrenal cortex carcinoma,EFO_1000796
AXIN1,ENSG00000103126,0.28135806353934106,adrenal cortex carcinoma,EFO_1000796
