gene_symbol,ensembl_id,score,disease_name,efo_id
FGFR3,ENSG00000068078,0.5307226567375308,bladder transitional cell carcinoma,EFO_0006544
TP53,ENSG00000141510,0.49520419316690273,bladder transitional cell carcinoma,EFO_0006544
CDKN2A,ENSG00000147889,0.47535390730696664,bladder transitional cell carcinoma,EFO_0006544
POLD1,ENSG00000062822,0.4669719478418569,bladder transitional cell carcinoma,EFO_0006544
ERBB3,ENSG00000065361,0.46061760328379026,bladder transitional cell carcinoma,EFO_0006544
POLE,ENSG00000177084,0.4603651376000859,bladder transitional cell carcinoma,EFO_0006544
ARID1A,ENSG00000117713,0.4574887011157088,bladder transitional cell carcinoma,EFO_0006544
CD274,ENSG00000120217,0.45617901441245085,bladder transitional cell carcinoma,EFO_0006544
KDM6A,ENSG00000147050,0.44916911845716523,bladder transitional cell carcinoma,EFO_0006544
ERBB2,ENSG00000141736,0.4437418292590113,bladder transitional cell carcinoma,EFO_0006544
HRAS,ENSG00000174775,0.4421983297254224,bladder transitional cell carcinoma,EFO_0006544
STAG2,ENSG00000101972,0.4415785429243503,bladder transitional cell carcinoma,EFO_0006544
TSC1,ENSG00000165699,0.4413264945357137,bladder transitional cell carcinoma,EFO_0006544
KMT2D,ENSG00000167548,0.44119587514237874,bladder transitional cell carcinoma,EFO_0006544
PIK3CA,ENSG00000121879,0.4409655430138251,bladder transitional cell carcinoma,EFO_0006544
BRCA1,ENSG00000012048,0.4351431407335301,bladder transitional cell carcinoma,EFO_0006544
ERCC2,ENSG00000104884,0.43206025181698104,bladder transitional cell carcinoma,EFO_0006544
RB1,ENSG00000139687,0.42006158487587203,bladder transitional cell carcinoma,EFO_0006544
RBM10,ENSG00000182872,0.41744044586637064,bladder transitional cell carcinoma,EFO_0006544
KRAS,ENSG00000133703,0.41576923404773747,bladder transitional cell carcinoma,EFO_0006544
POLE2,ENSG00000100479,0.4091423963514937,bladder transitional cell carcinoma,EFO_0006544
POLD2,ENSG00000106628,0.39540829564605645,bladder transitional cell carcinoma,EFO_0006544
TUBB6,ENSG00000176014,0.39194265059373606,bladder transitional cell carcinoma,EFO_0006544
POLD3,ENSG00000077514,0.39191073562681944,bladder transitional cell carcinoma,EFO_0006544
POLD4,ENSG00000175482,0.39191073562681944,bladder transitional cell carcinoma,EFO_0006544
TUBB3,ENSG00000258947,0.3913523494369481,bladder transitional cell carcinoma,EFO_0006544
TUBB,ENSG00000196230,0.38968924009086686,bladder transitional cell carcinoma,EFO_0006544
POLA1,ENSG00000101868,0.38932367664402656,bladder transitional cell carcinoma,EFO_0006544
POLA2,ENSG00000014138,0.38932367664402656,bladder transitional cell carcinoma,EFO_0006544
RRM1,ENSG00000167325,0.38932367664402656,bladder transitional cell carcinoma,EFO_0006544
PRIM2,ENSG00000146143,0.38932367664402656,bladder transitional cell carcinoma,EFO_0006544
PRIM1,ENSG00000198056,0.38932367664402656,bladder transitional cell carcinoma,EFO_0006544
POLE3,ENSG00000148229,0.38932367664402656,bladder transitional cell carcinoma,EFO_0006544
TUBB1,ENSG00000101162,0.389227265272511,bladder transitional cell carcinoma,EFO_0006544
TUBB2A,ENSG00000137267,0.389227265272511,bladder transitional cell carcinoma,EFO_0006544
TUBB8,ENSG00000261456,0.389227265272511,bladder transitional cell carcinoma,EFO_0006544
TUBB4B,ENSG00000188229,0.389227265272511,bladder transitional cell carcinoma,EFO_0006544
TUBB4A,ENSG00000104833,0.389227265272511,bladder transitional cell carcinoma,EFO_0006544
TUBB2B,ENSG00000137285,0.389227265272511,bladder transitional cell carcinoma,EFO_0006544
MYC,ENSG00000136997,0.3891256532110312,bladder transitional cell carcinoma,EFO_0006544
PDCD1,ENSG00000188389,0.3805259243348975,bladder transitional cell carcinoma,EFO_0006544
ATM,ENSG00000149311,0.3732445124157665,bladder transitional cell carcinoma,EFO_0006544
EP300,ENSG00000100393,0.3719252463642733,bladder transitional cell carcinoma,EFO_0006544
CREBBP,ENSG00000005339,0.3705961992850847,bladder transitional cell carcinoma,EFO_0006544
FAT1,ENSG00000083857,0.34749745836729085,bladder transitional cell carcinoma,EFO_0006544
MTOR,ENSG00000198793,0.3448273732880311,bladder transitional cell carcinoma,EFO_0006544
RUNX1,ENSG00000159216,0.32453730989500373,bladder transitional cell carcinoma,EFO_0006544
RHOA,ENSG00000067560,0.3245321768414665,bladder transitional cell carcinoma,EFO_0006544
LATS2,ENSG00000150457,0.32430632248582586,bladder transitional cell carcinoma,EFO_0006544
TOP1,ENSG00000198900,0.31506682611870823,bladder transitional cell carcinoma,EFO_0006544
EGFR,ENSG00000146648,0.30982049293106534,bladder transitional cell carcinoma,EFO_0006544
FGFR1,ENSG00000077782,0.30963709199727996,bladder transitional cell carcinoma,EFO_0006544
FGFR2,ENSG00000066468,0.30553722517937043,bladder transitional cell carcinoma,EFO_0006544
KDR,ENSG00000128052,0.305443365940216,bladder transitional cell carcinoma,EFO_0006544
FGFR4,ENSG00000160867,0.30350975607950537,bladder transitional cell carcinoma,EFO_0006544
PIK3CB,ENSG00000051382,0.3023487570334973,bladder transitional cell carcinoma,EFO_0006544
GATA3,ENSG00000107485,0.30139921415262866,bladder transitional cell carcinoma,EFO_0006544
FLT4,ENSG00000037280,0.30083800171334724,bladder transitional cell carcinoma,EFO_0006544
YAP1,ENSG00000137693,0.29956515637135944,bladder transitional cell carcinoma,EFO_0006544
PDGFRA,ENSG00000134853,0.29825343812607047,bladder transitional cell carcinoma,EFO_0006544
SRC,ENSG00000197122,0.2981924614819469,bladder transitional cell carcinoma,EFO_0006544
TYMS,ENSG00000176890,0.2976349763060799,bladder transitional cell carcinoma,EFO_0006544
EZH2,ENSG00000106462,0.29757539054173204,bladder transitional cell carcinoma,EFO_0006544
PDGFRB,ENSG00000113721,0.29743445432621823,bladder transitional cell carcinoma,EFO_0006544
LCK,ENSG00000182866,0.29738858973629007,bladder transitional cell carcinoma,EFO_0006544
APC,ENSG00000134982,0.29723889947772114,bladder transitional cell carcinoma,EFO_0006544
RET,ENSG00000165731,0.297064637024159,bladder transitional cell carcinoma,EFO_0006544
CDH1,ENSG00000039068,0.2970133483334975,bladder transitional cell carcinoma,EFO_0006544
ATR,ENSG00000175054,0.296896113173137,bladder transitional cell carcinoma,EFO_0006544
ESR1,ENSG00000091831,0.2967792537033981,bladder transitional cell carcinoma,EFO_0006544
KIT,ENSG00000157404,0.2967710719889687,bladder transitional cell carcinoma,EFO_0006544
CSF3R,ENSG00000119535,0.29671558938362347,bladder transitional cell carcinoma,EFO_0006544
WWTR1,ENSG00000018408,0.29664429697338335,bladder transitional cell carcinoma,EFO_0006544
ERBB4,ENSG00000178568,0.2963254773147896,bladder transitional cell carcinoma,EFO_0006544
PIK3R1,ENSG00000145675,0.29621597217266077,bladder transitional cell carcinoma,EFO_0006544
AKT1,ENSG00000142208,0.2962001458041626,bladder transitional cell carcinoma,EFO_0006544
SMARCB1,ENSG00000099956,0.29612200877596434,bladder transitional cell carcinoma,EFO_0006544
