gene_symbol,ensembl_id,score,disease_name,efo_id
BRCA2,ENSG00000139618,0.8920025177755546,breast carcinoma,EFO_0000305
BRCA1,ENSG00000012048,0.8770645154878722,breast carcinoma,EFO_0000305
PALB2,ENSG00000083093,0.8669461197843215,breast carcinoma,EFO_0000305
TP53,ENSG00000141510,0.8611900423830772,breast carcinoma,EFO_0000305
PIK3CA,ENSG00000121879,0.8500211451456466,breast carcinoma,EFO_0000305
CHEK2,ENSG00000183765,0.840733633390303,breast carcinoma,EFO_0000305
ATM,ENSG00000149311,0.8358978368866582,breast carcinoma,EFO_0000305
RAD51C,ENSG00000108384,0.8262362655472515,breast carcinoma,EFO_0000305
CDH1,ENSG00000039068,0.8230563738471497,breast carcinoma,EFO_0000305
ESR1,ENSG00000091831,0.8206878859344839,breast carcinoma,EFO_0000305
AKT1,ENSG00000142208,0.8145231758920202,breast carcinoma,EFO_0000305
ERBB2,ENSG00000141736,0.8125237557221846,breast carcinoma,EFO_0000305
PTEN,ENSG00000171862,0.7853070846668769,breast carcinoma,EFO_0000305
RAD51D,ENSG00000185379,0.7816867286410633,breast carcinoma,EFO_0000305
BRIP1,ENSG00000136492,0.7804310107050045,breast carcinoma,EFO_0000305
MAP3K1,ENSG00000095015,0.7711164613801046,breast carcinoma,EFO_0000305
KRAS,ENSG00000133703,0.7540484663763255,breast carcinoma,EFO_0000305
TBX3,ENSG00000135111,0.7494741302696356,breast carcinoma,EFO_0000305
FGFR2,ENSG00000066468,0.7477585708852931,breast carcinoma,EFO_0000305
GATA3,ENSG00000107485,0.738734759289243,breast carcinoma,EFO_0000305
BARD1,ENSG00000138376,0.7361085846722644,breast carcinoma,EFO_0000305
FOXA1,ENSG00000129514,0.7194099346339987,breast carcinoma,EFO_0000305
KMT2C,ENSG00000055609,0.7112037939386504,breast carcinoma,EFO_0000305
MAP2K4,ENSG00000065559,0.7073210684109487,breast carcinoma,EFO_0000305
NCOR1,ENSG00000141027,0.7017943838506553,breast carcinoma,EFO_0000305
POLD1,ENSG00000062822,0.6957043900027293,breast carcinoma,EFO_0000305
NF1,ENSG00000196712,0.6926586240359802,breast carcinoma,EFO_0000305
PPM1D,ENSG00000170836,0.6869914692728277,breast carcinoma,EFO_0000305
CBFB,ENSG00000067955,0.6868755414024771,breast carcinoma,EFO_0000305
ARID1A,ENSG00000117713,0.6844881460046636,breast carcinoma,EFO_0000305
ERBB4,ENSG00000178568,0.6841804082518881,breast carcinoma,EFO_0000305
CDK6,ENSG00000105810,0.6838330477098032,breast carcinoma,EFO_0000305
FBXO11,ENSG00000138081,0.6812603642726514,breast carcinoma,EFO_0000305
EGFR,ENSG00000146648,0.6787361250312951,breast carcinoma,EFO_0000305
CDK4,ENSG00000135446,0.6782750933621571,breast carcinoma,EFO_0000305
POLE,ENSG00000177084,0.6779325558575596,breast carcinoma,EFO_0000305
RAD51B,ENSG00000182185,0.6724928137402846,breast carcinoma,EFO_0000305
MSH2,ENSG00000095002,0.6690632810239144,breast carcinoma,EFO_0000305
MSH6,ENSG00000116062,0.6668071832284661,breast carcinoma,EFO_0000305
MLH1,ENSG00000076242,0.6642324346506225,breast carcinoma,EFO_0000305
FOXP1,ENSG00000114861,0.6625802460692553,breast carcinoma,EFO_0000305
EBF1,ENSG00000164330,0.6594531910810084,breast carcinoma,EFO_0000305
TERT,ENSG00000164362,0.6575890033989762,breast carcinoma,EFO_0000305
NOTCH2,ENSG00000134250,0.6563784586328375,breast carcinoma,EFO_0000305
RAD50,ENSG00000113522,0.6561404856578053,breast carcinoma,EFO_0000305
CUX1,ENSG00000257923,0.6554525953481624,breast carcinoma,EFO_0000305
NBN,ENSG00000104320,0.6531688364327538,breast carcinoma,EFO_0000305
SETBP1,ENSG00000152217,0.6508297903262166,breast carcinoma,EFO_0000305
CDC73,ENSG00000134371,0.6497521256796108,breast carcinoma,EFO_0000305
RB1,ENSG00000139687,0.6491963224961251,breast carcinoma,EFO_0000305
C11orf65,ENSG00000166323,0.646551454630616,breast carcinoma,EFO_0000305
FHIT,ENSG00000189283,0.6440903303159997,breast carcinoma,EFO_0000305
PMS2,ENSG00000122512,0.6435230888992151,breast carcinoma,EFO_0000305
SF3B1,ENSG00000115524,0.6430433972969383,breast carcinoma,EFO_0000305
FANCD2,ENSG00000144554,0.6423703862812151,breast carcinoma,EFO_0000305
MLLT10,ENSG00000078403,0.6399547487242191,breast carcinoma,EFO_0000305
H3C2,ENSG00000286522,0.6393582901392038,breast carcinoma,EFO_0000305
TCF7L2,ENSG00000148737,0.6352746282271514,breast carcinoma,EFO_0000305
AR,ENSG00000169083,0.6345430723239994,breast carcinoma,EFO_0000305
