gene_symbol,ensembl_id,score,disease_name,efo_id
PIK3CA,ENSG00000121879,0.6139631605361854,cervical squamous cell carcinoma,EFO_1000172
FBXW7,ENSG00000109670,0.5702603254948387,cervical squamous cell carcinoma,EFO_1000172
KMT2C,ENSG00000055609,0.5548830873807815,cervical squamous cell carcinoma,EFO_1000172
EP300,ENSG00000100393,0.5338229938509184,cervical squamous cell carcinoma,EFO_1000172
KMT2D,ENSG00000167548,0.5328847796068502,cervical squamous cell carcinoma,EFO_1000172
MAPK1,ENSG00000100030,0.5119626129338338,cervical squamous cell carcinoma,EFO_1000172
TP53,ENSG00000141510,0.5085853088397554,cervical squamous cell carcinoma,EFO_1000172
PTEN,ENSG00000171862,0.5058895882243919,cervical squamous cell carcinoma,EFO_1000172
FAT1,ENSG00000083857,0.5048078583124891,cervical squamous cell carcinoma,EFO_1000172
STK11,ENSG00000118046,0.5038313503956916,cervical squamous cell carcinoma,EFO_1000172
NOTCH1,ENSG00000148400,0.4956609400106071,cervical squamous cell carcinoma,EFO_1000172
ERBB2,ENSG00000141736,0.48709176064610155,cervical squamous cell carcinoma,EFO_1000172
KRAS,ENSG00000133703,0.47736053457226935,cervical squamous cell carcinoma,EFO_1000172
RB1,ENSG00000139687,0.4398693347043341,cervical squamous cell carcinoma,EFO_1000172
MAML2,ENSG00000184384,0.4395228421837816,cervical squamous cell carcinoma,EFO_1000172
CRTC1,ENSG00000105662,0.43943044722011043,cervical squamous cell carcinoma,EFO_1000172
BAP1,ENSG00000163930,0.4388760774380833,cervical squamous cell carcinoma,EFO_1000172
LATS1,ENSG00000131023,0.4095802708404738,cervical squamous cell carcinoma,EFO_1000172
SMAD4,ENSG00000141646,0.4034315986915328,cervical squamous cell carcinoma,EFO_1000172
TGFBR2,ENSG00000163513,0.39955297604790097,cervical squamous cell carcinoma,EFO_1000172
CASP8,ENSG00000064012,0.3956777809703569,cervical squamous cell carcinoma,EFO_1000172
POLD1,ENSG00000062822,0.39308923988547867,cervical squamous cell carcinoma,EFO_1000172
HRAS,ENSG00000174775,0.3929249821722854,cervical squamous cell carcinoma,EFO_1000172
POLE,ENSG00000177084,0.39267859560249563,cervical squamous cell carcinoma,EFO_1000172
MED12,ENSG00000184634,0.385749011114585,cervical squamous cell carcinoma,EFO_1000172
HLA-A,ENSG00000206503,0.38328899755405516,cervical squamous cell carcinoma,EFO_1000172
NF2,ENSG00000186575,0.38029808555738526,cervical squamous cell carcinoma,EFO_1000172
TUBB3,ENSG00000258947,0.3647359340644052,cervical squamous cell carcinoma,EFO_1000172
ARID1A,ENSG00000117713,0.36334881179845097,cervical squamous cell carcinoma,EFO_1000172
TUBB4B,ENSG00000188229,0.362518454936297,cervical squamous cell carcinoma,EFO_1000172
TUBB6,ENSG00000176014,0.362518454936297,cervical squamous cell carcinoma,EFO_1000172
TUBB2B,ENSG00000137285,0.362518454936297,cervical squamous cell carcinoma,EFO_1000172
TUBB8,ENSG00000261456,0.362518454936297,cervical squamous cell carcinoma,EFO_1000172
TUBB1,ENSG00000101162,0.362518454936297,cervical squamous cell carcinoma,EFO_1000172
TUBB,ENSG00000196230,0.362518454936297,cervical squamous cell carcinoma,EFO_1000172
TUBB4A,ENSG00000104833,0.362518454936297,cervical squamous cell carcinoma,EFO_1000172
TUBB2A,ENSG00000137267,0.362518454936297,cervical squamous cell carcinoma,EFO_1000172
BRCA2,ENSG00000139618,0.36032304904507373,cervical squamous cell carcinoma,EFO_1000172
MTOR,ENSG00000198793,0.3536669218542723,cervical squamous cell carcinoma,EFO_1000172
KLF5,ENSG00000102554,0.3503570256851242,cervical squamous cell carcinoma,EFO_1000172
FGFR2,ENSG00000066468,0.34892829704080974,cervical squamous cell carcinoma,EFO_1000172
DDX3X,ENSG00000215301,0.347589853330962,cervical squamous cell carcinoma,EFO_1000172
SETD2,ENSG00000181555,0.3474050634036197,cervical squamous cell carcinoma,EFO_1000172
B2M,ENSG00000166710,0.3440176622808174,cervical squamous cell carcinoma,EFO_1000172
CDK12,ENSG00000167258,0.34198193662119475,cervical squamous cell carcinoma,EFO_1000172
TP63,ENSG00000073282,0.34062120236435245,cervical squamous cell carcinoma,EFO_1000172
NFE2L2,ENSG00000116044,0.3385823086473201,cervical squamous cell carcinoma,EFO_1000172
ERBB3,ENSG00000065361,0.3345403223735622,cervical squamous cell carcinoma,EFO_1000172
TOP1MT,ENSG00000184428,0.3297986897707234,cervical squamous cell carcinoma,EFO_1000172
POLA2,ENSG00000014138,0.3292956505240693,cervical squamous cell carcinoma,EFO_1000172
ERCC3,ENSG00000163161,0.32843490879811915,cervical squamous cell carcinoma,EFO_1000172
MCM7,ENSG00000166508,0.32774955756288005,cervical squamous cell carcinoma,EFO_1000172
SUFU,ENSG00000107882,0.32744775125064574,cervical squamous cell carcinoma,EFO_1000172
FANCA,ENSG00000187741,0.3258295561230159,cervical squamous cell carcinoma,EFO_1000172
SMO,ENSG00000128602,0.32569224694089344,cervical squamous cell carcinoma,EFO_1000172
AKT1,ENSG00000142208,0.3255135280183291,cervical squamous cell carcinoma,EFO_1000172
SMAD3,ENSG00000166949,0.3252302721225375,cervical squamous cell carcinoma,EFO_1000172
KDM6A,ENSG00000147050,0.3252302721225375,cervical squamous cell carcinoma,EFO_1000172
ERG,ENSG00000157554,0.32430632248582586,cervical squamous cell carcinoma,EFO_1000172
RAD51C,ENSG00000108384,0.32430632248582586,cervical squamous cell carcinoma,EFO_1000172
BRD4,ENSG00000141867,0.32412153255848347,cervical squamous cell carcinoma,EFO_1000172
PTCH1,ENSG00000185920,0.3239367426311411,cervical squamous cell carcinoma,EFO_1000172
BLM,ENSG00000197299,0.32375195270379875,cervical squamous cell carcinoma,EFO_1000172
PIK3R1,ENSG00000145675,0.32375195270379875,cervical squamous cell carcinoma,EFO_1000172
ABL1,ENSG00000097007,0.32375195270379875,cervical squamous cell carcinoma,EFO_1000172
TSC2,ENSG00000103197,0.3233823728491141,cervical squamous cell carcinoma,EFO_1000172
GRIN2A,ENSG00000183454,0.3233823728491141,cervical squamous cell carcinoma,EFO_1000172
ARID2,ENSG00000189079,0.3233823728491141,cervical squamous cell carcinoma,EFO_1000172
POLD4,ENSG00000175482,0.3233823728491141,cervical squamous cell carcinoma,EFO_1000172
FGFR1,ENSG00000077782,0.3233823728491141,cervical squamous cell carcinoma,EFO_1000172
POLA1,ENSG00000101868,0.3233823728491141,cervical squamous cell carcinoma,EFO_1000172
POLD2,ENSG00000106628,0.3233823728491141,cervical squamous cell carcinoma,EFO_1000172
POLE3,ENSG00000148229,0.3233823728491141,cervical squamous cell carcinoma,EFO_1000172
POLE2,ENSG00000100479,0.3233823728491141,cervical squamous cell carcinoma,EFO_1000172
PRIM1,ENSG00000198056,0.3233823728491141,cervical squamous cell carcinoma,EFO_1000172
PLCG1,ENSG00000124181,0.3233823728491141,cervical squamous cell carcinoma,EFO_1000172
POLD3,ENSG00000077514,0.3233823728491141,cervical squamous cell carcinoma,EFO_1000172
GNAS,ENSG00000087460,0.3233823728491141,cervical squamous cell carcinoma,EFO_1000172
RRM1,ENSG00000167325,0.3233823728491141,cervical squamous cell carcinoma,EFO_1000172
PRIM2,ENSG00000146143,0.3233823728491141,cervical squamous cell carcinoma,EFO_1000172
NOS1AP,ENSG00000198929,0.31845374297705475,cervical squamous cell carcinoma,EFO_1000172
SPEN,ENSG00000065526,0.3170870035906362,cervical squamous cell carcinoma,EFO_1000172
SND1,ENSG00000197157,0.313553411403913,cervical squamous cell carcinoma,EFO_1000172
EGFR,ENSG00000146648,0.311007059181841,cervical squamous cell carcinoma,EFO_1000172
FAS,ENSG00000026103,0.30466489245859285,cervical squamous cell carcinoma,EFO_1000172
EIF3E,ENSG00000104408,0.3002836319313202,cervical squamous cell carcinoma,EFO_1000172
HLA-B,ENSG00000234745,0.29175758549920117,cervical squamous cell carcinoma,EFO_1000172
KMT2A,ENSG00000118058,0.2904044544323859,cervical squamous cell carcinoma,EFO_1000172
SOX2,ENSG00000181449,0.2890800886855379,cervical squamous cell carcinoma,EFO_1000172
HIF1A,ENSG00000100644,0.28893434631622544,cervical squamous cell carcinoma,EFO_1000172
PTK6,ENSG00000101213,0.28891905139976565,cervical squamous cell carcinoma,EFO_1000172
CD274,ENSG00000120217,0.2876019573097036,cervical squamous cell carcinoma,EFO_1000172
CCND1,ENSG00000110092,0.2854867776027662,cervical squamous cell carcinoma,EFO_1000172
CDH1,ENSG00000039068,0.2851531282798554,cervical squamous cell carcinoma,EFO_1000172
ESR1,ENSG00000091831,0.28370598902152067,cervical squamous cell carcinoma,EFO_1000172
LRP1B,ENSG00000168702,0.28360120793513577,cervical squamous cell carcinoma,EFO_1000172
TET2,ENSG00000168769,0.28346456604997317,cervical squamous cell carcinoma,EFO_1000172
YAP1,ENSG00000137693,0.28295290891323494,cervical squamous cell carcinoma,EFO_1000172
CDKN2A,ENSG00000147889,0.28292065896615565,cervical squamous cell carcinoma,EFO_1000172
EZH2,ENSG00000106462,0.2827179802321637,cervical squamous cell carcinoma,EFO_1000172
FCGR2B,ENSG00000072694,0.2823284670680051,cervical squamous cell carcinoma,EFO_1000172
ETV5,ENSG00000244405,0.2821742190517698,cervical squamous cell carcinoma,EFO_1000172
USP8,ENSG00000138592,0.28207848446061357,cervical squamous cell carcinoma,EFO_1000172
CXCR4,ENSG00000121966,0.2818688023663012,cervical squamous cell carcinoma,EFO_1000172
PIK3CB,ENSG00000051382,0.281749805676259,cervical squamous cell carcinoma,EFO_1000172
MYC,ENSG00000136997,0.28173674887211314,cervical squamous cell carcinoma,EFO_1000172
SRC,ENSG00000197122,0.28161984926974276,cervical squamous cell carcinoma,EFO_1000172
CDK6,ENSG00000105810,0.2814299262888631,cervical squamous cell carcinoma,EFO_1000172
STAT3,ENSG00000168610,0.28126426589447445,cervical squamous cell carcinoma,EFO_1000172
BRAF,ENSG00000157764,0.28121433804029705,cervical squamous cell carcinoma,EFO_1000172
NTRK1,ENSG00000198400,0.28112707613016313,cervical squamous cell carcinoma,EFO_1000172
FLT3,ENSG00000122025,0.28101414895234283,cervical squamous cell carcinoma,EFO_1000172
ETV4,ENSG00000175832,0.2808806895603734,cervical squamous cell carcinoma,EFO_1000172
TRIM33,ENSG00000197323,0.2808806895603734,cervical squamous cell carcinoma,EFO_1000172
SFRP4,ENSG00000106483,0.2808806895603734,cervical squamous cell carcinoma,EFO_1000172
CD74,ENSG00000019582,0.28086785692653016,cervical squamous cell carcinoma,EFO_1000172
CTNNB1,ENSG00000168036,0.28085733416677866,cervical squamous cell carcinoma,EFO_1000172
FGFR3,ENSG00000068078,0.2808052048654217,cervical squamous cell carcinoma,EFO_1000172
PBRM1,ENSG00000163939,0.280695899633031,cervical squamous cell carcinoma,EFO_1000172
ERCC2,ENSG00000104884,0.28064200257088945,cervical squamous cell carcinoma,EFO_1000172
FOXO3,ENSG00000118689,0.280624036883509,cervical squamous cell carcinoma,EFO_1000172
BCL2,ENSG00000171791,0.2804650833789705,cervical squamous cell carcinoma,EFO_1000172
MSH2,ENSG00000095002,0.28044364782210124,cervical squamous cell carcinoma,EFO_1000172
RNF43,ENSG00000108375,0.28032631977834627,cervical squamous cell carcinoma,EFO_1000172
PPARG,ENSG00000132170,0.2802903884035853,cervical squamous cell carcinoma,EFO_1000172
ACKR3,ENSG00000144476,0.28028207285685486,cervical squamous cell carcinoma,EFO_1000172
KDR,ENSG00000128052,0.28027498924297345,cervical squamous cell carcinoma,EFO_1000172
POU5F1,ENSG00000204531,0.280230742321482,cervical squamous cell carcinoma,EFO_1000172
CDKN1B,ENSG00000111276,0.2802262252343692,cervical squamous cell carcinoma,EFO_1000172
TNFRSF14,ENSG00000157873,0.28018772733283953,cervical squamous cell carcinoma,EFO_1000172
HGF,ENSG00000019991,0.28017232817222765,cervical squamous cell carcinoma,EFO_1000172
JUN,ENSG00000177606,0.28013639679746666,cervical squamous cell carcinoma,EFO_1000172
RHOA,ENSG00000067560,0.28004913488733274,cervical squamous cell carcinoma,EFO_1000172
KNL1,ENSG00000137812,0.28004913488733274,cervical squamous cell carcinoma,EFO_1000172
BRIP1,ENSG00000136492,0.27998435575169217,cervical squamous cell carcinoma,EFO_1000172
CEBPA,ENSG00000245848,0.2799567399236616,cervical squamous cell carcinoma,EFO_1000172
FUBP1,ENSG00000162613,0.2799567399236616,cervical squamous cell carcinoma,EFO_1000172
EPAS1,ENSG00000116016,0.27995417339689294,cervical squamous cell carcinoma,EFO_1000172
PDGFRA,ENSG00000134853,0.2798643449599904,cervical squamous cell carcinoma,EFO_1000172
BAX,ENSG00000087088,0.2797328361283651,cervical squamous cell carcinoma,EFO_1000172
WIF1,ENSG00000156076,0.2796795550326481,cervical squamous cell carcinoma,EFO_1000172
DROSHA,ENSG00000113360,0.27966186281713346,cervical squamous cell carcinoma,EFO_1000172
BRCA1,ENSG00000012048,0.2796544712200397,cervical squamous cell carcinoma,EFO_1000172
RMI2,ENSG00000175643,0.27964685748161555,cervical squamous cell carcinoma,EFO_1000172
