gene_symbol,ensembl_id,score,disease_name,efo_id
FGFR2,ENSG00000066468,0.6387687146842259,cholangiocarcinoma,EFO_0005221
IDH1,ENSG00000138413,0.6146267682777126,cholangiocarcinoma,EFO_0005221
FGFR3,ENSG00000068078,0.5627067057977891,cholangiocarcinoma,EFO_0005221
FGFR1,ENSG00000077782,0.5607518516528597,cholangiocarcinoma,EFO_0005221
TP53,ENSG00000141510,0.5527162375392384,cholangiocarcinoma,EFO_0005221
FGFR4,ENSG00000160867,0.5374514394004747,cholangiocarcinoma,EFO_0005221
KRAS,ENSG00000133703,0.5363563170548383,cholangiocarcinoma,EFO_0005221
ARID1A,ENSG00000117713,0.5305807897696416,cholangiocarcinoma,EFO_0005221
BAP1,ENSG00000163930,0.5002661589554572,cholangiocarcinoma,EFO_0005221
PBRM1,ENSG00000163939,0.4967581728476702,cholangiocarcinoma,EFO_0005221
SMAD4,ENSG00000141646,0.49055315604092814,cholangiocarcinoma,EFO_0005221
PIK3CA,ENSG00000121879,0.47477089261664324,cholangiocarcinoma,EFO_0005221
CDKN2A,ENSG00000147889,0.47136810302327437,cholangiocarcinoma,EFO_0005221
EPHA2,ENSG00000142627,0.4439644507074456,cholangiocarcinoma,EFO_0005221
BRAF,ENSG00000157764,0.43342606452320226,cholangiocarcinoma,EFO_0005221
RRM1,ENSG00000167325,0.4175371468696847,cholangiocarcinoma,EFO_0005221
POLE,ENSG00000177084,0.4109406388176775,cholangiocarcinoma,EFO_0005221
POLD3,ENSG00000077514,0.4109406388176775,cholangiocarcinoma,EFO_0005221
POLD1,ENSG00000062822,0.4109406388176775,cholangiocarcinoma,EFO_0005221
POLA2,ENSG00000014138,0.40978570177178786,cholangiocarcinoma,EFO_0005221
PRIM2,ENSG00000146143,0.40978570177178786,cholangiocarcinoma,EFO_0005221
PRIM1,ENSG00000198056,0.40978570177178786,cholangiocarcinoma,EFO_0005221
POLE3,ENSG00000148229,0.40978570177178786,cholangiocarcinoma,EFO_0005221
POLD2,ENSG00000106628,0.40978570177178786,cholangiocarcinoma,EFO_0005221
POLE2,ENSG00000100479,0.40978570177178786,cholangiocarcinoma,EFO_0005221
POLA1,ENSG00000101868,0.40978570177178786,cholangiocarcinoma,EFO_0005221
POLD4,ENSG00000175482,0.40978570177178786,cholangiocarcinoma,EFO_0005221
TYMS,ENSG00000176890,0.40194746215721394,cholangiocarcinoma,EFO_0005221
STK11,ENSG00000118046,0.3988077813088928,cholangiocarcinoma,EFO_0005221
KDR,ENSG00000128052,0.3931280686034205,cholangiocarcinoma,EFO_0005221
