gene_symbol,ensembl_id,score,disease_name,efo_id
APC,ENSG00000134982,0.843369118765941,colorectal carcinoma,EFO_1001951
MSH2,ENSG00000095002,0.8210645444915371,colorectal carcinoma,EFO_1001951
MLH1,ENSG00000076242,0.8134949653970591,colorectal carcinoma,EFO_1001951
TP53,ENSG00000141510,0.7976481468233931,colorectal carcinoma,EFO_1001951
PIK3CA,ENSG00000121879,0.7943094645332824,colorectal carcinoma,EFO_1001951
MSH6,ENSG00000116062,0.7856125625720443,colorectal carcinoma,EFO_1001951
KRAS,ENSG00000133703,0.7713707695583414,colorectal carcinoma,EFO_1001951
SMAD4,ENSG00000141646,0.7520290110206406,colorectal carcinoma,EFO_1001951
BRAF,ENSG00000157764,0.7354075695181884,colorectal carcinoma,EFO_1001951
MUTYH,ENSG00000132781,0.7334955165149857,colorectal carcinoma,EFO_1001951
FBXW7,ENSG00000109670,0.7313053725644688,colorectal carcinoma,EFO_1001951
TCF7L2,ENSG00000148737,0.7280600492728,colorectal carcinoma,EFO_1001951
ATM,ENSG00000149311,0.7264228060874687,colorectal carcinoma,EFO_1001951
EP300,ENSG00000100393,0.7150921245767301,colorectal carcinoma,EFO_1001951
EGFR,ENSG00000146648,0.7075423665938302,colorectal carcinoma,EFO_1001951
ERBB2,ENSG00000141736,0.6987304717241823,colorectal carcinoma,EFO_1001951
AMER1,ENSG00000184675,0.6974602766364512,colorectal carcinoma,EFO_1001951
PMS2,ENSG00000122512,0.6922362040921375,colorectal carcinoma,EFO_1001951
NRAS,ENSG00000213281,0.6847277611522199,colorectal carcinoma,EFO_1001951
AKT1,ENSG00000142208,0.6822636794601429,colorectal carcinoma,EFO_1001951
POLE,ENSG00000177084,0.6815500860416447,colorectal carcinoma,EFO_1001951
ARID1A,ENSG00000117713,0.6814258263328515,colorectal carcinoma,EFO_1001951
FLCN,ENSG00000154803,0.6781978905183365,colorectal carcinoma,EFO_1001951
FBXO11,ENSG00000138081,0.6760621424737067,colorectal carcinoma,EFO_1001951
SMAD2,ENSG00000175387,0.6650379841353925,colorectal carcinoma,EFO_1001951
AXIN2,ENSG00000168646,0.6646945992063467,colorectal carcinoma,EFO_1001951
