gene_symbol,ensembl_id,score,disease_name,efo_id
APC,ENSG00000134982,0.6633569279498033,colon adenocarcinoma,EFO_1001949
KRAS,ENSG00000133703,0.6289740381304951,colon adenocarcinoma,EFO_1001949
TP53,ENSG00000141510,0.6264097452253664,colon adenocarcinoma,EFO_1001949
PIK3CA,ENSG00000121879,0.6217194846917531,colon adenocarcinoma,EFO_1001949
AMER1,ENSG00000184675,0.6032383229692941,colon adenocarcinoma,EFO_1001949
FBXW7,ENSG00000109670,0.6029469550098278,colon adenocarcinoma,EFO_1001949
TCF7L2,ENSG00000148737,0.5882384199789016,colon adenocarcinoma,EFO_1001949
SMAD4,ENSG00000141646,0.5811521399717271,colon adenocarcinoma,EFO_1001949
ARID1A,ENSG00000117713,0.5753165397884851,colon adenocarcinoma,EFO_1001949
MSH6,ENSG00000116062,0.5668557474575578,colon adenocarcinoma,EFO_1001949
FBXO11,ENSG00000138081,0.5656624998090852,colon adenocarcinoma,EFO_1001949
RNF43,ENSG00000108375,0.5348254165628956,colon adenocarcinoma,EFO_1001949
AR,ENSG00000169083,0.5345780127123902,colon adenocarcinoma,EFO_1001949
SMAD2,ENSG00000175387,0.5313813951261659,colon adenocarcinoma,EFO_1001949
ATM,ENSG00000149311,0.5225785150970883,colon adenocarcinoma,EFO_1001949
PIK3R1,ENSG00000145675,0.5092904625577149,colon adenocarcinoma,EFO_1001949
GNAS,ENSG00000087460,0.5070204584376534,colon adenocarcinoma,EFO_1001949
PTCH1,ENSG00000185920,0.5063077184940452,colon adenocarcinoma,EFO_1001949
KMT2D,ENSG00000167548,0.5053799190671805,colon adenocarcinoma,EFO_1001949
TGFBR2,ENSG00000163513,0.5048768798205263,colon adenocarcinoma,EFO_1001949
KDR,ENSG00000128052,0.49787606639926957,colon adenocarcinoma,EFO_1001949
MTOR,ENSG00000198793,0.49537241522981396,colon adenocarcinoma,EFO_1001949
ATRX,ENSG00000085224,0.49442598281860894,colon adenocarcinoma,EFO_1001949
BRAF,ENSG00000157764,0.4942516323491266,colon adenocarcinoma,EFO_1001949
SMAD3,ENSG00000166949,0.4934840674945167,colon adenocarcinoma,EFO_1001949
BCL9L,ENSG00000186174,0.4934026051705169,colon adenocarcinoma,EFO_1001949
NTRK1,ENSG00000198400,0.48977201427813494,colon adenocarcinoma,EFO_1001949
POLE,ENSG00000177084,0.48676922029778374,colon adenocarcinoma,EFO_1001949
BCOR,ENSG00000183337,0.48250703250502736,colon adenocarcinoma,EFO_1001949
CIC,ENSG00000079432,0.48250703250502736,colon adenocarcinoma,EFO_1001949
FLT4,ENSG00000037280,0.4806899315528276,colon adenocarcinoma,EFO_1001949
ERBB2,ENSG00000141736,0.4774153447016885,colon adenocarcinoma,EFO_1001949
BCL9,ENSG00000116128,0.4764422164551225,colon adenocarcinoma,EFO_1001949
B2M,ENSG00000166710,0.47577643553451887,colon adenocarcinoma,EFO_1001949
BRCA2,ENSG00000139618,0.4733932959495733,colon adenocarcinoma,EFO_1001949
CHD4,ENSG00000111642,0.4716845116975074,colon adenocarcinoma,EFO_1001949
BAX,ENSG00000087088,0.46686571820294076,colon adenocarcinoma,EFO_1001949
SOX2,ENSG00000181449,0.4647107358912515,colon adenocarcinoma,EFO_1001949
NFKB2,ENSG00000077150,0.46442212524208876,colon adenocarcinoma,EFO_1001949
JUN,ENSG00000177606,0.4636098593646829,colon adenocarcinoma,EFO_1001949
EP300,ENSG00000100393,0.4632292339793196,colon adenocarcinoma,EFO_1001949
BCORL1,ENSG00000085185,0.462898767992589,colon adenocarcinoma,EFO_1001949
IL6ST,ENSG00000134352,0.4625291881379043,colon adenocarcinoma,EFO_1001949
MLH1,ENSG00000076242,0.4621345873033122,colon adenocarcinoma,EFO_1001949
ACVR2A,ENSG00000121989,0.4619748183558772,colon adenocarcinoma,EFO_1001949
NCOR2,ENSG00000196498,0.4619748183558772,colon adenocarcinoma,EFO_1001949
FLCN,ENSG00000154803,0.4619748183558772,colon adenocarcinoma,EFO_1001949
FAT4,ENSG00000196159,0.4619748183558772,colon adenocarcinoma,EFO_1001949
POLD1,ENSG00000062822,0.46148717826983493,colon adenocarcinoma,EFO_1001949
AXIN2,ENSG00000168646,0.46130238834249254,colon adenocarcinoma,EFO_1001949
CASP8,ENSG00000064012,0.460470833669452,colon adenocarcinoma,EFO_1001949
FUBP1,ENSG00000162613,0.4603322412239452,colon adenocarcinoma,EFO_1001949
RAD50,ENSG00000113522,0.4597778714419182,colon adenocarcinoma,EFO_1001949
LATS2,ENSG00000150457,0.45940829158723345,colon adenocarcinoma,EFO_1001949
NCOR1,ENSG00000141027,0.45940829158723345,colon adenocarcinoma,EFO_1001949
RAF1,ENSG00000132155,0.4581147620958371,colon adenocarcinoma,EFO_1001949
CCND2,ENSG00000118971,0.4577159836179001,colon adenocarcinoma,EFO_1001949
