gene_symbol,ensembl_id,score,disease_name,efo_id
CD79B,ENSG00000007312,0.7577374259858636,diffuse large B-cell lymphoma,EFO_0000403
MYD88,ENSG00000172936,0.7221764306870289,diffuse large B-cell lymphoma,EFO_0000403
CREBBP,ENSG00000005339,0.6854103663874006,diffuse large B-cell lymphoma,EFO_0000403
TP53,ENSG00000141510,0.6832350329284823,diffuse large B-cell lymphoma,EFO_0000403
TBL1XR1,ENSG00000177565,0.668699884319795,diffuse large B-cell lymphoma,EFO_0000403
B2M,ENSG00000166710,0.665807922611816,diffuse large B-cell lymphoma,EFO_0000403
KMT2D,ENSG00000167548,0.6625695304559657,diffuse large B-cell lymphoma,EFO_0000403
P2RY8,ENSG00000182162,0.6526234830610852,diffuse large B-cell lymphoma,EFO_0000403
TNFAIP3,ENSG00000118503,0.6465271284649101,diffuse large B-cell lymphoma,EFO_0000403
PIM1,ENSG00000137193,0.6459114100741982,diffuse large B-cell lymphoma,EFO_0000403
BTG1,ENSG00000133639,0.6330263139908912,diffuse large B-cell lymphoma,EFO_0000403
EZH2,ENSG00000106462,0.6322757125760958,diffuse large B-cell lymphoma,EFO_0000403
TNFRSF14,ENSG00000157873,0.6308029539574854,diffuse large B-cell lymphoma,EFO_0000403
CARD11,ENSG00000198286,0.6293196360252962,diffuse large B-cell lymphoma,EFO_0000403
SOCS1,ENSG00000185338,0.6277233796266293,diffuse large B-cell lymphoma,EFO_0000403
BCL2,ENSG00000171791,0.6243434287598755,diffuse large B-cell lymphoma,EFO_0000403
XPO1,ENSG00000082898,0.6165143269075652,diffuse large B-cell lymphoma,EFO_0000403
BCL6,ENSG00000113916,0.598226374939669,diffuse large B-cell lymphoma,EFO_0000403
PRDM1,ENSG00000057657,0.5945623457143437,diffuse large B-cell lymphoma,EFO_0000403
CD19,ENSG00000177455,0.5944356930713486,diffuse large B-cell lymphoma,EFO_0000403
FAS,ENSG00000026103,0.5894428423631488,diffuse large B-cell lymphoma,EFO_0000403
MS4A1,ENSG00000156738,0.5889867082500596,diffuse large B-cell lymphoma,EFO_0000403
MYC,ENSG00000136997,0.5847268545880135,diffuse large B-cell lymphoma,EFO_0000403
IRF4,ENSG00000137265,0.5775762745578557,diffuse large B-cell lymphoma,EFO_0000403
NOTCH2,ENSG00000134250,0.5754030302198782,diffuse large B-cell lymphoma,EFO_0000403
RMI2,ENSG00000175643,0.5701539216542117,diffuse large B-cell lymphoma,EFO_0000403
TUBB,ENSG00000196230,0.564842545527998,diffuse large B-cell lymphoma,EFO_0000403
TUBB4A,ENSG00000104833,0.5641444502469268,diffuse large B-cell lymphoma,EFO_0000403
PTEN,ENSG00000171862,0.5629264601741583,diffuse large B-cell lymphoma,EFO_0000403
