gene_symbol,ensembl_id,score,disease_name,efo_id
PDCD1,ENSG00000188389,0.5536433429055171,esophageal carcinoma,EFO_0002916
TP53,ENSG00000141510,0.5444483719400147,esophageal carcinoma,EFO_0002916
ADH1B,ENSG00000196616,0.5378337456190849,esophageal carcinoma,EFO_0002916
NFE2L2,ENSG00000116044,0.5268236678251302,esophageal carcinoma,EFO_0002916
CHEK2,ENSG00000183765,0.5256285322176762,esophageal carcinoma,EFO_0002916
CRTC1,ENSG00000105662,0.5249644167849573,esophageal carcinoma,EFO_0002916
ERBB4,ENSG00000178568,0.5051110900161548,esophageal carcinoma,EFO_0002916
CDKN2A,ENSG00000147889,0.4981278970746172,esophageal carcinoma,EFO_0002916
NOTCH1,ENSG00000148400,0.49787031720479213,esophageal carcinoma,EFO_0002916
MTOR,ENSG00000198793,0.4975133910701019,esophageal carcinoma,EFO_0002916
FGFR1,ENSG00000077782,0.4969495624246947,esophageal carcinoma,EFO_0002916
BRD4,ENSG00000141867,0.49583262150532237,esophageal carcinoma,EFO_0002916
FGFR2,ENSG00000066468,0.4951241134832325,esophageal carcinoma,EFO_0002916
FAT1,ENSG00000083857,0.49457771896232533,esophageal carcinoma,EFO_0002916
ESR1,ENSG00000091831,0.4925028268408463,esophageal carcinoma,EFO_0002916
FBXW7,ENSG00000109670,0.491599245528643,esophageal carcinoma,EFO_0002916
NRG1,ENSG00000157168,0.4911209636375556,esophageal carcinoma,EFO_0002916
EP300,ENSG00000100393,0.4907948353264305,esophageal carcinoma,EFO_0002916
FOXP1,ENSG00000114861,0.4901902238405722,esophageal carcinoma,EFO_0002916
RICTOR,ENSG00000164327,0.490182902117873,esophageal carcinoma,EFO_0002916
KMT2D,ENSG00000167548,0.49006989850566696,esophageal carcinoma,EFO_0002916
ETV1,ENSG00000006468,0.4897700061018837,esophageal carcinoma,EFO_0002916
TRIM24,ENSG00000122779,0.4885772276266174,esophageal carcinoma,EFO_0002916
MAP2K1,ENSG00000169032,0.48719918614739127,esophageal carcinoma,EFO_0002916
HGF,ENSG00000019991,0.48700602564032713,esophageal carcinoma,EFO_0002916
SND1,ENSG00000197157,0.4850504605327533,esophageal carcinoma,EFO_0002916
IKZF1,ENSG00000185811,0.48464604007718426,esophageal carcinoma,EFO_0002916
RB1,ENSG00000139687,0.48370192131838063,esophageal carcinoma,EFO_0002916
CUX1,ENSG00000257923,0.4836243924563382,esophageal carcinoma,EFO_0002916
LATS2,ENSG00000150457,0.48310719955518067,esophageal carcinoma,EFO_0002916
PIK3CB,ENSG00000051382,0.4821236941461635,esophageal carcinoma,EFO_0002916
CCNE1,ENSG00000105173,0.4806008612788428,esophageal carcinoma,EFO_0002916
DNM2,ENSG00000079805,0.48015771647036265,esophageal carcinoma,EFO_0002916
TRIM33,ENSG00000197323,0.4800341839634391,esophageal carcinoma,EFO_0002916
RECQL4,ENSG00000160957,0.47923106326430925,esophageal carcinoma,EFO_0002916
CREBBP,ENSG00000005339,0.47891909342848765,esophageal carcinoma,EFO_0002916
BCL2,ENSG00000171791,0.4789020390883518,esophageal carcinoma,EFO_0002916
PAX5,ENSG00000196092,0.47875800419299863,esophageal carcinoma,EFO_0002916
RUNX1,ENSG00000159216,0.47873907655034614,esophageal carcinoma,EFO_0002916
CDH11,ENSG00000140937,0.4787370477744591,esophageal carcinoma,EFO_0002916
TBL1XR1,ENSG00000177565,0.47850688186595675,esophageal carcinoma,EFO_0002916
MITF,ENSG00000187098,0.4783133277650634,esophageal carcinoma,EFO_0002916
NSD2,ENSG00000109685,0.47802074371343806,esophageal carcinoma,EFO_0002916
EGFR,ENSG00000146648,0.4779594250547307,esophageal carcinoma,EFO_0002916
MSH2,ENSG00000095002,0.4766809417523074,esophageal carcinoma,EFO_0002916
PTPRT,ENSG00000196090,0.4762395741359992,esophageal carcinoma,EFO_0002916
PREX2,ENSG00000046889,0.47558767633676374,esophageal carcinoma,EFO_0002916
ABL2,ENSG00000143322,0.475508009338038,esophageal carcinoma,EFO_0002916
CACNA1D,ENSG00000157388,0.47542085209680185,esophageal carcinoma,EFO_0002916
LRP1B,ENSG00000168702,0.4753662840552868,esophageal carcinoma,EFO_0002916
KDR,ENSG00000128052,0.47499623310526606,esophageal carcinoma,EFO_0002916
SMAD4,ENSG00000141646,0.4739112989362789,esophageal carcinoma,EFO_0002916
ALK,ENSG00000171094,0.4736265380255404,esophageal carcinoma,EFO_0002916
TET1,ENSG00000138336,0.4735829622777761,esophageal carcinoma,EFO_0002916
RSPO2,ENSG00000147655,0.47337019720865553,esophageal carcinoma,EFO_0002916
YAP1,ENSG00000137693,0.47333030287387007,esophageal carcinoma,EFO_0002916
SFRP4,ENSG00000106483,0.4728351277079287,esophageal carcinoma,EFO_0002916
AFF3,ENSG00000144218,0.47244624757194376,esophageal carcinoma,EFO_0002916
NCOR2,ENSG00000196498,0.472271723751676,esophageal carcinoma,EFO_0002916
WRN,ENSG00000165392,0.47164805774689555,esophageal carcinoma,EFO_0002916
TP63,ENSG00000073282,0.47155225954405117,esophageal carcinoma,EFO_0002916
PRDM16,ENSG00000142611,0.47126051220483034,esophageal carcinoma,EFO_0002916
NF1,ENSG00000196712,0.47111935323255494,esophageal carcinoma,EFO_0002916
BARD1,ENSG00000138376,0.4708293357076982,esophageal carcinoma,EFO_0002916
FAT4,ENSG00000196159,0.4708158871074305,esophageal carcinoma,EFO_0002916
NCOR1,ENSG00000141027,0.47078313822586254,esophageal carcinoma,EFO_0002916
KDM5A,ENSG00000073614,0.4707318076904897,esophageal carcinoma,EFO_0002916
UBR5,ENSG00000104517,0.4706907432621914,esophageal carcinoma,EFO_0002916
ZNF521,ENSG00000198795,0.4706907432621914,esophageal carcinoma,EFO_0002916
MRTFA,ENSG00000196588,0.47059834829852026,esophageal carcinoma,EFO_0002916
PTPRB,ENSG00000127329,0.47059834829852026,esophageal carcinoma,EFO_0002916
SETBP1,ENSG00000152217,0.4704135583711779,esophageal carcinoma,EFO_0002916
EXT1,ENSG00000182197,0.47022876844383554,esophageal carcinoma,EFO_0002916
PLAG1,ENSG00000181690,0.47017743790846267,esophageal carcinoma,EFO_0002916
SUFU,ENSG00000107882,0.47013637348016435,esophageal carcinoma,EFO_0002916
ZFHX3,ENSG00000140836,0.47004397851649315,esophageal carcinoma,EFO_0002916
CARD11,ENSG00000198286,0.4696743986618085,esophageal carcinoma,EFO_0002916
RUNX1T1,ENSG00000079102,0.4696743986618085,esophageal carcinoma,EFO_0002916
NCOA2,ENSG00000140396,0.4696743986618085,esophageal carcinoma,EFO_0002916
EBF1,ENSG00000164330,0.4696743986618085,esophageal carcinoma,EFO_0002916
CAMTA1,ENSG00000171735,0.4696743986618085,esophageal carcinoma,EFO_0002916
GRIN2A,ENSG00000183454,0.4696743986618085,esophageal carcinoma,EFO_0002916
ACVR1,ENSG00000115170,0.469387306977468,esophageal carcinoma,EFO_0002916
FLT4,ENSG00000037280,0.4688975982141529,esophageal carcinoma,EFO_0002916
CD274,ENSG00000120217,0.4687342647980275,esophageal carcinoma,EFO_0002916
ERBB2,ENSG00000141736,0.4682647653448555,esophageal carcinoma,EFO_0002916
CBLB,ENSG00000114423,0.46822174451075615,esophageal carcinoma,EFO_0002916
RNF6,ENSG00000127870,0.46695757137156424,esophageal carcinoma,EFO_0002916
NUP98,ENSG00000110713,0.46547952278510457,esophageal carcinoma,EFO_0002916
CDK6,ENSG00000105810,0.46529283083823325,esophageal carcinoma,EFO_0002916
LEF1,ENSG00000138795,0.46517182108946314,esophageal carcinoma,EFO_0002916
MAPK1,ENSG00000100030,0.4647085072370078,esophageal carcinoma,EFO_0002916
WWTR1,ENSG00000018408,0.4643073679725951,esophageal carcinoma,EFO_0002916
RSPO3,ENSG00000146374,0.46402803977079227,esophageal carcinoma,EFO_0002916
SRC,ENSG00000197122,0.4639844011188436,esophageal carcinoma,EFO_0002916
LMO2,ENSG00000135363,0.4621801404973687,esophageal carcinoma,EFO_0002916
MECOM,ENSG00000085276,0.4616290045390702,esophageal carcinoma,EFO_0002916
TOP1,ENSG00000198900,0.461508306017023,esophageal carcinoma,EFO_0002916
MAML2,ENSG00000184384,0.46125619086065694,esophageal carcinoma,EFO_0002916
MAP3K13,ENSG00000073803,0.46106626787977734,esophageal carcinoma,EFO_0002916
RXRA,ENSG00000186350,0.4608096152029129,esophageal carcinoma,EFO_0002916
HLF,ENSG00000108924,0.46056322863312316,esophageal carcinoma,EFO_0002916
ZBTB16,ENSG00000109906,0.46051703115128756,esophageal carcinoma,EFO_0002916
BLM,ENSG00000197299,0.460470833669452,esophageal carcinoma,EFO_0002916
BCL11A,ENSG00000119866,0.4603322412239452,esophageal carcinoma,EFO_0002916
PAX3,ENSG00000135903,0.4603322412239452,esophageal carcinoma,EFO_0002916
POT1,ENSG00000128513,0.4603322412239452,esophageal carcinoma,EFO_0002916
SMAD3,ENSG00000166949,0.4603059257800077,esophageal carcinoma,EFO_0002916
NTRK3,ENSG00000140538,0.46028604374210963,esophageal carcinoma,EFO_0002916
EPAS1,ENSG00000116016,0.46025569383559684,esophageal carcinoma,EFO_0002916
ZNF331,ENSG00000130844,0.4601012538147673,esophageal carcinoma,EFO_0002916
ARHGEF12,ENSG00000196914,0.45987026640558937,esophageal carcinoma,EFO_0002916
FBXO11,ENSG00000138081,0.45940829158723345,esophageal carcinoma,EFO_0002916
KAT6B,ENSG00000156650,0.45940829158723345,esophageal carcinoma,EFO_0002916
MLLT10,ENSG00000078403,0.45940829158723345,esophageal carcinoma,EFO_0002916
DDX10,ENSG00000178105,0.45940829158723345,esophageal carcinoma,EFO_0002916
AFF4,ENSG00000072364,0.45940829158723345,esophageal carcinoma,EFO_0002916
RAP1GDS1,ENSG00000138698,0.45940829158723345,esophageal carcinoma,EFO_0002916
DDR2,ENSG00000162733,0.45940829158723345,esophageal carcinoma,EFO_0002916
FANCC,ENSG00000158169,0.45940829158723345,esophageal carcinoma,EFO_0002916
PTPRK,ENSG00000152894,0.45940829158723345,esophageal carcinoma,EFO_0002916
EIF3E,ENSG00000104408,0.4580480323998523,esophageal carcinoma,EFO_0002916
HIP1,ENSG00000127946,0.4577657144553015,esophageal carcinoma,EFO_0002916
NT5C2,ENSG00000076685,0.4558151541111322,esophageal carcinoma,EFO_0002916
WIF1,ENSG00000156076,0.4556629663702798,esophageal carcinoma,EFO_0002916
MSI2,ENSG00000153944,0.45496563375071114,esophageal carcinoma,EFO_0002916
ASCC1,ENSG00000138303,0.45482702606109915,esophageal carcinoma,EFO_0002916
PTPN11,ENSG00000179295,0.4542498434682617,esophageal carcinoma,EFO_0002916
FOXO3,ENSG00000118689,0.45408810475121464,esophageal carcinoma,EFO_0002916
CREB1,ENSG00000118260,0.45386630172802234,esophageal carcinoma,EFO_0002916
SYK,ENSG00000165025,0.45213218819812845,esophageal carcinoma,EFO_0002916
AXIN1,ENSG00000103126,0.44700735548911463,esophageal carcinoma,EFO_0002916
PTPN13,ENSG00000163629,0.4462317431570164,esophageal carcinoma,EFO_0002916
PTPRC,ENSG00000081237,0.446200814881868,esophageal carcinoma,EFO_0002916
RRAS2,ENSG00000133818,0.44368061554898447,esophageal carcinoma,EFO_0002916
PBX1,ENSG00000185630,0.44366716694871683,esophageal carcinoma,EFO_0002916
RAD51B,ENSG00000182185,0.4432648382124642,esophageal carcinoma,EFO_0002916
NFATC2,ENSG00000101096,0.442358854263133,esophageal carcinoma,EFO_0002916
GNAQ,ENSG00000156052,0.4421047681130372,esophageal carcinoma,EFO_0002916
HMGA2,ENSG00000149948,0.4418600898345342,esophageal carcinoma,EFO_0002916
NTRK2,ENSG00000148053,0.4414983659873311,esophageal carcinoma,EFO_0002916
SUZ12,ENSG00000178691,0.4413264945357137,esophageal carcinoma,EFO_0002916
