gene_symbol,ensembl_id,score,disease_name,efo_id
LZTR1,ENSG00000099949,0.8613615526337884,glioma,EFO_0005543
NF1,ENSG00000196712,0.8287636510979303,glioma,EFO_0005543
NF2,ENSG00000186575,0.8248093435571756,glioma,EFO_0005543
PTEN,ENSG00000171862,0.818450241116701,glioma,EFO_0005543
TP53,ENSG00000141510,0.8171683496883229,glioma,EFO_0005543
IDH1,ENSG00000138413,0.8038771226193351,glioma,EFO_0005543
H3-3A,ENSG00000163041,0.7987779293639138,glioma,EFO_0005543
BRAF,ENSG00000157764,0.7968500868759913,glioma,EFO_0005543
SMARCB1,ENSG00000099956,0.7924466657437886,glioma,EFO_0005543
ATRX,ENSG00000085224,0.7625635681104512,glioma,EFO_0005543
FGFR1,ENSG00000077782,0.758587106664901,glioma,EFO_0005543
IDH2,ENSG00000182054,0.7528897579891489,glioma,EFO_0005543
EGFR,ENSG00000146648,0.7374643599784562,glioma,EFO_0005543
PIK3R1,ENSG00000145675,0.7195669750158469,glioma,EFO_0005543
PIK3CA,ENSG00000121879,0.6921426828324835,glioma,EFO_0005543
H3C2,ENSG00000286522,0.6855603160469289,glioma,EFO_0005543
CIC,ENSG00000079432,0.6845205787206164,glioma,EFO_0005543
CDKN2A,ENSG00000147889,0.6745374711882556,glioma,EFO_0005543
FUBP1,ENSG00000162613,0.6628773526671387,glioma,EFO_0005543
H3-3B,ENSG00000132475,0.6586679249030024,glioma,EFO_0005543
RB1,ENSG00000139687,0.6577936288720494,glioma,EFO_0005543
PDGFRA,ENSG00000134853,0.6502787110660501,glioma,EFO_0005543
TERT,ENSG00000164362,0.6436585304045799,glioma,EFO_0005543
KMT2C,ENSG00000055609,0.6409480678665213,glioma,EFO_0005543
ACVR1,ENSG00000115170,0.6373971933769106,glioma,EFO_0005543
PPM1D,ENSG00000170836,0.6371368882008724,glioma,EFO_0005543
BRCA2,ENSG00000139618,0.6350171091328615,glioma,EFO_0005543
PTPN11,ENSG00000179295,0.6307149297306792,glioma,EFO_0005543
RAF1,ENSG00000132155,0.6306785584032009,glioma,EFO_0005543
NOTCH1,ENSG00000148400,0.6302887903565466,glioma,EFO_0005543
ARID1A,ENSG00000117713,0.6156467464350626,glioma,EFO_0005543
KMT2D,ENSG00000167548,0.614904237044346,glioma,EFO_0005543
FGFR3,ENSG00000068078,0.605995644364262,glioma,EFO_0005543
CDKN2C,ENSG00000123080,0.6056882984725652,glioma,EFO_0005543
GSR,ENSG00000104687,0.5887832331070139,glioma,EFO_0005543
NBN,ENSG00000104320,0.5810809580300073,glioma,EFO_0005543
MAP2K2,ENSG00000126934,0.5780736998685642,glioma,EFO_0005543
TSC2,ENSG00000103197,0.5777278473696906,glioma,EFO_0005543
FLCN,ENSG00000154803,0.5765250362778346,glioma,EFO_0005543
TSC1,ENSG00000165699,0.5751045468800288,glioma,EFO_0005543
ATM,ENSG00000149311,0.5699556308585688,glioma,EFO_0005543
QKI,ENSG00000112531,0.5674124653949346,glioma,EFO_0005543
ERBB2,ENSG00000141736,0.5662753623364751,glioma,EFO_0005543
SMARCA4,ENSG00000127616,0.5641215290333368,glioma,EFO_0005543
KRAS,ENSG00000133703,0.5618369198257566,glioma,EFO_0005543
CDKN2B,ENSG00000147883,0.5559497826968556,glioma,EFO_0005543
NTRK2,ENSG00000148053,0.5552872461054754,glioma,EFO_0005543
DNMT3A,ENSG00000119772,0.5505929291234956,glioma,EFO_0005543
ARID1B,ENSG00000049618,0.5503684007405673,glioma,EFO_0005543
STAG2,ENSG00000101972,0.5498872138960393,glioma,EFO_0005543
NOTCH2,ENSG00000134250,0.5480638872924182,glioma,EFO_0005543
VEGFA,ENSG00000112715,0.5480082546609568,glioma,EFO_0005543
BCOR,ENSG00000183337,0.5464247209843587,glioma,EFO_0005543
FLI1,ENSG00000151702,0.5461702765556402,glioma,EFO_0005543
EWSR1,ENSG00000182944,0.5457083391257711,glioma,EFO_0005543
FUS,ENSG00000089280,0.5436861170319538,glioma,EFO_0005543
SSX1,ENSG00000126752,0.5427486428664173,glioma,EFO_0005543
CREB3L1,ENSG00000157613,0.541317891559702,glioma,EFO_0005543
PER1,ENSG00000179094,0.5394647672645719,glioma,EFO_0005543
MSH2,ENSG00000095002,0.5361600370090911,glioma,EFO_0005543
CREB3L2,ENSG00000182158,0.5360553219792833,glioma,EFO_0005543
KIT,ENSG00000157404,0.5355758537975485,glioma,EFO_0005543
TNFRSF14,ENSG00000157873,0.5286811068105207,glioma,EFO_0005543
