gene_symbol,ensembl_id,score,disease_name,efo_id
TP53,ENSG00000141510,0.8100933086644231,head and neck squamous cell carcinoma,EFO_0000181
PTEN,ENSG00000171862,0.7187227054997123,head and neck squamous cell carcinoma,EFO_0000181
FAT1,ENSG00000083857,0.7047636645868506,head and neck squamous cell carcinoma,EFO_0000181
CDKN2A,ENSG00000147889,0.6997979047732327,head and neck squamous cell carcinoma,EFO_0000181
NOTCH1,ENSG00000148400,0.6869728662577318,head and neck squamous cell carcinoma,EFO_0000181
EGFR,ENSG00000146648,0.6821214604495238,head and neck squamous cell carcinoma,EFO_0000181
KMT2D,ENSG00000167548,0.6658783303080609,head and neck squamous cell carcinoma,EFO_0000181
CASP8,ENSG00000064012,0.6614514946996717,head and neck squamous cell carcinoma,EFO_0000181
HRAS,ENSG00000174775,0.6578212782300229,head and neck squamous cell carcinoma,EFO_0000181
PIK3CA,ENSG00000121879,0.6419276217015495,head and neck squamous cell carcinoma,EFO_0000181
EP300,ENSG00000100393,0.622084769587439,head and neck squamous cell carcinoma,EFO_0000181
NFE2L2,ENSG00000116044,0.6215428627608914,head and neck squamous cell carcinoma,EFO_0000181
PDCD1,ENSG00000188389,0.5938430151968451,head and neck squamous cell carcinoma,EFO_0000181
ING1,ENSG00000153487,0.5930832131648369,head and neck squamous cell carcinoma,EFO_0000181
MET,ENSG00000105976,0.5721276843681479,head and neck squamous cell carcinoma,EFO_0000181
SMARCA4,ENSG00000127616,0.5575702222074218,head and neck squamous cell carcinoma,EFO_0000181
NSD1,ENSG00000165671,0.5390486182251372,head and neck squamous cell carcinoma,EFO_0000181
FANCA,ENSG00000187741,0.5244408168352274,head and neck squamous cell carcinoma,EFO_0000181
FBXW7,ENSG00000109670,0.515858135711451,head and neck squamous cell carcinoma,EFO_0000181
NSD2,ENSG00000109685,0.5144685923147352,head and neck squamous cell carcinoma,EFO_0000181
FLT4,ENSG00000037280,0.5117672879109488,head and neck squamous cell carcinoma,EFO_0000181
HNF1A,ENSG00000135100,0.5106571828557571,head and neck squamous cell carcinoma,EFO_0000181
TGFBR2,ENSG00000163513,0.5093538794866195,head and neck squamous cell carcinoma,EFO_0000181
KDR,ENSG00000128052,0.5028062866355685,head and neck squamous cell carcinoma,EFO_0000181
AXIN2,ENSG00000168646,0.5024287871445354,head and neck squamous cell carcinoma,EFO_0000181
XRCC1,ENSG00000073050,0.4995616767212502,head and neck squamous cell carcinoma,EFO_0000181
MAPK1,ENSG00000100030,0.4989658556734984,head and neck squamous cell carcinoma,EFO_0000181
ERBB4,ENSG00000178568,0.4949353522880679,head and neck squamous cell carcinoma,EFO_0000181
