gene_symbol,ensembl_id,score,disease_name,efo_id
TP53,ENSG00000141510,0.5364104911352069,chromophobe renal cell carcinoma,EFO_0000335
HNF1A,ENSG00000135100,0.380132842418083,chromophobe renal cell carcinoma,EFO_0000335
PTEN,ENSG00000171862,0.3481815959134511,chromophobe renal cell carcinoma,EFO_0000335
HNF1B,ENSG00000275410,0.34108163352927584,chromophobe renal cell carcinoma,EFO_0000335
FLCN,ENSG00000154803,0.3380742259734819,chromophobe renal cell carcinoma,EFO_0000335
TSC2,ENSG00000103197,0.33371484785617506,chromophobe renal cell carcinoma,EFO_0000335
MPRIP,ENSG00000133030,0.3326218692162316,chromophobe renal cell carcinoma,EFO_0000335
MTOR,ENSG00000198793,0.3307051566038058,chromophobe renal cell carcinoma,EFO_0000335
KMT2D,ENSG00000167548,0.3079018729691715,chromophobe renal cell carcinoma,EFO_0000335
MET,ENSG00000105976,0.30152281565861566,chromophobe renal cell carcinoma,EFO_0000335
RET,ENSG00000165731,0.28906277689880966,chromophobe renal cell carcinoma,EFO_0000335
VHL,ENSG00000134086,0.28711800567600404,chromophobe renal cell carcinoma,EFO_0000335
SALL4,ENSG00000101115,0.28660917730798624,chromophobe renal cell carcinoma,EFO_0000335
RB1,ENSG00000139687,0.28515002670152334,chromophobe renal cell carcinoma,EFO_0000335
NOTCH1,ENSG00000148400,0.28342155106133066,chromophobe renal cell carcinoma,EFO_0000335
TSC1,ENSG00000165699,0.2809691032648673,chromophobe renal cell carcinoma,EFO_0000335
NFE2L2,ENSG00000116044,0.280325036514962,chromophobe renal cell carcinoma,EFO_0000335
TFE3,ENSG00000068323,0.2799432913233939,chromophobe renal cell carcinoma,EFO_0000335
PBRM1,ENSG00000163939,0.279527037383704,chromophobe renal cell carcinoma,EFO_0000335
SMARCA4,ENSG00000127616,0.2793048421244261,chromophobe renal cell carcinoma,EFO_0000335
MAF,ENSG00000178573,0.27870278066456694,chromophobe renal cell carcinoma,EFO_0000335
SMARCB1,ENSG00000099956,0.2785252852837182,chromophobe renal cell carcinoma,EFO_0000335
FAT4,ENSG00000196159,0.27837088212086064,chromophobe renal cell carcinoma,EFO_0000335
FAT1,ENSG00000083857,0.2783450515392802,chromophobe renal cell carcinoma,EFO_0000335
KMT2C,ENSG00000055609,0.278339828059416,chromophobe renal cell carcinoma,EFO_0000335
CHEK2,ENSG00000183765,0.278339828059416,chromophobe renal cell carcinoma,EFO_0000335
JAK1,ENSG00000162434,0.278339828059416,chromophobe renal cell carcinoma,EFO_0000335
NTRK1,ENSG00000198400,0.27824230004220757,chromophobe renal cell carcinoma,EFO_0000335
ARID1A,ENSG00000117713,0.27810884065023805,chromophobe renal cell carcinoma,EFO_0000335
KEAP1,ENSG00000079999,0.27810884065023805,chromophobe renal cell carcinoma,EFO_0000335
TRRAP,ENSG00000196367,0.2777392607955534,chromophobe renal cell carcinoma,EFO_0000335
APC,ENSG00000134982,0.27755447086821106,chromophobe renal cell carcinoma,EFO_0000335
ATM,ENSG00000149311,0.27755447086821106,chromophobe renal cell carcinoma,EFO_0000335
CIC,ENSG00000079432,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
HLF,ENSG00000108924,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
ALK,ENSG00000171094,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
PTPRK,ENSG00000152894,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
MAFB,ENSG00000204103,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
ZFHX3,ENSG00000140836,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
CHD4,ENSG00000111642,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
NCOR2,ENSG00000196498,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
PRDM16,ENSG00000142611,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
PER1,ENSG00000179094,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
ACVR1B,ENSG00000135503,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
NRG1,ENSG00000157168,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
POU2AF1,ENSG00000110777,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
TET2,ENSG00000168769,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
MSH6,ENSG00000116062,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
SETBP1,ENSG00000152217,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
RAD51B,ENSG00000182185,0.27718489101352634,chromophobe renal cell carcinoma,EFO_0000335
