gene_symbol,ensembl_id,score,disease_name,efo_id
VHL,ENSG00000134086,0.6426325933681684,clear cell renal carcinoma,EFO_0000349
PBRM1,ENSG00000163939,0.6340473688839555,clear cell renal carcinoma,EFO_0000349
KDM5C,ENSG00000126012,0.6173398717495897,clear cell renal carcinoma,EFO_0000349
BAP1,ENSG00000163930,0.6074505811082619,clear cell renal carcinoma,EFO_0000349
SETD2,ENSG00000181555,0.5982218641300808,clear cell renal carcinoma,EFO_0000349
MTOR,ENSG00000198793,0.5298909265441121,clear cell renal carcinoma,EFO_0000349
AKT1,ENSG00000142208,0.5077299722825939,clear cell renal carcinoma,EFO_0000349
EPAS1,ENSG00000116016,0.5076088176990848,clear cell renal carcinoma,EFO_0000349
HNF1A,ENSG00000135100,0.4855951459537733,clear cell renal carcinoma,EFO_0000349
TP53,ENSG00000141510,0.4854337365113633,clear cell renal carcinoma,EFO_0000349
HNF1B,ENSG00000275410,0.4851190022574318,clear cell renal carcinoma,EFO_0000349
IRF5,ENSG00000128604,0.4838809131388708,clear cell renal carcinoma,EFO_0000349
FLT4,ENSG00000037280,0.47969568395593265,clear cell renal carcinoma,EFO_0000349
PTEN,ENSG00000171862,0.4762235566729325,clear cell renal carcinoma,EFO_0000349
KDR,ENSG00000128052,0.4694864698871582,clear cell renal carcinoma,EFO_0000349
KIT,ENSG00000157404,0.4684995992163588,clear cell renal carcinoma,EFO_0000349
PDGFRB,ENSG00000113721,0.46586550392879544,clear cell renal carcinoma,EFO_0000349
C11orf65,ENSG00000166323,0.45941841780242515,clear cell renal carcinoma,EFO_0000349
PDGFRA,ENSG00000134853,0.4540269096048409,clear cell renal carcinoma,EFO_0000349
RET,ENSG00000165731,0.4519634210814616,clear cell renal carcinoma,EFO_0000349
FLT3,ENSG00000122025,0.4510981795623425,clear cell renal carcinoma,EFO_0000349
ATM,ENSG00000149311,0.4427481668372432,clear cell renal carcinoma,EFO_0000349
SPDL1,ENSG00000040275,0.4406345936240123,clear cell renal carcinoma,EFO_0000349
KMT2C,ENSG00000055609,0.43969736600404935,clear cell renal carcinoma,EFO_0000349
PIGR,ENSG00000162896,0.43853668223793113,clear cell renal carcinoma,EFO_0000349
CSF1R,ENSG00000182578,0.4296660542486978,clear cell renal carcinoma,EFO_0000349
FCAMR,ENSG00000162897,0.4222672984429465,clear cell renal carcinoma,EFO_0000349
BRAF,ENSG00000157764,0.417472120534952,clear cell renal carcinoma,EFO_0000349
FGFR3,ENSG00000068078,0.4167436132791026,clear cell renal carcinoma,EFO_0000349
LCK,ENSG00000182866,0.41643367502145,clear cell renal carcinoma,EFO_0000349
FGFR1,ENSG00000077782,0.41571427704271635,clear cell renal carcinoma,EFO_0000349
TERT,ENSG00000164362,0.4151067758771866,clear cell renal carcinoma,EFO_0000349
INCENP,ENSG00000149503,0.41216963417317315,clear cell renal carcinoma,EFO_0000349
RHOBTB2,ENSG00000008853,0.41183484235601486,clear cell renal carcinoma,EFO_0000349
DPF3,ENSG00000205683,0.40768409928609445,clear cell renal carcinoma,EFO_0000349
CDK6,ENSG00000105810,0.406000194546333,clear cell renal carcinoma,EFO_0000349
FLT1,ENSG00000102755,0.40085015699368226,clear cell renal carcinoma,EFO_0000349
NSUN3,ENSG00000178694,0.39529819143715456,clear cell renal carcinoma,EFO_0000349
GRAMD4,ENSG00000075240,0.3951278937650387,clear cell renal carcinoma,EFO_0000349
RAF1,ENSG00000132155,0.39343316390412597,clear cell renal carcinoma,EFO_0000349
ITK,ENSG00000113263,0.39300799545411785,clear cell renal carcinoma,EFO_0000349
EMID1,ENSG00000186998,0.3816238184833009,clear cell renal carcinoma,EFO_0000349
TNFRSF10B,ENSG00000120889,0.37782672906314,clear cell renal carcinoma,EFO_0000349
IL24,ENSG00000162892,0.37750718212843587,clear cell renal carcinoma,EFO_0000349
LRP2,ENSG00000081479,0.3726266382663924,clear cell renal carcinoma,EFO_0000349
HEATR3,ENSG00000155393,0.37226442333726373,clear cell renal carcinoma,EFO_0000349
MYC,ENSG00000136997,0.3719302247254849,clear cell renal carcinoma,EFO_0000349
SFMBT1,ENSG00000163935,0.370109368233986,clear cell renal carcinoma,EFO_0000349
GRB10,ENSG00000106070,0.3699878525502513,clear cell renal carcinoma,EFO_0000349
TIPIN,ENSG00000075131,0.3685750001095247,clear cell renal carcinoma,EFO_0000349
PITPNB,ENSG00000180957,0.36007456071125576,clear cell renal carcinoma,EFO_0000349
PDCD1,ENSG00000188389,0.3563852748536452,clear cell renal carcinoma,EFO_0000349
PROS1,ENSG00000184500,0.3555966525612908,clear cell renal carcinoma,EFO_0000349
ADSS1,ENSG00000185100,0.349243763544383,clear cell renal carcinoma,EFO_0000349
INSR,ENSG00000171105,0.34734173183650185,clear cell renal carcinoma,EFO_0000349
NF2,ENSG00000186575,0.34677432137457037,clear cell renal carcinoma,EFO_0000349
ENTPD3,ENSG00000168032,0.34546344951666325,clear cell renal carcinoma,EFO_0000349
FKBP1A,ENSG00000088832,0.3444421138471201,clear cell renal carcinoma,EFO_0000349
NR1H3,ENSG00000025434,0.3444164923316736,clear cell renal carcinoma,EFO_0000349
POGLUT3,ENSG00000178202,0.34412570240923285,clear cell renal carcinoma,EFO_0000349
ACTRT3,ENSG00000184378,0.3434119574751922,clear cell renal carcinoma,EFO_0000349
AGMAT,ENSG00000116771,0.33987251202874186,clear cell renal carcinoma,EFO_0000349
OGG1,ENSG00000114026,0.3371249006197471,clear cell renal carcinoma,EFO_0000349
ERBB4,ENSG00000178568,0.3326467443210678,clear cell renal carcinoma,EFO_0000349
UQCC5,ENSG00000168273,0.3326218692162316,clear cell renal carcinoma,EFO_0000349
SMARCA4,ENSG00000127616,0.3313605799978444,clear cell renal carcinoma,EFO_0000349
