gene_symbol,ensembl_id,score,disease_name,efo_id
MET,ENSG00000105976,0.8719168129025663,papillary renal cell carcinoma,EFO_0000640
IRF5,ENSG00000128604,0.4732002600414228,papillary renal cell carcinoma,EFO_0000640
VHL,ENSG00000134086,0.44748380804782417,papillary renal cell carcinoma,EFO_0000640
KRAS,ENSG00000133703,0.43986542078011087,papillary renal cell carcinoma,EFO_0000640
MTOR,ENSG00000198793,0.4127225993263215,papillary renal cell carcinoma,EFO_0000640
CUL3,ENSG00000036257,0.40945839261462347,papillary renal cell carcinoma,EFO_0000640
PBRM1,ENSG00000163939,0.4086673363722253,papillary renal cell carcinoma,EFO_0000640
ATM,ENSG00000149311,0.4023287362525962,papillary renal cell carcinoma,EFO_0000640
USP38,ENSG00000170185,0.37820666051174606,papillary renal cell carcinoma,EFO_0000640
KDR,ENSG00000128052,0.37380641689126787,papillary renal cell carcinoma,EFO_0000640
FLT4,ENSG00000037280,0.3701954989526144,papillary renal cell carcinoma,EFO_0000640
KIT,ENSG00000157404,0.36883005186519224,papillary renal cell carcinoma,EFO_0000640
PDGFRB,ENSG00000113721,0.3671532880118837,papillary renal cell carcinoma,EFO_0000640
PDGFRA,ENSG00000134853,0.36398060521759046,papillary renal cell carcinoma,EFO_0000640
PLEKHA6,ENSG00000143850,0.35494561720477985,papillary renal cell carcinoma,EFO_0000640
KDM6A,ENSG00000147050,0.3417025436544407,papillary renal cell carcinoma,EFO_0000640
FLT3,ENSG00000122025,0.34095250083866535,papillary renal cell carcinoma,EFO_0000640
CSF1R,ENSG00000182578,0.33917164552981044,papillary renal cell carcinoma,EFO_0000640
STAG2,ENSG00000101972,0.33661828938529215,papillary renal cell carcinoma,EFO_0000640
C11orf65,ENSG00000166323,0.3326218692162316,papillary renal cell carcinoma,EFO_0000640
TERT,ENSG00000164362,0.3318925564058047,papillary renal cell carcinoma,EFO_0000640
TP53,ENSG00000141510,0.32901695128403935,papillary renal cell carcinoma,EFO_0000640
NF2,ENSG00000186575,0.32887528841676733,papillary renal cell carcinoma,EFO_0000640
SETD2,ENSG00000181555,0.32745017925597925,papillary renal cell carcinoma,EFO_0000640
