gene_symbol,ensembl_id,score,disease_name,efo_id
CEBPA,ENSG00000245848,0.8443836202142108,acute myeloid leukemia,EFO_0000222
DNMT3A,ENSG00000119772,0.8296354443179608,acute myeloid leukemia,EFO_0000222
FLT3,ENSG00000122025,0.8219145620727731,acute myeloid leukemia,EFO_0000222
TET2,ENSG00000168769,0.7931381045613799,acute myeloid leukemia,EFO_0000222
SRSF2,ENSG00000161547,0.7888571438601949,acute myeloid leukemia,EFO_0000222
RUNX1,ENSG00000159216,0.7824520622742314,acute myeloid leukemia,EFO_0000222
ASXL1,ENSG00000171456,0.7653245891581847,acute myeloid leukemia,EFO_0000222
KRAS,ENSG00000133703,0.7593647564916511,acute myeloid leukemia,EFO_0000222
GATA2,ENSG00000179348,0.7570884089172254,acute myeloid leukemia,EFO_0000222
NRAS,ENSG00000213281,0.7469635725814044,acute myeloid leukemia,EFO_0000222
IDH1,ENSG00000138413,0.7348974170059557,acute myeloid leukemia,EFO_0000222
TP53,ENSG00000141510,0.7334602384970089,acute myeloid leukemia,EFO_0000222
IDH2,ENSG00000182054,0.7315993434995245,acute myeloid leukemia,EFO_0000222
JAK2,ENSG00000096968,0.7241389765762045,acute myeloid leukemia,EFO_0000222
KIT,ENSG00000157404,0.7203305463738441,acute myeloid leukemia,EFO_0000222
DDX41,ENSG00000183258,0.7152213394219924,acute myeloid leukemia,EFO_0000222
TERT,ENSG00000164362,0.7075371871629651,acute myeloid leukemia,EFO_0000222
NPM1,ENSG00000181163,0.7025364660083541,acute myeloid leukemia,EFO_0000222
GATA1,ENSG00000102145,0.6938135879571263,acute myeloid leukemia,EFO_0000222
PTPN11,ENSG00000179295,0.6935818585707879,acute myeloid leukemia,EFO_0000222
RARA,ENSG00000131759,0.6902663521218302,acute myeloid leukemia,EFO_0000222
NSD1,ENSG00000165671,0.6824316082997522,acute myeloid leukemia,EFO_0000222
POLE,ENSG00000177084,0.6728524666491331,acute myeloid leukemia,EFO_0000222
SETBP1,ENSG00000152217,0.6721448287135869,acute myeloid leukemia,EFO_0000222
POLD1,ENSG00000062822,0.6693939924975796,acute myeloid leukemia,EFO_0000222
