gene_symbol,ensembl_id,score,disease_name,efo_id
TP53,ENSG00000141510,0.800110086550178,hepatocellular carcinoma,EFO_0000182
CTNNB1,ENSG00000168036,0.7958286591343339,hepatocellular carcinoma,EFO_0000182
AXIN1,ENSG00000103126,0.7863501838671685,hepatocellular carcinoma,EFO_0000182
MET,ENSG00000105976,0.7715914831511618,hepatocellular carcinoma,EFO_0000182
APC,ENSG00000134982,0.7393694749819484,hepatocellular carcinoma,EFO_0000182
ARID1A,ENSG00000117713,0.6714338824645436,hepatocellular carcinoma,EFO_0000182
PIK3CA,ENSG00000121879,0.6614764303191578,hepatocellular carcinoma,EFO_0000182
ARID2,ENSG00000189079,0.6335705619698607,hepatocellular carcinoma,EFO_0000182
RB1,ENSG00000139687,0.6314238022470497,hepatocellular carcinoma,EFO_0000182
KDR,ENSG00000128052,0.62280811539618,hepatocellular carcinoma,EFO_0000182
NFE2L2,ENSG00000116044,0.6133182419468448,hepatocellular carcinoma,EFO_0000182
CDKN2A,ENSG00000147889,0.6074943962525107,hepatocellular carcinoma,EFO_0000182
TSC2,ENSG00000103197,0.6028679895865209,hepatocellular carcinoma,EFO_0000182
TERT,ENSG00000164362,0.57585778950669,hepatocellular carcinoma,EFO_0000182
FGFR2,ENSG00000066468,0.5513142296652275,hepatocellular carcinoma,EFO_0000182
CTLA4,ENSG00000163599,0.5434728596345216,hepatocellular carcinoma,EFO_0000182
RPS6KA3,ENSG00000177189,0.5347081929505958,hepatocellular carcinoma,EFO_0000182
BAP1,ENSG00000163930,0.5305266557455407,hepatocellular carcinoma,EFO_0000182
HNF1A,ENSG00000135100,0.5280643671570608,hepatocellular carcinoma,EFO_0000182
FLT4,ENSG00000037280,0.5276623385561086,hepatocellular carcinoma,EFO_0000182
KRAS,ENSG00000133703,0.5248438515266985,hepatocellular carcinoma,EFO_0000182
RET,ENSG00000165731,0.5237649754899696,hepatocellular carcinoma,EFO_0000182
BRD7,ENSG00000166164,0.5146964911680855,hepatocellular carcinoma,EFO_0000182
KIT,ENSG00000157404,0.513240123731294,hepatocellular carcinoma,EFO_0000182
PNPLA3,ENSG00000100344,0.5115437624271735,hepatocellular carcinoma,EFO_0000182
BRAF,ENSG00000157764,0.5103981876837665,hepatocellular carcinoma,EFO_0000182
PRKACA,ENSG00000072062,0.5048427560892631,hepatocellular carcinoma,EFO_0000182
RAF1,ENSG00000132155,0.5033475669400475,hepatocellular carcinoma,EFO_0000182
PDGFRB,ENSG00000113721,0.5023412561414752,hepatocellular carcinoma,EFO_0000182
FGFR1,ENSG00000077782,0.5003572550136354,hepatocellular carcinoma,EFO_0000182
RANBP2,ENSG00000153201,0.49930930634788667,hepatocellular carcinoma,EFO_0000182
IGF2R,ENSG00000197081,0.4976128950504046,hepatocellular carcinoma,EFO_0000182
FLT3,ENSG00000122025,0.49579861806914555,hepatocellular carcinoma,EFO_0000182
CD274,ENSG00000120217,0.49552283422240934,hepatocellular carcinoma,EFO_0000182
PDGFRA,ENSG00000134853,0.4949159822370814,hepatocellular carcinoma,EFO_0000182
ACVR2A,ENSG00000121989,0.49076537281219645,hepatocellular carcinoma,EFO_0000182
NBEA,ENSG00000172915,0.4843466739445935,hepatocellular carcinoma,EFO_0000182
FGFR3,ENSG00000068078,0.48350421979318864,hepatocellular carcinoma,EFO_0000182
DNAJB1,ENSG00000132002,0.4823040576170654,hepatocellular carcinoma,EFO_0000182
VEGFA,ENSG00000112715,0.4711487800795469,hepatocellular carcinoma,EFO_0000182
PMS2,ENSG00000122512,0.4692390515586773,hepatocellular carcinoma,EFO_0000182
KEAP1,ENSG00000079999,0.46912066304239886,hepatocellular carcinoma,EFO_0000182
NF1,ENSG00000196712,0.4643452068545693,hepatocellular carcinoma,EFO_0000182
TOP1,ENSG00000198900,0.46343841082716547,hepatocellular carcinoma,EFO_0000182
DDR2,ENSG00000162733,0.45911283470963254,hepatocellular carcinoma,EFO_0000182
BRCA2,ENSG00000139618,0.4529397950468081,hepatocellular carcinoma,EFO_0000182
PDCD1,ENSG00000188389,0.45064185729065787,hepatocellular carcinoma,EFO_0000182
LZTR1,ENSG00000099949,0.4498380163803289,hepatocellular carcinoma,EFO_0000182
FGFR4,ENSG00000160867,0.4488779784574124,hepatocellular carcinoma,EFO_0000182
ABL1,ENSG00000097007,0.44858446504953964,hepatocellular carcinoma,EFO_0000182
TYMS,ENSG00000176890,0.446508025786194,hepatocellular carcinoma,EFO_0000182
TOP2A,ENSG00000131747,0.4463975715974039,hepatocellular carcinoma,EFO_0000182
NTRK1,ENSG00000198400,0.4452675525535988,hepatocellular carcinoma,EFO_0000182
NRAS,ENSG00000213281,0.44141182032896303,hepatocellular carcinoma,EFO_0000182
TOX3,ENSG00000103460,0.44073687237470277,hepatocellular carcinoma,EFO_0000182
USP6,ENSG00000129204,0.4397042100754324,hepatocellular carcinoma,EFO_0000182
DROSHA,ENSG00000113360,0.4394680129460811,hepatocellular carcinoma,EFO_0000182
FLT1,ENSG00000102755,0.43736523318699416,hepatocellular carcinoma,EFO_0000182
KMT2D,ENSG00000167548,0.43659792853465473,hepatocellular carcinoma,EFO_0000182
EGFR,ENSG00000146648,0.4357226649113021,hepatocellular carcinoma,EFO_0000182
