gene_symbol,ensembl_id,score,disease_name,efo_id
EGFR,ENSG00000146648,0.8209015586139556,lung adenocarcinoma,EFO_0000571
KRAS,ENSG00000133703,0.7568613198901758,lung adenocarcinoma,EFO_0000571
TP53,ENSG00000141510,0.7422964934179282,lung adenocarcinoma,EFO_0000571
BRAF,ENSG00000157764,0.7149692821977801,lung adenocarcinoma,EFO_0000571
STK11,ENSG00000118046,0.6960303442711201,lung adenocarcinoma,EFO_0000571
ALK,ENSG00000171094,0.6597331715646086,lung adenocarcinoma,EFO_0000571
ROS1,ENSG00000047936,0.6532520974008839,lung adenocarcinoma,EFO_0000571
RBM10,ENSG00000182872,0.6518357800728358,lung adenocarcinoma,EFO_0000571
KEAP1,ENSG00000079999,0.6353488343837773,lung adenocarcinoma,EFO_0000571
ERBB2,ENSG00000141736,0.6322068445896085,lung adenocarcinoma,EFO_0000571
NRG1,ENSG00000157168,0.6287698230279039,lung adenocarcinoma,EFO_0000571
RB1,ENSG00000139687,0.6199061975268902,lung adenocarcinoma,EFO_0000571
EML4,ENSG00000143924,0.6176371143739875,lung adenocarcinoma,EFO_0000571
MET,ENSG00000105976,0.6055233900079023,lung adenocarcinoma,EFO_0000571
TP63,ENSG00000073282,0.5982842096970941,lung adenocarcinoma,EFO_0000571
RET,ENSG00000165731,0.5921000036722126,lung adenocarcinoma,EFO_0000571
ATM,ENSG00000149311,0.5873950875040583,lung adenocarcinoma,EFO_0000571
SMARCA4,ENSG00000127616,0.5818323758053949,lung adenocarcinoma,EFO_0000571
LRP1B,ENSG00000168702,0.5789110759203189,lung adenocarcinoma,EFO_0000571
PIK3CA,ENSG00000121879,0.5688147613265605,lung adenocarcinoma,EFO_0000571
CDKN2A,ENSG00000147889,0.5668398085239335,lung adenocarcinoma,EFO_0000571
CTNNB1,ENSG00000168036,0.5563779102836472,lung adenocarcinoma,EFO_0000571
ARID1A,ENSG00000117713,0.5513678656238444,lung adenocarcinoma,EFO_0000571
KIF5B,ENSG00000170759,0.5344506612823122,lung adenocarcinoma,EFO_0000571
U2AF1,ENSG00000160201,0.530032872821657,lung adenocarcinoma,EFO_0000571
NF1,ENSG00000196712,0.5273612232824937,lung adenocarcinoma,EFO_0000571
TERT,ENSG00000164362,0.5204061388951156,lung adenocarcinoma,EFO_0000571
APC,ENSG00000134982,0.5179127961692358,lung adenocarcinoma,EFO_0000571
SETD2,ENSG00000181555,0.5133081266353925,lung adenocarcinoma,EFO_0000571
SLC34A2,ENSG00000157765,0.5126457977826889,lung adenocarcinoma,EFO_0000571
ERBB4,ENSG00000178568,0.5058974242279605,lung adenocarcinoma,EFO_0000571
BRCA2,ENSG00000139618,0.5041495753569576,lung adenocarcinoma,EFO_0000571
STN1,ENSG00000107960,0.49169014552513446,lung adenocarcinoma,EFO_0000571
CD74,ENSG00000019582,0.4903318817735577,lung adenocarcinoma,EFO_0000571
SDC4,ENSG00000124145,0.48667518407354127,lung adenocarcinoma,EFO_0000571
PBX1,ENSG00000185630,0.4864132302671269,lung adenocarcinoma,EFO_0000571
LRIG3,ENSG00000139263,0.4841504413353923,lung adenocarcinoma,EFO_0000571
SECISBP2L,ENSG00000138593,0.48267042218331385,lung adenocarcinoma,EFO_0000571
TCF3,ENSG00000071564,0.47416777106727925,lung adenocarcinoma,EFO_0000571
CCDC6,ENSG00000108091,0.46264046010478643,lung adenocarcinoma,EFO_0000571
CHRNA5,ENSG00000169684,0.46208314195586564,lung adenocarcinoma,EFO_0000571
EIF3E,ENSG00000104408,0.46066845623063757,lung adenocarcinoma,EFO_0000571
FGFR2,ENSG00000066468,0.4570347073798985,lung adenocarcinoma,EFO_0000571
KDR,ENSG00000128052,0.4483623859411038,lung adenocarcinoma,EFO_0000571
MTAP,ENSG00000099810,0.44721308214127264,lung adenocarcinoma,EFO_0000571
POLQ,ENSG00000051341,0.4432855982713367,lung adenocarcinoma,EFO_0000571
MAML2,ENSG00000184384,0.44183548498178526,lung adenocarcinoma,EFO_0000571
CRTC1,ENSG00000105662,0.44103965950405005,lung adenocarcinoma,EFO_0000571
CLPTM1L,ENSG00000049656,0.4382832931537937,lung adenocarcinoma,EFO_0000571
CLTC,ENSG00000141367,0.43667913052412427,lung adenocarcinoma,EFO_0000571
PTEN,ENSG00000171862,0.42995062730052697,lung adenocarcinoma,EFO_0000571
HGF,ENSG00000019991,0.42992274437298356,lung adenocarcinoma,EFO_0000571
TET2,ENSG00000168769,0.4297251802434422,lung adenocarcinoma,EFO_0000571
TRRAP,ENSG00000196367,0.42662289536984566,lung adenocarcinoma,EFO_0000571
MPZL3,ENSG00000160588,0.4231032036796665,lung adenocarcinoma,EFO_0000571
SMAD4,ENSG00000141646,0.42191887580423115,lung adenocarcinoma,EFO_0000571
KMT2C,ENSG00000055609,0.4210563296815614,lung adenocarcinoma,EFO_0000571
FOXP4,ENSG00000137166,0.42058431589019096,lung adenocarcinoma,EFO_0000571
TRIM24,ENSG00000122779,0.42025612791102845,lung adenocarcinoma,EFO_0000571
CHEK2,ENSG00000183765,0.4200768742343116,lung adenocarcinoma,EFO_0000571
MAP3K1,ENSG00000095015,0.4181079319154771,lung adenocarcinoma,EFO_0000571
IRS4,ENSG00000133124,0.4157773365202895,lung adenocarcinoma,EFO_0000571
TUBB,ENSG00000196230,0.4117047062897978,lung adenocarcinoma,EFO_0000571
NTRK1,ENSG00000198400,0.40698103174155426,lung adenocarcinoma,EFO_0000571
SPEN,ENSG00000065526,0.406466605309566,lung adenocarcinoma,EFO_0000571
DCBLD1,ENSG00000164465,0.40324792405968907,lung adenocarcinoma,EFO_0000571
BAZ1A,ENSG00000198604,0.4029226247156251,lung adenocarcinoma,EFO_0000571
NCOR1,ENSG00000141027,0.4023506866338789,lung adenocarcinoma,EFO_0000571
TUBB6,ENSG00000176014,0.40134559248095664,lung adenocarcinoma,EFO_0000571
TUBB3,ENSG00000258947,0.39974210546555394,lung adenocarcinoma,EFO_0000571
TUBB4A,ENSG00000104833,0.3978354327291285,lung adenocarcinoma,EFO_0000571
TUBB4B,ENSG00000188229,0.39760444531995065,lung adenocarcinoma,EFO_0000571
TUBB1,ENSG00000101162,0.39741965539260826,lung adenocarcinoma,EFO_0000571
TUBB2B,ENSG00000137285,0.39732025909553925,lung adenocarcinoma,EFO_0000571
PTPRB,ENSG00000127329,0.39678217555449863,lung adenocarcinoma,EFO_0000571
TUBB2A,ENSG00000137267,0.3966804956832389,lung adenocarcinoma,EFO_0000571
TUBB8,ENSG00000261456,0.3966804956832389,lung adenocarcinoma,EFO_0000571
EP300,ENSG00000100393,0.39337895002802065,lung adenocarcinoma,EFO_0000571
POT1,ENSG00000128513,0.39100954428997514,lung adenocarcinoma,EFO_0000571
CDK12,ENSG00000167258,0.39046794799996126,lung adenocarcinoma,EFO_0000571
ATIC,ENSG00000138363,0.3898827487636089,lung adenocarcinoma,EFO_0000571
NTRK2,ENSG00000148053,0.3875868269876682,lung adenocarcinoma,EFO_0000571
RHPN2,ENSG00000131941,0.3873536853431733,lung adenocarcinoma,EFO_0000571
CDKN2B,ENSG00000147883,0.3869493890673287,lung adenocarcinoma,EFO_0000571
MAP2K1,ENSG00000169032,0.3868745335649459,lung adenocarcinoma,EFO_0000571
DDR2,ENSG00000162733,0.38552164493624497,lung adenocarcinoma,EFO_0000571
PTCH1,ENSG00000185920,0.38495222075709973,lung adenocarcinoma,EFO_0000571
PBRM1,ENSG00000163939,0.38402746313425995,lung adenocarcinoma,EFO_0000571
DICER1,ENSG00000100697,0.38328893684406246,lung adenocarcinoma,EFO_0000571
HOXA9,ENSG00000078399,0.3822168930486363,lung adenocarcinoma,EFO_0000571
