gene_symbol,ensembl_id,score,disease_name,efo_id
EGFR,ENSG00000146648,0.8849609288785896,non-small cell lung carcinoma,EFO_0003060
KRAS,ENSG00000133703,0.8325357952340027,non-small cell lung carcinoma,EFO_0003060
ALK,ENSG00000171094,0.8092320901242045,non-small cell lung carcinoma,EFO_0003060
MET,ENSG00000105976,0.8018220274074975,non-small cell lung carcinoma,EFO_0003060
ERBB2,ENSG00000141736,0.7885885808678762,non-small cell lung carcinoma,EFO_0003060
DICER1,ENSG00000100697,0.779664120131095,non-small cell lung carcinoma,EFO_0003060
BRAF,ENSG00000157764,0.7780741287672311,non-small cell lung carcinoma,EFO_0003060
TP53,ENSG00000141510,0.7765123506147569,non-small cell lung carcinoma,EFO_0003060
RET,ENSG00000165731,0.7634942104495817,non-small cell lung carcinoma,EFO_0003060
ROS1,ENSG00000047936,0.7589482425081571,non-small cell lung carcinoma,EFO_0003060
EML4,ENSG00000143924,0.7496566235278742,non-small cell lung carcinoma,EFO_0003060
STK11,ENSG00000118046,0.7410664322283051,non-small cell lung carcinoma,EFO_0003060
ERBB4,ENSG00000178568,0.7320139873451683,non-small cell lung carcinoma,EFO_0003060
PIK3CA,ENSG00000121879,0.7138246441399025,non-small cell lung carcinoma,EFO_0003060
KIF5B,ENSG00000170759,0.7072915311596595,non-small cell lung carcinoma,EFO_0003060
POLD1,ENSG00000062822,0.7054327563046348,non-small cell lung carcinoma,EFO_0003060
RB1,ENSG00000139687,0.701649967202955,non-small cell lung carcinoma,EFO_0003060
SMARCA4,ENSG00000127616,0.6949882745206666,non-small cell lung carcinoma,EFO_0003060
CD274,ENSG00000120217,0.6936991850249528,non-small cell lung carcinoma,EFO_0003060
KEAP1,ENSG00000079999,0.6936790782330149,non-small cell lung carcinoma,EFO_0003060
POLE,ENSG00000177084,0.6925978986459902,non-small cell lung carcinoma,EFO_0003060
NPM1,ENSG00000181163,0.6914052443518589,non-small cell lung carcinoma,EFO_0003060
CCDC6,ENSG00000108091,0.6884142353988665,non-small cell lung carcinoma,EFO_0003060
RBM10,ENSG00000182872,0.687800310376977,non-small cell lung carcinoma,EFO_0003060
CTNNB1,ENSG00000168036,0.6808995714217007,non-small cell lung carcinoma,EFO_0003060
NTRK1,ENSG00000198400,0.6739035527803123,non-small cell lung carcinoma,EFO_0003060
KDR,ENSG00000128052,0.6722197056607103,non-small cell lung carcinoma,EFO_0003060
NRG1,ENSG00000157168,0.6679167903184049,non-small cell lung carcinoma,EFO_0003060
CDKN2A,ENSG00000147889,0.6643769629870666,non-small cell lung carcinoma,EFO_0003060
NTRK2,ENSG00000148053,0.6568340723168596,non-small cell lung carcinoma,EFO_0003060
NTRK3,ENSG00000140538,0.6552131619745875,non-small cell lung carcinoma,EFO_0003060
ARID1A,ENSG00000117713,0.6471716252442886,non-small cell lung carcinoma,EFO_0003060
TP63,ENSG00000073282,0.6272848857978223,non-small cell lung carcinoma,EFO_0003060
TUBB,ENSG00000196230,0.62344401807571,non-small cell lung carcinoma,EFO_0003060
PDCD1,ENSG00000188389,0.6234069367985277,non-small cell lung carcinoma,EFO_0003060
TUBB3,ENSG00000258947,0.6206046289564788,non-small cell lung carcinoma,EFO_0003060
LRP1B,ENSG00000168702,0.618825682569635,non-small cell lung carcinoma,EFO_0003060
FLT4,ENSG00000037280,0.6161508324304948,non-small cell lung carcinoma,EFO_0003060
TUBB4B,ENSG00000188229,0.6158325379519312,non-small cell lung carcinoma,EFO_0003060
CD74,ENSG00000019582,0.614745382439931,non-small cell lung carcinoma,EFO_0003060
TUBB2B,ENSG00000137285,0.6141390409289093,non-small cell lung carcinoma,EFO_0003060
TUBB8,ENSG00000261456,0.6093963644116122,non-small cell lung carcinoma,EFO_0003060
VEGFA,ENSG00000112715,0.6090960997492522,non-small cell lung carcinoma,EFO_0003060
TUBB6,ENSG00000176014,0.6089373449057208,non-small cell lung carcinoma,EFO_0003060
ATM,ENSG00000149311,0.60879850787846,non-small cell lung carcinoma,EFO_0003060
TUBB1,ENSG00000101162,0.6074091970972424,non-small cell lung carcinoma,EFO_0003060
TUBB4A,ENSG00000104833,0.6065725093706645,non-small cell lung carcinoma,EFO_0003060
TUBB2A,ENSG00000137267,0.606064337070473,non-small cell lung carcinoma,EFO_0003060
RRM1,ENSG00000167325,0.6049209028069172,non-small cell lung carcinoma,EFO_0003060
U2AF1,ENSG00000160201,0.597988151412485,non-small cell lung carcinoma,EFO_0003060
SETD2,ENSG00000181555,0.5953467035578777,non-small cell lung carcinoma,EFO_0003060
CLIP1,ENSG00000130779,0.5952280966273277,non-small cell lung carcinoma,EFO_0003060
TYMS,ENSG00000176890,0.594082983774065,non-small cell lung carcinoma,EFO_0003060
TERT,ENSG00000164362,0.5935634413191453,non-small cell lung carcinoma,EFO_0003060
POLA2,ENSG00000014138,0.5922201723318548,non-small cell lung carcinoma,EFO_0003060
PRIM2,ENSG00000146143,0.5891940280421845,non-small cell lung carcinoma,EFO_0003060
POLE2,ENSG00000100479,0.5891567317105907,non-small cell lung carcinoma,EFO_0003060
DHFR,ENSG00000228716,0.5877834053428925,non-small cell lung carcinoma,EFO_0003060
POLD2,ENSG00000106628,0.5867582533369959,non-small cell lung carcinoma,EFO_0003060
NF1,ENSG00000196712,0.5844883111364841,non-small cell lung carcinoma,EFO_0003060
POLD4,ENSG00000175482,0.5836162086057516,non-small cell lung carcinoma,EFO_0003060
SDC4,ENSG00000124145,0.5834187120721288,non-small cell lung carcinoma,EFO_0003060
POLE3,ENSG00000148229,0.5821641704211236,non-small cell lung carcinoma,EFO_0003060
GART,ENSG00000159131,0.5821257471897578,non-small cell lung carcinoma,EFO_0003060
POLA1,ENSG00000101868,0.5819793804937813,non-small cell lung carcinoma,EFO_0003060
PRIM1,ENSG00000198056,0.5819049512174906,non-small cell lung carcinoma,EFO_0003060
POLD3,ENSG00000077514,0.5806858510023848,non-small cell lung carcinoma,EFO_0003060
CHEK2,ENSG00000183765,0.5781818257218281,non-small cell lung carcinoma,EFO_0003060
SLC34A2,ENSG00000157765,0.5744699952434335,non-small cell lung carcinoma,EFO_0003060
KMT2D,ENSG00000167548,0.5677273040331101,non-small cell lung carcinoma,EFO_0003060
MAP2K1,ENSG00000169032,0.5619294306526288,non-small cell lung carcinoma,EFO_0003060
KMT2C,ENSG00000055609,0.5607858827918297,non-small cell lung carcinoma,EFO_0003060
APC,ENSG00000134982,0.5578784999804094,non-small cell lung carcinoma,EFO_0003060
CTLA4,ENSG00000163599,0.553665708001012,non-small cell lung carcinoma,EFO_0003060
FGFR2,ENSG00000066468,0.541437131629117,non-small cell lung carcinoma,EFO_0003060
HGF,ENSG00000019991,0.5364488862743096,non-small cell lung carcinoma,EFO_0003060
CRTC1,ENSG00000105662,0.5343599342336849,non-small cell lung carcinoma,EFO_0003060
FAT1,ENSG00000083857,0.5342803785440366,non-small cell lung carcinoma,EFO_0003060
PBX1,ENSG00000185630,0.5338246759112308,non-small cell lung carcinoma,EFO_0003060
POLQ,ENSG00000051341,0.5328144835798786,non-small cell lung carcinoma,EFO_0003060
NRAS,ENSG00000213281,0.5320406209535958,non-small cell lung carcinoma,EFO_0003060
BRCA2,ENSG00000139618,0.5302710854887721,non-small cell lung carcinoma,EFO_0003060
TSC2,ENSG00000103197,0.5302535120611486,non-small cell lung carcinoma,EFO_0003060
LRIG3,ENSG00000139263,0.5257538172054379,non-small cell lung carcinoma,EFO_0003060
KIT,ENSG00000157404,0.5255782934165575,non-small cell lung carcinoma,EFO_0003060
NUTM1,ENSG00000184507,0.5239977777187883,non-small cell lung carcinoma,EFO_0003060
PDGFRB,ENSG00000113721,0.5231214830443146,non-small cell lung carcinoma,EFO_0003060
PDGFRA,ENSG00000134853,0.5209435782944811,non-small cell lung carcinoma,EFO_0003060
