gene_symbol,ensembl_id,score,disease_name,efo_id
CDKN2A,ENSG00000147889,0.6596487153455287,squamous cell lung carcinoma,EFO_0000708
TP53,ENSG00000141510,0.6491497329888959,squamous cell lung carcinoma,EFO_0000708
KMT2D,ENSG00000167548,0.6338376380046556,squamous cell lung carcinoma,EFO_0000708
EGFR,ENSG00000146648,0.6016734649265091,squamous cell lung carcinoma,EFO_0000708
PIK3CA,ENSG00000121879,0.5868868057298092,squamous cell lung carcinoma,EFO_0000708
NFE2L2,ENSG00000116044,0.5868542164758955,squamous cell lung carcinoma,EFO_0000708
CHEK2,ENSG00000183765,0.5762153568105695,squamous cell lung carcinoma,EFO_0000708
BRCA2,ENSG00000139618,0.5682352838636133,squamous cell lung carcinoma,EFO_0000708
ALK,ENSG00000171094,0.5579125335108231,squamous cell lung carcinoma,EFO_0000708
NOTCH1,ENSG00000148400,0.5498017346403021,squamous cell lung carcinoma,EFO_0000708
FAT1,ENSG00000083857,0.5479624306122102,squamous cell lung carcinoma,EFO_0000708
NF1,ENSG00000196712,0.5459951294914043,squamous cell lung carcinoma,EFO_0000708
KEAP1,ENSG00000079999,0.545978885167108,squamous cell lung carcinoma,EFO_0000708
PTEN,ENSG00000171862,0.5263037334294208,squamous cell lung carcinoma,EFO_0000708
MAML2,ENSG00000184384,0.5014227551210327,squamous cell lung carcinoma,EFO_0000708
RANBP2,ENSG00000153201,0.4922155093609244,squamous cell lung carcinoma,EFO_0000708
KDM6A,ENSG00000147050,0.4921989847298665,squamous cell lung carcinoma,EFO_0000708
ARID1A,ENSG00000117713,0.4862605607442526,squamous cell lung carcinoma,EFO_0000708
LRP1B,ENSG00000168702,0.482146473933646,squamous cell lung carcinoma,EFO_0000708
KRAS,ENSG00000133703,0.4726619359629523,squamous cell lung carcinoma,EFO_0000708
KDR,ENSG00000128052,0.46631968689254916,squamous cell lung carcinoma,EFO_0000708
RET,ENSG00000165731,0.4644118550029643,squamous cell lung carcinoma,EFO_0000708
EML4,ENSG00000143924,0.4642417287895495,squamous cell lung carcinoma,EFO_0000708
CCDC6,ENSG00000108091,0.46243679317423314,squamous cell lung carcinoma,EFO_0000708
KIF5B,ENSG00000170759,0.4619748183558772,squamous cell lung carcinoma,EFO_0000708
RB1,ENSG00000139687,0.4576348043125225,squamous cell lung carcinoma,EFO_0000708
RASA1,ENSG00000145715,0.4573271235475043,squamous cell lung carcinoma,EFO_0000708
HRAS,ENSG00000174775,0.45440095793140844,squamous cell lung carcinoma,EFO_0000708
ARHGAP35,ENSG00000160007,0.45083609217996334,squamous cell lung carcinoma,EFO_0000708
FGFR2,ENSG00000066468,0.44740320470114536,squamous cell lung carcinoma,EFO_0000708
CD74,ENSG00000019582,0.44557471230424356,squamous cell lung carcinoma,EFO_0000708
CRTC1,ENSG00000105662,0.44072397671150687,squamous cell lung carcinoma,EFO_0000708
ATIC,ENSG00000138363,0.4388760774380834,squamous cell lung carcinoma,EFO_0000708
KMT2C,ENSG00000055609,0.43167894771448334,squamous cell lung carcinoma,EFO_0000708
DDR2,ENSG00000162733,0.4298039056348287,squamous cell lung carcinoma,EFO_0000708
CLPTM1L,ENSG00000049656,0.4252907332343021,squamous cell lung carcinoma,EFO_0000708
NSD1,ENSG00000165671,0.42246342392224745,squamous cell lung carcinoma,EFO_0000708
HLA-A,ENSG00000206503,0.4220721711748498,squamous cell lung carcinoma,EFO_0000708
ROS1,ENSG00000047936,0.4202494288646108,squamous cell lung carcinoma,EFO_0000708
POLE,ENSG00000177084,0.4193961392640772,squamous cell lung carcinoma,EFO_0000708
STRN,ENSG00000115808,0.4157773365202895,squamous cell lung carcinoma,EFO_0000708
NUTM1,ENSG00000184507,0.4157773365202895,squamous cell lung carcinoma,EFO_0000708
FCRL4,ENSG00000163518,0.4157773365202895,squamous cell lung carcinoma,EFO_0000708
TERT,ENSG00000164362,0.404498856754979,squamous cell lung carcinoma,EFO_0000708
TUBB6,ENSG00000176014,0.40103614336566223,squamous cell lung carcinoma,EFO_0000708
TUBB,ENSG00000196230,0.40011219372895057,squamous cell lung carcinoma,EFO_0000708
TUBB1,ENSG00000101162,0.3991882440922388,squamous cell lung carcinoma,EFO_0000708
TUBB2A,ENSG00000137267,0.3991882440922388,squamous cell lung carcinoma,EFO_0000708
TUBB4B,ENSG00000188229,0.3991882440922388,squamous cell lung carcinoma,EFO_0000708
TUBB8,ENSG00000261456,0.3991882440922388,squamous cell lung carcinoma,EFO_0000708
TUBB4A,ENSG00000104833,0.3991882440922388,squamous cell lung carcinoma,EFO_0000708
TUBB3,ENSG00000258947,0.3991882440922388,squamous cell lung carcinoma,EFO_0000708
TUBB2B,ENSG00000137285,0.3991882440922388,squamous cell lung carcinoma,EFO_0000708
CHRNA5,ENSG00000169684,0.3977622037352791,squamous cell lung carcinoma,EFO_0000708
FGFR1,ENSG00000077782,0.39597127717396413,squamous cell lung carcinoma,EFO_0000708
EP300,ENSG00000100393,0.3947148262570025,squamous cell lung carcinoma,EFO_0000708
KIT,ENSG00000157404,0.39115901848027945,squamous cell lung carcinoma,EFO_0000708
STAG2,ENSG00000101972,0.39106021175170697,squamous cell lung carcinoma,EFO_0000708
STK11,ENSG00000118046,0.39024878352357023,squamous cell lung carcinoma,EFO_0000708
FGFR3,ENSG00000068078,0.38844553299139606,squamous cell lung carcinoma,EFO_0000708
ZNF521,ENSG00000198795,0.3866670996784258,squamous cell lung carcinoma,EFO_0000708
DROSHA,ENSG00000113360,0.3860897184740871,squamous cell lung carcinoma,EFO_0000708
MET,ENSG00000105976,0.3857296348550104,squamous cell lung carcinoma,EFO_0000708
PDCD1,ENSG00000188389,0.38570056045021334,squamous cell lung carcinoma,EFO_0000708
ARID1B,ENSG00000049618,0.38420749129097004,squamous cell lung carcinoma,EFO_0000708
FBXW7,ENSG00000109670,0.38392634001865344,squamous cell lung carcinoma,EFO_0000708
TET2,ENSG00000168769,0.3837508358402823,squamous cell lung carcinoma,EFO_0000708
ATM,ENSG00000149311,0.382293278680975,squamous cell lung carcinoma,EFO_0000708
