gene_symbol,ensembl_id,score,disease_name,efo_id
BAP1,ENSG00000163930,0.7798391125392382,mesothelioma,EFO_0000588
NF2,ENSG00000186575,0.7300435620927451,mesothelioma,EFO_0000588
WT1,ENSG00000184937,0.723975491460159,mesothelioma,EFO_0000588
LATS2,ENSG00000150457,0.6542159642366692,mesothelioma,EFO_0000588
TP53,ENSG00000141510,0.6443588098119799,mesothelioma,EFO_0000588
SETD2,ENSG00000181555,0.6222810695078508,mesothelioma,EFO_0000588
TYMS,ENSG00000176890,0.5811431311148955,mesothelioma,EFO_0000588
TRAF7,ENSG00000131653,0.5715368924506571,mesothelioma,EFO_0000588
CDKN2A,ENSG00000147889,0.5700817390237816,mesothelioma,EFO_0000588
DHFR,ENSG00000228716,0.5668074133069171,mesothelioma,EFO_0000588
GART,ENSG00000159131,0.563237950682476,mesothelioma,EFO_0000588
DDX3X,ENSG00000215301,0.533561478893559,mesothelioma,EFO_0000588
PDCD1,ENSG00000188389,0.5266452920020559,mesothelioma,EFO_0000588
CTLA4,ENSG00000163599,0.5110176306067173,mesothelioma,EFO_0000588
BCL10,ENSG00000142867,0.4757371765210372,mesothelioma,EFO_0000588
PBRM1,ENSG00000163939,0.46794488371570647,mesothelioma,EFO_0000588
LATS1,ENSG00000131023,0.4541604740972999,mesothelioma,EFO_0000588
EGFR,ENSG00000146648,0.42769292672377157,mesothelioma,EFO_0000588
CTNNB1,ENSG00000168036,0.4271837658886558,mesothelioma,EFO_0000588
SSX2,ENSG00000241476,0.4178510901493536,mesothelioma,EFO_0000588
SSX1,ENSG00000126752,0.416839878602508,mesothelioma,EFO_0000588
SS18,ENSG00000141380,0.4164241012659877,mesothelioma,EFO_0000588
PTCH1,ENSG00000185920,0.4131005694349301,mesothelioma,EFO_0000588
APC,ENSG00000134982,0.41267575978971516,mesothelioma,EFO_0000588
POLE,ENSG00000177084,0.40781544183955243,mesothelioma,EFO_0000588
CD274,ENSG00000120217,0.40625606719271623,mesothelioma,EFO_0000588
RHOA,ENSG00000067560,0.40491555009206004,mesothelioma,EFO_0000588
SMO,ENSG00000128602,0.39417570508884,mesothelioma,EFO_0000588
PIK3CA,ENSG00000121879,0.3941656836083069,mesothelioma,EFO_0000588
ALK,ENSG00000171094,0.3922104094379886,mesothelioma,EFO_0000588
SMARCA4,ENSG00000127616,0.39135407928692295,mesothelioma,EFO_0000588
BRCA2,ENSG00000139618,0.3909966891817374,mesothelioma,EFO_0000588
FBXW7,ENSG00000109670,0.3899529441741959,mesothelioma,EFO_0000588
TUBB1,ENSG00000101162,0.3897613293233565,mesothelioma,EFO_0000588
KMT2D,ENSG00000167548,0.3881134170661739,mesothelioma,EFO_0000588
TUBB6,ENSG00000176014,0.38791343004993306,mesothelioma,EFO_0000588
TUBB3,ENSG00000258947,0.38791343004993306,mesothelioma,EFO_0000588
TUBB8,ENSG00000261456,0.38791343004993306,mesothelioma,EFO_0000588
TUBB,ENSG00000196230,0.38791343004993306,mesothelioma,EFO_0000588
TUBB4A,ENSG00000104833,0.38791343004993306,mesothelioma,EFO_0000588
TUBB2A,ENSG00000137267,0.38791343004993306,mesothelioma,EFO_0000588
TUBB4B,ENSG00000188229,0.38791343004993306,mesothelioma,EFO_0000588
TUBB2B,ENSG00000137285,0.38791343004993306,mesothelioma,EFO_0000588
NF1,ENSG00000196712,0.384950202604242,mesothelioma,EFO_0000588
TSC1,ENSG00000165699,0.38271810739284484,mesothelioma,EFO_0000588
MET,ENSG00000105976,0.3797633974497256,mesothelioma,EFO_0000588
ARID2,ENSG00000189079,0.37893227822963965,mesothelioma,EFO_0000588
KRAS,ENSG00000133703,0.37874778202013326,mesothelioma,EFO_0000588
KDR,ENSG00000128052,0.3777153718175155,mesothelioma,EFO_0000588
FAT4,ENSG00000196159,0.3769932137761857,mesothelioma,EFO_0000588
ATM,ENSG00000149311,0.3752095135287798,mesothelioma,EFO_0000588
CREBBP,ENSG00000005339,0.37307741470393874,mesothelioma,EFO_0000588
STRN,ENSG00000115808,0.37233201519183573,mesothelioma,EFO_0000588
LRP1B,ENSG00000168702,0.3715823129576972,mesothelioma,EFO_0000588
PI4KA,ENSG00000241973,0.3695798546847018,mesothelioma,EFO_0000588
DNMT3A,ENSG00000119772,0.3692327576045104,mesothelioma,EFO_0000588
MYH9,ENSG00000100345,0.3679372775527698,mesothelioma,EFO_0000588
SUFU,ENSG00000107882,0.36413625140840844,mesothelioma,EFO_0000588
ARID1A,ENSG00000117713,0.35648030205754405,mesothelioma,EFO_0000588
RRM1,ENSG00000167325,0.35609390821863457,mesothelioma,EFO_0000588
EWSR1,ENSG00000182944,0.3547955492313886,mesothelioma,EFO_0000588
FLT4,ENSG00000037280,0.3539475575089783,mesothelioma,EFO_0000588
POLD1,ENSG00000062822,0.352980981461054,mesothelioma,EFO_0000588
BRAF,ENSG00000157764,0.3509359697203191,mesothelioma,EFO_0000588
POLA2,ENSG00000014138,0.3503560405431559,mesothelioma,EFO_0000588
POLD3,ENSG00000077514,0.3501712506158135,mesothelioma,EFO_0000588
VHL,ENSG00000134086,0.35003073976820204,mesothelioma,EFO_0000588
POLA1,ENSG00000101868,0.3499864606884711,mesothelioma,EFO_0000588
SF3B1,ENSG00000115524,0.3499605766297401,mesothelioma,EFO_0000588
POLD4,ENSG00000175482,0.34961688083378645,mesothelioma,EFO_0000588
POLD2,ENSG00000106628,0.34961688083378645,mesothelioma,EFO_0000588
POLE2,ENSG00000100479,0.34961688083378645,mesothelioma,EFO_0000588
PRIM2,ENSG00000146143,0.34961688083378645,mesothelioma,EFO_0000588
POLE3,ENSG00000148229,0.34961688083378645,mesothelioma,EFO_0000588
PRIM1,ENSG00000198056,0.34961688083378645,mesothelioma,EFO_0000588
EP300,ENSG00000100393,0.34930685973918474,mesothelioma,EFO_0000588
KDM6A,ENSG00000147050,0.3466094401053401,mesothelioma,EFO_0000588
ZFHX3,ENSG00000140836,0.34648111376690793,mesothelioma,EFO_0000588
RICTOR,ENSG00000164327,0.34648111376690793,mesothelioma,EFO_0000588
TOP2A,ENSG00000131747,0.3464023554408738,mesothelioma,EFO_0000588
KMT2C,ENSG00000055609,0.34576248627168765,mesothelioma,EFO_0000588
ZNF521,ENSG00000198795,0.34391458699826416,mesothelioma,EFO_0000588
MAP2K1,ENSG00000169032,0.3422444453688369,mesothelioma,EFO_0000588
NCOR2,ENSG00000196498,0.33866204485928797,mesothelioma,EFO_0000588
FGFR3,ENSG00000068078,0.33684300042651577,mesothelioma,EFO_0000588
STK11,ENSG00000118046,0.3358681719682112,mesothelioma,EFO_0000588
NOTCH1,ENSG00000148400,0.3326838234832906,mesothelioma,EFO_0000588
RB1,ENSG00000139687,0.3291657450412159,mesothelioma,EFO_0000588
TP63,ENSG00000073282,0.3267492730021196,mesothelioma,EFO_0000588
MYCN,ENSG00000134323,0.3255074570135511,mesothelioma,EFO_0000588
PTPRT,ENSG00000196090,0.3254612595317155,mesothelioma,EFO_0000588
TET1,ENSG00000138336,0.3252302721225375,mesothelioma,EFO_0000588
CHEK2,ENSG00000183765,0.3243814190590763,mesothelioma,EFO_0000588
CDK12,ENSG00000167258,0.3239367426311411,mesothelioma,EFO_0000588
ASXL1,ENSG00000171456,0.3239367426311411,mesothelioma,EFO_0000588
BCL11A,ENSG00000119866,0.3233823728491141,mesothelioma,EFO_0000588
KEAP1,ENSG00000079999,0.3233823728491141,mesothelioma,EFO_0000588
MGA,ENSG00000174197,0.3179264300700874,mesothelioma,EFO_0000588
VEGFA,ENSG00000112715,0.31632820246189924,mesothelioma,EFO_0000588
PDZD2,ENSG00000133401,0.31544004117668123,mesothelioma,EFO_0000588
FGFR2,ENSG00000066468,0.3109931892043743,mesothelioma,EFO_0000588
SETDB1,ENSG00000143379,0.31050331763012884,mesothelioma,EFO_0000588
FGFR1,ENSG00000077782,0.31024033487359076,mesothelioma,EFO_0000588
FGFR4,ENSG00000160867,0.30563941436498343,mesothelioma,EFO_0000588
RET,ENSG00000165731,0.30533911932626645,mesothelioma,EFO_0000588
FLT3,ENSG00000122025,0.3049085131684163,mesothelioma,EFO_0000588
EML4,ENSG00000143924,0.30437980865407566,mesothelioma,EFO_0000588
FOXO1,ENSG00000150907,0.2892142019781596,mesothelioma,EFO_0000588
HDAC2,ENSG00000196591,0.2888215233825572,mesothelioma,EFO_0000588
CASR,ENSG00000036828,0.28749230498426187,mesothelioma,EFO_0000588
HDAC1,ENSG00000116478,0.28507439430033726,mesothelioma,EFO_0000588
HDAC3,ENSG00000171720,0.28313923311677985,mesothelioma,EFO_0000588
HDAC6,ENSG00000094631,0.28129133384335636,mesothelioma,EFO_0000588
BRCA1,ENSG00000012048,0.2812913061705471,mesothelioma,EFO_0000588
AXIN2,ENSG00000168646,0.27977194999631927,mesothelioma,EFO_0000588
ELF4,ENSG00000102034,0.2795871600689769,mesothelioma,EFO_0000588
CDH11,ENSG00000140937,0.27949476510530574,mesothelioma,EFO_0000588
