gene_symbol,ensembl_id,score,disease_name,efo_id
TUBB6,ENSG00000176014,0.09375490858997272,ovarian serous cystadenocarcinoma,EFO_1000043
POLD1,ENSG00000062822,0.0933189133078872,ovarian serous cystadenocarcinoma,EFO_1000043
TUBB,ENSG00000196230,0.09283095895326096,ovarian serous cystadenocarcinoma,EFO_1000043
TUBB2B,ENSG00000137285,0.09283095895326096,ovarian serous cystadenocarcinoma,EFO_1000043
TUBB1,ENSG00000101162,0.09283095895326096,ovarian serous cystadenocarcinoma,EFO_1000043
TUBB4A,ENSG00000104833,0.09283095895326096,ovarian serous cystadenocarcinoma,EFO_1000043
TUBB8,ENSG00000261456,0.09283095895326096,ovarian serous cystadenocarcinoma,EFO_1000043
TUBB2A,ENSG00000137267,0.09283095895326096,ovarian serous cystadenocarcinoma,EFO_1000043
TUBB3,ENSG00000258947,0.09283095895326096,ovarian serous cystadenocarcinoma,EFO_1000043
TUBB4B,ENSG00000188229,0.09283095895326096,ovarian serous cystadenocarcinoma,EFO_1000043
POLD3,ENSG00000077514,0.09239496367117545,ovarian serous cystadenocarcinoma,EFO_1000043
POLD2,ENSG00000106628,0.09239496367117545,ovarian serous cystadenocarcinoma,EFO_1000043
POLE3,ENSG00000148229,0.09239496367117545,ovarian serous cystadenocarcinoma,EFO_1000043
PRIM2,ENSG00000146143,0.09239496367117545,ovarian serous cystadenocarcinoma,EFO_1000043
POLE,ENSG00000177084,0.09239496367117545,ovarian serous cystadenocarcinoma,EFO_1000043
PRIM1,ENSG00000198056,0.09239496367117545,ovarian serous cystadenocarcinoma,EFO_1000043
RRM1,ENSG00000167325,0.09239496367117545,ovarian serous cystadenocarcinoma,EFO_1000043
POLA1,ENSG00000101868,0.09239496367117545,ovarian serous cystadenocarcinoma,EFO_1000043
POLA2,ENSG00000014138,0.09239496367117545,ovarian serous cystadenocarcinoma,EFO_1000043
POLD4,ENSG00000175482,0.09239496367117545,ovarian serous cystadenocarcinoma,EFO_1000043
POLE2,ENSG00000100479,0.09239496367117545,ovarian serous cystadenocarcinoma,EFO_1000043
HDAC1,ENSG00000116478,0.07483992057365212,ovarian serous cystadenocarcinoma,EFO_1000043
HDAC8,ENSG00000147099,0.07391597093694036,ovarian serous cystadenocarcinoma,EFO_1000043
