gene_symbol,ensembl_id,score,disease_name,efo_id
KRAS,ENSG00000133703,0.6995138146054963,pancreatic adenocarcinoma,EFO_1000044
SMAD4,ENSG00000141646,0.6906073492706024,pancreatic adenocarcinoma,EFO_1000044
TP53,ENSG00000141510,0.6885461771408046,pancreatic adenocarcinoma,EFO_1000044
CDKN2A,ENSG00000147889,0.6834711042050374,pancreatic adenocarcinoma,EFO_1000044
ARID1A,ENSG00000117713,0.6444540078347828,pancreatic adenocarcinoma,EFO_1000044
RNF43,ENSG00000108375,0.6323170743535992,pancreatic adenocarcinoma,EFO_1000044
TGFBR2,ENSG00000163513,0.6077107288866901,pancreatic adenocarcinoma,EFO_1000044
GNAS,ENSG00000087460,0.6041055547470596,pancreatic adenocarcinoma,EFO_1000044
KMT2C,ENSG00000055609,0.5945856746817221,pancreatic adenocarcinoma,EFO_1000044
RBM10,ENSG00000182872,0.5825100576046051,pancreatic adenocarcinoma,EFO_1000044
KMT2D,ENSG00000167548,0.53204720380333,pancreatic adenocarcinoma,EFO_1000044
MAP2K4,ENSG00000065559,0.5299584166587036,pancreatic adenocarcinoma,EFO_1000044
ACVR2A,ENSG00000121989,0.5284574034323883,pancreatic adenocarcinoma,EFO_1000044
POLE,ENSG00000177084,0.4989118647990362,pancreatic adenocarcinoma,EFO_1000044
POLD1,ENSG00000062822,0.48799671162163527,pancreatic adenocarcinoma,EFO_1000044
PTPRT,ENSG00000196090,0.4810395684954116,pancreatic adenocarcinoma,EFO_1000044
LRP1B,ENSG00000168702,0.4795831563775964,pancreatic adenocarcinoma,EFO_1000044
CUX1,ENSG00000257923,0.47248734798654046,pancreatic adenocarcinoma,EFO_1000044
ACVR1B,ENSG00000135503,0.4721993517826426,pancreatic adenocarcinoma,EFO_1000044
CDK6,ENSG00000105810,0.4662549667695649,pancreatic adenocarcinoma,EFO_1000044
TOP1,ENSG00000198900,0.4608904741670669,pancreatic adenocarcinoma,EFO_1000044
MAP3K13,ENSG00000073803,0.45940829158723345,pancreatic adenocarcinoma,EFO_1000044
ZFHX3,ENSG00000140836,0.45940829158723345,pancreatic adenocarcinoma,EFO_1000044
KDM6A,ENSG00000147050,0.4544690877511258,pancreatic adenocarcinoma,EFO_1000044
BRCA2,ENSG00000139618,0.44108737945660415,pancreatic adenocarcinoma,EFO_1000044
