gene_symbol,ensembl_id,score,disease_name,efo_id
AR,ENSG00000169083,0.757220193985738,prostate adenocarcinoma,EFO_0000673
PTEN,ENSG00000171862,0.7490800124565269,prostate adenocarcinoma,EFO_0000673
BRCA2,ENSG00000139618,0.7004641619779324,prostate adenocarcinoma,EFO_0000673
SPOP,ENSG00000121067,0.6672093179839423,prostate adenocarcinoma,EFO_0000673
FOXA1,ENSG00000129514,0.6647601354197253,prostate adenocarcinoma,EFO_0000673
TP53,ENSG00000141510,0.6442938525872566,prostate adenocarcinoma,EFO_0000673
CDK12,ENSG00000167258,0.6374900208333845,prostate adenocarcinoma,EFO_0000673
KMT2C,ENSG00000055609,0.6289184747365083,prostate adenocarcinoma,EFO_0000673
KMT2D,ENSG00000167548,0.6270594792528517,prostate adenocarcinoma,EFO_0000673
ATM,ENSG00000149311,0.6185484718552225,prostate adenocarcinoma,EFO_0000673
APC,ENSG00000134982,0.5984716321536967,prostate adenocarcinoma,EFO_0000673
TMPRSS2,ENSG00000184012,0.585302786627545,prostate adenocarcinoma,EFO_0000673
KDM6A,ENSG00000147050,0.5797178883267631,prostate adenocarcinoma,EFO_0000673
ZMYM3,ENSG00000147130,0.5622681522561938,prostate adenocarcinoma,EFO_0000673
CTNNB1,ENSG00000168036,0.5536081367998815,prostate adenocarcinoma,EFO_0000673
TUBB4A,ENSG00000104833,0.5313126833484216,prostate adenocarcinoma,EFO_0000673
TUBB3,ENSG00000258947,0.5288180193293,prostate adenocarcinoma,EFO_0000673
TUBB2A,ENSG00000137267,0.5277527071297023,prostate adenocarcinoma,EFO_0000673
TUBB,ENSG00000196230,0.5274320948742323,prostate adenocarcinoma,EFO_0000673
TUBB8,ENSG00000261456,0.5274320948742323,prostate adenocarcinoma,EFO_0000673
TUBB6,ENSG00000176014,0.5274320948742323,prostate adenocarcinoma,EFO_0000673
TUBB1,ENSG00000101162,0.5274320948742323,prostate adenocarcinoma,EFO_0000673
TUBB4B,ENSG00000188229,0.5274320948742323,prostate adenocarcinoma,EFO_0000673
TUBB2B,ENSG00000137285,0.5274320948742323,prostate adenocarcinoma,EFO_0000673
ERG,ENSG00000157554,0.5181550553672956,prostate adenocarcinoma,EFO_0000673
ETV4,ENSG00000175832,0.5089312190142671,prostate adenocarcinoma,EFO_0000673
ETV1,ENSG00000006468,0.5071350808823742,prostate adenocarcinoma,EFO_0000673
SUZ12,ENSG00000178691,0.49325563262559324,prostate adenocarcinoma,EFO_0000673
CHEK2,ENSG00000183765,0.4647492337927811,prostate adenocarcinoma,EFO_0000673
ZFHX3,ENSG00000140836,0.4578007987233858,prostate adenocarcinoma,EFO_0000673
CDKN1B,ENSG00000111276,0.45503703763790726,prostate adenocarcinoma,EFO_0000673
CYP17A1,ENSG00000148795,0.4532377117000519,prostate adenocarcinoma,EFO_0000673
LRP1B,ENSG00000168702,0.4479262989892836,prostate adenocarcinoma,EFO_0000673
NCOR2,ENSG00000196498,0.44283894464480705,prostate adenocarcinoma,EFO_0000673
CSMD3,ENSG00000164796,0.4389796238654592,prostate adenocarcinoma,EFO_0000673
ZBTB16,ENSG00000109906,0.43429974311643005,prostate adenocarcinoma,EFO_0000673
KAT6B,ENSG00000156650,0.42640503176700445,prostate adenocarcinoma,EFO_0000673
IDH1,ENSG00000138413,0.4263161181118273,prostate adenocarcinoma,EFO_0000673
RB1,ENSG00000139687,0.42256863487048535,prostate adenocarcinoma,EFO_0000673
GNRHR,ENSG00000109163,0.420734433987259,prostate adenocarcinoma,EFO_0000673
NR3C1,ENSG00000113580,0.42070774955765705,prostate adenocarcinoma,EFO_0000673
JAK1,ENSG00000162434,0.42048411455895013,prostate adenocarcinoma,EFO_0000673
ERBB4,ENSG00000178568,0.41276588972963485,prostate adenocarcinoma,EFO_0000673
FOXP1,ENSG00000114861,0.41221445567613696,prostate adenocarcinoma,EFO_0000673
NOTCH2,ENSG00000134250,0.40812572939934505,prostate adenocarcinoma,EFO_0000673
PIK3CB,ENSG00000051382,0.40784491226180686,prostate adenocarcinoma,EFO_0000673
PAX5,ENSG00000196092,0.4057622457264229,prostate adenocarcinoma,EFO_0000673
CAMTA1,ENSG00000171735,0.4037117164948326,prostate adenocarcinoma,EFO_0000673
ESR1,ENSG00000091831,0.401035264681523,prostate adenocarcinoma,EFO_0000673
ARID1B,ENSG00000049618,0.39699455633416114,prostate adenocarcinoma,EFO_0000673
ASXL1,ENSG00000171456,0.39661198261264186,prostate adenocarcinoma,EFO_0000673
MECOM,ENSG00000085276,0.39293923312661794,prostate adenocarcinoma,EFO_0000673
PIK3CA,ENSG00000121879,0.3921240733810435,prostate adenocarcinoma,EFO_0000673
KIT,ENSG00000157404,0.3863136915591288,prostate adenocarcinoma,EFO_0000673
PDGFRB,ENSG00000113721,0.3862274009214334,prostate adenocarcinoma,EFO_0000673
FOLH1,ENSG00000086205,0.38531767964915964,prostate adenocarcinoma,EFO_0000673
KLK2,ENSG00000167751,0.3833283272125698,prostate adenocarcinoma,EFO_0000673
CDK6,ENSG00000105810,0.3829771244170222,prostate adenocarcinoma,EFO_0000673
PDCD1,ENSG00000188389,0.38221700749208,prostate adenocarcinoma,EFO_0000673
BRAF,ENSG00000157764,0.37459096886218324,prostate adenocarcinoma,EFO_0000673
MAPK1,ENSG00000100030,0.3741039123329039,prostate adenocarcinoma,EFO_0000673
NTRK3,ENSG00000140538,0.3737812590049716,prostate adenocarcinoma,EFO_0000673
NRG1,ENSG00000157168,0.3726384452153526,prostate adenocarcinoma,EFO_0000673
PARP1,ENSG00000143799,0.37245206114257584,prostate adenocarcinoma,EFO_0000673
LPP,ENSG00000145012,0.37244409855850824,prostate adenocarcinoma,EFO_0000673
HMGA2,ENSG00000149948,0.37244189134548716,prostate adenocarcinoma,EFO_0000673
HNRNPA2B1,ENSG00000122566,0.37199238984722693,prostate adenocarcinoma,EFO_0000673
PDCD1LG2,ENSG00000197646,0.3718191492903435,prostate adenocarcinoma,EFO_0000673
CUX1,ENSG00000257923,0.3717665354915862,prostate adenocarcinoma,EFO_0000673
SND1,ENSG00000197157,0.37172033800975063,prostate adenocarcinoma,EFO_0000673
MSI2,ENSG00000153944,0.3714277539581253,prostate adenocarcinoma,EFO_0000673
FOXO3,ENSG00000118689,0.37109153895143293,prostate adenocarcinoma,EFO_0000673
SLC45A3,ENSG00000158715,0.37086055154225506,prostate adenocarcinoma,EFO_0000673
MRTFA,ENSG00000196588,0.37073479173059143,prostate adenocarcinoma,EFO_0000673
PTPRC,ENSG00000081237,0.37068859424875583,prostate adenocarcinoma,EFO_0000673
NDRG1,ENSG00000104419,0.3706423967669203,prostate adenocarcinoma,EFO_0000673
WWTR1,ENSG00000018408,0.37050380432141355,prostate adenocarcinoma,EFO_0000673
IKZF3,ENSG00000161405,0.37050380432141355,prostate adenocarcinoma,EFO_0000673
RAD51B,ENSG00000182185,0.37050380432141355,prostate adenocarcinoma,EFO_0000673
RSPO3,ENSG00000146374,0.37050380432141355,prostate adenocarcinoma,EFO_0000673
CACNA1D,ENSG00000157388,0.37027353134529917,prostate adenocarcinoma,EFO_0000673
RXRA,ENSG00000186350,0.37027281691223557,prostate adenocarcinoma,EFO_0000673
NTRK2,ENSG00000148053,0.37004182950305764,prostate adenocarcinoma,EFO_0000673
MAML2,ENSG00000184384,0.36994943453938645,prostate adenocarcinoma,EFO_0000673
PTPRK,ENSG00000152894,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
MLLT10,ENSG00000078403,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
PRDM16,ENSG00000142611,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
TRIM33,ENSG00000197323,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
GRIN2A,ENSG00000183454,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
EXT1,ENSG00000182197,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
AFF3,ENSG00000144218,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
EBF1,ENSG00000164330,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
QKI,ENSG00000112531,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
MAP3K13,ENSG00000073803,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
PTPRT,ENSG00000196090,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
GPC3,ENSG00000147257,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
RSPO2,ENSG00000147655,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
ACSL3,ENSG00000123983,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
RRAS2,ENSG00000133818,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
DDX10,ENSG00000178105,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
SOS1,ENSG00000115904,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
CBLB,ENSG00000114423,0.3695798546847018,prostate adenocarcinoma,EFO_0000673
