gene_symbol,ensembl_id,score,disease_name,efo_id
TP53,ENSG00000141510,0.4487964601556109,rectal adenocarcinoma,EFO_0005631
KRAS,ENSG00000133703,0.4431498784887058,rectal adenocarcinoma,EFO_0005631
TOP1,ENSG00000198900,0.42484230906713927,rectal adenocarcinoma,EFO_0005631
APC,ENSG00000134982,0.41014363249350916,rectal adenocarcinoma,EFO_0005631
TYMS,ENSG00000176890,0.380764132206179,rectal adenocarcinoma,EFO_0005631
SMAD4,ENSG00000141646,0.37072709215028554,rectal adenocarcinoma,EFO_0005631
FBXW7,ENSG00000109670,0.3706423967669203,rectal adenocarcinoma,EFO_0005631
AMER1,ENSG00000184675,0.37013422446672883,rectal adenocarcinoma,EFO_0005631
FAT4,ENSG00000196159,0.3695798546847018,rectal adenocarcinoma,EFO_0005631
TCF7L2,ENSG00000148737,0.3695798546847018,rectal adenocarcinoma,EFO_0005631
TERT,ENSG00000164362,0.3467226403310465,rectal adenocarcinoma,EFO_0005631
SMAD7,ENSG00000101665,0.33804758937841256,rectal adenocarcinoma,EFO_0005631
CDKN2A,ENSG00000147889,0.32462200527836904,rectal adenocarcinoma,EFO_0005631
ERBB3,ENSG00000065361,0.32430632248582586,rectal adenocarcinoma,EFO_0005631
WT1,ENSG00000184937,0.32430632248582586,rectal adenocarcinoma,EFO_0005631
ZFHX3,ENSG00000140836,0.3233823728491141,rectal adenocarcinoma,EFO_0005631
BMP2,ENSG00000125845,0.3228731035318744,rectal adenocarcinoma,EFO_0005631
ERBB2,ENSG00000141736,0.30153477126660494,rectal adenocarcinoma,EFO_0005631
MET,ENSG00000105976,0.29627756881510825,rectal adenocarcinoma,EFO_0005631
KDR,ENSG00000128052,0.2956638837477614,rectal adenocarcinoma,EFO_0005631
POU2AF2,ENSG00000150750,0.29212586250842476,rectal adenocarcinoma,EFO_0005631
CD274,ENSG00000120217,0.28384809714241865,rectal adenocarcinoma,EFO_0005631
HIF1A,ENSG00000100644,0.28239560765083305,rectal adenocarcinoma,EFO_0005631
EGFR,ENSG00000146648,0.28233200393302915,rectal adenocarcinoma,EFO_0005631
CDX2,ENSG00000165556,0.28187573176420205,rectal adenocarcinoma,EFO_0005631
BCL2,ENSG00000171791,0.28158073540178863,rectal adenocarcinoma,EFO_0005631
BAX,ENSG00000087088,0.28101414895234283,rectal adenocarcinoma,EFO_0005631
VHL,ENSG00000134086,0.280695899633031,rectal adenocarcinoma,EFO_0005631
ALK,ENSG00000171094,0.2804135816884802,rectal adenocarcinoma,EFO_0005631
CD79A,ENSG00000105369,0.28032631977834627,rectal adenocarcinoma,EFO_0005631
SYK,ENSG00000165025,0.28018772733283953,rectal adenocarcinoma,EFO_0005631
SMAD2,ENSG00000175387,0.2799567399236616,rectal adenocarcinoma,EFO_0005631
MAPK1,ENSG00000100030,0.2797854499271223,rectal adenocarcinoma,EFO_0005631
PMS2,ENSG00000122512,0.2797257525144836,rectal adenocarcinoma,EFO_0005631
BRAF,ENSG00000157764,0.27962844470633713,rectal adenocarcinoma,EFO_0005631
MLH1,ENSG00000076242,0.2795871600689769,rectal adenocarcinoma,EFO_0005631
TMPRSS2,ENSG00000184012,0.27955298205102364,rectal adenocarcinoma,EFO_0005631
MYC,ENSG00000136997,0.2795218686839616,rectal adenocarcinoma,EFO_0005631
MSH2,ENSG00000095002,0.27949476510530574,rectal adenocarcinoma,EFO_0005631
DICER1,ENSG00000100697,0.27940237014163455,rectal adenocarcinoma,EFO_0005631
CTNNB1,ENSG00000168036,0.2793664387668735,rectal adenocarcinoma,EFO_0005631
DNMT3A,ENSG00000119772,0.27926377769612776,rectal adenocarcinoma,EFO_0005631
KLF4,ENSG00000136826,0.27926377769612776,rectal adenocarcinoma,EFO_0005631
PIK3CB,ENSG00000051382,0.27921758021429216,rectal adenocarcinoma,EFO_0005631
SETD2,ENSG00000181555,0.2791713827324566,rectal adenocarcinoma,EFO_0005631
NKX2-1,ENSG00000136352,0.27903279028694983,rectal adenocarcinoma,EFO_0005631
CASP8,ENSG00000064012,0.27903279028694983,rectal adenocarcinoma,EFO_0005631
RUNX1,ENSG00000159216,0.27903279028694983,rectal adenocarcinoma,EFO_0005631
RAD51B,ENSG00000182185,0.27903279028694983,rectal adenocarcinoma,EFO_0005631
FGFR1,ENSG00000077782,0.27903279028694983,rectal adenocarcinoma,EFO_0005631
CDK6,ENSG00000105810,0.27903279028694983,rectal adenocarcinoma,EFO_0005631
RNF43,ENSG00000108375,0.27903279028694983,rectal adenocarcinoma,EFO_0005631
TSC2,ENSG00000103197,0.2788480003596075,rectal adenocarcinoma,EFO_0005631
CHEK2,ENSG00000183765,0.2785656824150567,rectal adenocarcinoma,EFO_0005631
CCND1,ENSG00000110092,0.2785150191766436,rectal adenocarcinoma,EFO_0005631
NRAS,ENSG00000213281,0.27849192043572585,rectal adenocarcinoma,EFO_0005631
YAP1,ENSG00000137693,0.2784424891301618,rectal adenocarcinoma,EFO_0005631
STAT3,ENSG00000168610,0.2784424891301618,rectal adenocarcinoma,EFO_0005631
HNF1A,ENSG00000135100,0.2784360728132402,rectal adenocarcinoma,EFO_0005631
PIK3CA,ENSG00000121879,0.2784360728132402,rectal adenocarcinoma,EFO_0005631
BRCA1,ENSG00000012048,0.2784270899695499,rectal adenocarcinoma,EFO_0005631
CDH1,ENSG00000039068,0.27838602554125164,rectal adenocarcinoma,EFO_0005631
MSH6,ENSG00000116062,0.278343677849569,rectal adenocarcinoma,EFO_0005631
FUBP1,ENSG00000162613,0.278339828059416,rectal adenocarcinoma,EFO_0005631
ETV5,ENSG00000244405,0.278339828059416,rectal adenocarcinoma,EFO_0005631
NOTCH1,ENSG00000148400,0.278339828059416,rectal adenocarcinoma,EFO_0005631
CREB3L1,ENSG00000157613,0.278339828059416,rectal adenocarcinoma,EFO_0005631
PBRM1,ENSG00000163939,0.278339828059416,rectal adenocarcinoma,EFO_0005631
HNRNPA2B1,ENSG00000122566,0.278339828059416,rectal adenocarcinoma,EFO_0005631
EZH2,ENSG00000106462,0.278339828059416,rectal adenocarcinoma,EFO_0005631
PRF1,ENSG00000180644,0.278339828059416,rectal adenocarcinoma,EFO_0005631
MALT1,ENSG00000172175,0.278339828059416,rectal adenocarcinoma,EFO_0005631
TRIM24,ENSG00000122779,0.278339828059416,rectal adenocarcinoma,EFO_0005631
PTEN,ENSG00000171862,0.278339828059416,rectal adenocarcinoma,EFO_0005631
KNL1,ENSG00000137812,0.27829363057758044,rectal adenocarcinoma,EFO_0005631
CSF3R,ENSG00000119535,0.27829363057758044,rectal adenocarcinoma,EFO_0005631
PTPN11,ENSG00000179295,0.27824743309574484,rectal adenocarcinoma,EFO_0005631
ATM,ENSG00000149311,0.27824230004220757,rectal adenocarcinoma,EFO_0005631
SRC,ENSG00000197122,0.27824230004220757,rectal adenocarcinoma,EFO_0005631
MDM2,ENSG00000135679,0.27820123561390925,rectal adenocarcinoma,EFO_0005631
JAK2,ENSG00000096968,0.27820123561390925,rectal adenocarcinoma,EFO_0005631
BRCA2,ENSG00000139618,0.27820123561390925,rectal adenocarcinoma,EFO_0005631
RET,ENSG00000165731,0.27820123561390925,rectal adenocarcinoma,EFO_0005631
ESR1,ENSG00000091831,0.27820123561390925,rectal adenocarcinoma,EFO_0005631
MDM4,ENSG00000198625,0.27820123561390925,rectal adenocarcinoma,EFO_0005631
POU5F1,ENSG00000204531,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
PRDM16,ENSG00000142611,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
NFKB2,ENSG00000077150,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
CXCR4,ENSG00000121966,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
TCF3,ENSG00000071564,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
ATRX,ENSG00000085224,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
TET1,ENSG00000138336,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
FGFR4,ENSG00000160867,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
IRF4,ENSG00000137265,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
GPC3,ENSG00000147257,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
AFF3,ENSG00000144218,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
KEAP1,ENSG00000079999,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
PTPRK,ENSG00000152894,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
POLQ,ENSG00000051341,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
BRD4,ENSG00000141867,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
PTPRT,ENSG00000196090,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
CREB1,ENSG00000118260,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
CREBBP,ENSG00000005339,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
ERBB4,ENSG00000178568,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
FLI1,ENSG00000151702,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
PTPRC,ENSG00000081237,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
SFPQ,ENSG00000116560,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
JAK1,ENSG00000162434,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
PDGFRB,ENSG00000113721,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
NPM1,ENSG00000181163,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
BCL11B,ENSG00000127152,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
QKI,ENSG00000112531,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
JUN,ENSG00000177606,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
FOXA1,ENSG00000129514,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
LRP1B,ENSG00000168702,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
AXIN2,ENSG00000168646,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
EPAS1,ENSG00000116016,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
LCK,ENSG00000182866,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
SF3B1,ENSG00000115524,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
POLD1,ENSG00000062822,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
TET2,ENSG00000168769,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
NFE2L2,ENSG00000116044,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
TENT5C,ENSG00000183508,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
EP300,ENSG00000100393,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
SDHB,ENSG00000117118,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
RSPO3,ENSG00000146374,0.27810884065023805,rectal adenocarcinoma,EFO_0005631
