gene_symbol,ensembl_id,score,disease_name,efo_id
SMARCB1,ENSG00000099956,0.8464065494669126,sarcoma,EFO_0000691
TP53,ENSG00000141510,0.8447361282694312,sarcoma,EFO_0000691
SMARCA4,ENSG00000127616,0.8212263202649068,sarcoma,EFO_0000691
NF1,ENSG00000196712,0.8024739383805385,sarcoma,EFO_0000691
DICER1,ENSG00000100697,0.7870369169259569,sarcoma,EFO_0000691
PAX3,ENSG00000135903,0.7858831502191082,sarcoma,EFO_0000691
RB1,ENSG00000139687,0.7813312040969808,sarcoma,EFO_0000691
CHEK2,ENSG00000183765,0.7644993384409214,sarcoma,EFO_0000691
EXT1,ENSG00000182197,0.7628933241458833,sarcoma,EFO_0000691
KDR,ENSG00000128052,0.7119159297297012,sarcoma,EFO_0000691
PAX7,ENSG00000009709,0.7080844565967052,sarcoma,EFO_0000691
EWSR1,ENSG00000182944,0.7076709129479609,sarcoma,EFO_0000691
ATRX,ENSG00000085224,0.7027379947126009,sarcoma,EFO_0000691
FLI1,ENSG00000151702,0.7004381242238379,sarcoma,EFO_0000691
FLT4,ENSG00000037280,0.6898896040598651,sarcoma,EFO_0000691
PDGFRA,ENSG00000134853,0.6874569179972849,sarcoma,EFO_0000691
FGFR4,ENSG00000160867,0.6860590233896767,sarcoma,EFO_0000691
PDGFB,ENSG00000100311,0.6847441729277719,sarcoma,EFO_0000691
PDGFRB,ENSG00000113721,0.6816972828215239,sarcoma,EFO_0000691
KIT,ENSG00000157404,0.674169522572434,sarcoma,EFO_0000691
NR4A3,ENSG00000119508,0.6701971028141137,sarcoma,EFO_0000691
ERG,ENSG00000157554,0.6677890066519445,sarcoma,EFO_0000691
HRAS,ENSG00000174775,0.6669425046761672,sarcoma,EFO_0000691
FGFR3,ENSG00000068078,0.6642464681238811,sarcoma,EFO_0000691
FGFR1,ENSG00000077782,0.6621512100411011,sarcoma,EFO_0000691
IDH1,ENSG00000138413,0.6582139500131513,sarcoma,EFO_0000691
CDKN2A,ENSG00000147889,0.6542958723635163,sarcoma,EFO_0000691
FOXO1,ENSG00000150907,0.6471563680167196,sarcoma,EFO_0000691
PTCH1,ENSG00000185920,0.6436116946024772,sarcoma,EFO_0000691
ALK,ENSG00000171094,0.6362509140805029,sarcoma,EFO_0000691
BRCA2,ENSG00000139618,0.6339454144645015,sarcoma,EFO_0000691
DDIT3,ENSG00000175197,0.6259526814169368,sarcoma,EFO_0000691
IDH2,ENSG00000182054,0.6250339565594727,sarcoma,EFO_0000691
CSF1R,ENSG00000182578,0.6223062990482203,sarcoma,EFO_0000691
STAG2,ENSG00000101972,0.6164659346741678,sarcoma,EFO_0000691
LCK,ENSG00000182866,0.6078595148646334,sarcoma,EFO_0000691
RECQL4,ENSG00000160957,0.6071085585587803,sarcoma,EFO_0000691
ITK,ENSG00000113263,0.6055499805354342,sarcoma,EFO_0000691
SSX2,ENSG00000241476,0.6051595580935146,sarcoma,EFO_0000691
SS18,ENSG00000141380,0.6050461654031404,sarcoma,EFO_0000691
TOP2A,ENSG00000131747,0.6032504734318598,sarcoma,EFO_0000691
FUS,ENSG00000089280,0.6022628505533348,sarcoma,EFO_0000691
MYOD1,ENSG00000129152,0.600596459886693,sarcoma,EFO_0000691
SSX1,ENSG00000126752,0.5993096605174932,sarcoma,EFO_0000691
NBN,ENSG00000104320,0.5949464338913635,sarcoma,EFO_0000691
LRP1B,ENSG00000168702,0.5947666399497513,sarcoma,EFO_0000691
NRAS,ENSG00000213281,0.5944581323141852,sarcoma,EFO_0000691
NTRK3,ENSG00000140538,0.5899742280253144,sarcoma,EFO_0000691
CREB3L1,ENSG00000157613,0.5890253736521954,sarcoma,EFO_0000691
YWHAE,ENSG00000108953,0.5875029297673161,sarcoma,EFO_0000691
ATF1,ENSG00000123268,0.5867106530755634,sarcoma,EFO_0000691
COL1A1,ENSG00000108821,0.5844148257410837,sarcoma,EFO_0000691
PLCG1,ENSG00000124181,0.5843559281357134,sarcoma,EFO_0000691
WT1,ENSG00000184937,0.5841818166506832,sarcoma,EFO_0000691
NUTM2B,ENSG00000188199,0.5831679660105411,sarcoma,EFO_0000691
CREB3L2,ENSG00000182158,0.5822519481826003,sarcoma,EFO_0000691
ETV6,ENSG00000139083,0.576503241801313,sarcoma,EFO_0000691
EZH2,ENSG00000106462,0.5682699791926723,sarcoma,EFO_0000691
TFE3,ENSG00000068323,0.5623945986078351,sarcoma,EFO_0000691
PTEN,ENSG00000171862,0.5584122974968804,sarcoma,EFO_0000691
ASPSCR1,ENSG00000169696,0.5570794841577897,sarcoma,EFO_0000691
FLT1,ENSG00000102755,0.5561657535963973,sarcoma,EFO_0000691
NCOA2,ENSG00000140396,0.5497525246186176,sarcoma,EFO_0000691
PIK3CA,ENSG00000121879,0.5488123877013814,sarcoma,EFO_0000691
BRCA1,ENSG00000012048,0.548031962109109,sarcoma,EFO_0000691
H3-3A,ENSG00000163041,0.546948913933987,sarcoma,EFO_0000691
POLE,ENSG00000177084,0.5454731928127499,sarcoma,EFO_0000691
HEY1,ENSG00000164683,0.5427087024725055,sarcoma,EFO_0000691
BRAF,ENSG00000157764,0.5417776754206534,sarcoma,EFO_0000691
SUZ12,ENSG00000178691,0.5413689935184623,sarcoma,EFO_0000691
TUBB3,ENSG00000258947,0.5389584427545773,sarcoma,EFO_0000691
TUBB,ENSG00000196230,0.5382812777114141,sarcoma,EFO_0000691
TUBB1,ENSG00000101162,0.5372910993668014,sarcoma,EFO_0000691
RET,ENSG00000165731,0.5362581297215635,sarcoma,EFO_0000691
TUBB4B,ENSG00000188229,0.5351121181402229,sarcoma,EFO_0000691
SH2B3,ENSG00000111252,0.5343636303246186,sarcoma,EFO_0000691
TUBB4A,ENSG00000104833,0.5341496706019814,sarcoma,EFO_0000691
TUBB8,ENSG00000261456,0.5337800907472967,sarcoma,EFO_0000691
TUBB2B,ENSG00000137285,0.5337800907472967,sarcoma,EFO_0000691
TUBB2A,ENSG00000137267,0.5337800907472967,sarcoma,EFO_0000691
TUBB6,ENSG00000176014,0.5337800907472967,sarcoma,EFO_0000691
MSH2,ENSG00000095002,0.5336678645858992,sarcoma,EFO_0000691
NF2,ENSG00000186575,0.5294340171141508,sarcoma,EFO_0000691
USP6,ENSG00000129204,0.5291042393115939,sarcoma,EFO_0000691
MET,ENSG00000105976,0.5259337448944474,sarcoma,EFO_0000691
RAF1,ENSG00000132155,0.524333557708074,sarcoma,EFO_0000691
PTPRB,ENSG00000127329,0.5240186671300688,sarcoma,EFO_0000691
MTOR,ENSG00000198793,0.523225488160097,sarcoma,EFO_0000691
EGFR,ENSG00000146648,0.5211816780517141,sarcoma,EFO_0000691
ABL1,ENSG00000097007,0.5211765160248287,sarcoma,EFO_0000691
ERBB2,ENSG00000141736,0.5207264873496085,sarcoma,EFO_0000691
CREB1,ENSG00000118260,0.5205414494487488,sarcoma,EFO_0000691
FBXW7,ENSG00000109670,0.5188896948534923,sarcoma,EFO_0000691
MSH6,ENSG00000116062,0.5187678152521453,sarcoma,EFO_0000691
WRN,ENSG00000165392,0.518434328617771,sarcoma,EFO_0000691
FLT3,ENSG00000122025,0.5183436239429768,sarcoma,EFO_0000691
CBL,ENSG00000110395,0.5172042146900169,sarcoma,EFO_0000691
SDHA,ENSG00000073578,0.5163579497680408,sarcoma,EFO_0000691
PMS2,ENSG00000122512,0.5153633558737976,sarcoma,EFO_0000691
NPM1,ENSG00000181163,0.5111908053659269,sarcoma,EFO_0000691
POLD1,ENSG00000062822,0.5105889273164934,sarcoma,EFO_0000691
FBXO11,ENSG00000138081,0.5086418405021974,sarcoma,EFO_0000691
CSF3R,ENSG00000119535,0.5074272549346157,sarcoma,EFO_0000691
PRDM16,ENSG00000142611,0.5052679525618629,sarcoma,EFO_0000691
SQSTM1,ENSG00000161011,0.5025473757543679,sarcoma,EFO_0000691
FGFR2,ENSG00000066468,0.4984884990003239,sarcoma,EFO_0000691
CLTCL1,ENSG00000070371,0.4974031538702357,sarcoma,EFO_0000691
TSC2,ENSG00000103197,0.4967914295163507,sarcoma,EFO_0000691
ETV1,ENSG00000006468,0.49601664215079505,sarcoma,EFO_0000691
RARA,ENSG00000131759,0.49575523768168095,sarcoma,EFO_0000691
MECOM,ENSG00000085276,0.495707346973122,sarcoma,EFO_0000691
ATM,ENSG00000149311,0.49556651813337704,sarcoma,EFO_0000691
ARHGAP26,ENSG00000145819,0.4943900514438479,sarcoma,EFO_0000691
APC,ENSG00000134982,0.4919635560799031,sarcoma,EFO_0000691
ATR,ENSG00000175054,0.49104139456023854,sarcoma,EFO_0000691
IL6,ENSG00000136244,0.48978170386139847,sarcoma,EFO_0000691
SETD2,ENSG00000181555,0.48819309068942207,sarcoma,EFO_0000691
MDM2,ENSG00000135679,0.487524544192697,sarcoma,EFO_0000691
SFRP4,ENSG00000106483,0.48619839799008363,sarcoma,EFO_0000691
POT1,ENSG00000128513,0.485866356240123,sarcoma,EFO_0000691
SUFU,ENSG00000107882,0.4854764358066033,sarcoma,EFO_0000691
TRRAP,ENSG00000196367,0.4848042127706433,sarcoma,EFO_0000691
CTNNB1,ENSG00000168036,0.4847101581525872,sarcoma,EFO_0000691
FAT1,ENSG00000083857,0.4846721563621418,sarcoma,EFO_0000691
ARID1B,ENSG00000049618,0.48386003371592184,sarcoma,EFO_0000691
ARID1A,ENSG00000117713,0.4817889857269368,sarcoma,EFO_0000691
KMT2C,ENSG00000055609,0.4817863092891841,sarcoma,EFO_0000691
MAP2K2,ENSG00000126934,0.48172353741337987,sarcoma,EFO_0000691
GPC3,ENSG00000147257,0.481021965113242,sarcoma,EFO_0000691
MLH1,ENSG00000076242,0.48061824957705096,sarcoma,EFO_0000691
MAP2K1,ENSG00000169032,0.4776878121452627,sarcoma,EFO_0000691
NOTCH1,ENSG00000148400,0.47619109670671833,sarcoma,EFO_0000691
EP300,ENSG00000100393,0.4759289064685708,sarcoma,EFO_0000691
TOP1,ENSG00000198900,0.4753082013543201,sarcoma,EFO_0000691
ZFHX3,ENSG00000140836,0.47529461582298127,sarcoma,EFO_0000691
SLC67A1,ENSG00000110628,0.4735562703993822,sarcoma,EFO_0000691
TSC1,ENSG00000165699,0.47295274731593134,sarcoma,EFO_0000691
KRAS,ENSG00000133703,0.47290464766169604,sarcoma,EFO_0000691
HIP1,ENSG00000127946,0.4709576620461304,sarcoma,EFO_0000691
ERBB4,ENSG00000178568,0.46965758708738703,sarcoma,EFO_0000691
BCR,ENSG00000186716,0.46787267872713884,sarcoma,EFO_0000691
CDK6,ENSG00000105810,0.46621958138443037,sarcoma,EFO_0000691
NTRK2,ENSG00000148053,0.46506243190899116,sarcoma,EFO_0000691
FANCC,ENSG00000158169,0.4648492168333497,sarcoma,EFO_0000691
AR,ENSG00000169083,0.46419253323804577,sarcoma,EFO_0000691
CDK4,ENSG00000135446,0.46201700095727694,sarcoma,EFO_0000691
SMO,ENSG00000128602,0.46196714933361227,sarcoma,EFO_0000691
MED12,ENSG00000184634,0.4618586682937038,sarcoma,EFO_0000691
RXRA,ENSG00000186350,0.4616487334898178,sarcoma,EFO_0000691
NCOR2,ENSG00000196498,0.4610884058251082,sarcoma,EFO_0000691
KMT2A,ENSG00000118058,0.4560369367086733,sarcoma,EFO_0000691
BCOR,ENSG00000183337,0.4560002493201741,sarcoma,EFO_0000691
KIF5B,ENSG00000170759,0.4556130657933692,sarcoma,EFO_0000691
ERBB3,ENSG00000065361,0.4554764336690956,sarcoma,EFO_0000691
CHD4,ENSG00000111642,0.4552590890471728,sarcoma,EFO_0000691
BLM,ENSG00000197299,0.45487022123314064,sarcoma,EFO_0000691
DNMT3A,ENSG00000119772,0.45284437110958026,sarcoma,EFO_0000691
HGF,ENSG00000019991,0.4522546165789625,sarcoma,EFO_0000691
TET2,ENSG00000168769,0.4507781843569556,sarcoma,EFO_0000691
CDH1,ENSG00000039068,0.44999496446645426,sarcoma,EFO_0000691
NOTCH2,ENSG00000134250,0.4491703208299727,sarcoma,EFO_0000691
ROS1,ENSG00000047936,0.4489918227341552,sarcoma,EFO_0000691
CD274,ENSG00000120217,0.4481500669180071,sarcoma,EFO_0000691
GNAS,ENSG00000087460,0.4455526675619224,sarcoma,EFO_0000691
PTPN11,ENSG00000179295,0.44504089753317205,sarcoma,EFO_0000691
EML4,ENSG00000143924,0.44483379483064034,sarcoma,EFO_0000691
FHIT,ENSG00000189283,0.444401827813952,sarcoma,EFO_0000691
CAMTA1,ENSG00000171735,0.44394553944296455,sarcoma,EFO_0000691
NTRK1,ENSG00000198400,0.4433355025075959,sarcoma,EFO_0000691
TGFBR2,ENSG00000163513,0.44323315381097683,sarcoma,EFO_0000691
FOXP1,ENSG00000114861,0.44302401264205377,sarcoma,EFO_0000691
ASXL1,ENSG00000171456,0.4425938302245009,sarcoma,EFO_0000691
CREBBP,ENSG00000005339,0.44233333167770406,sarcoma,EFO_0000691
IFNAR2,ENSG00000159110,0.4408797055391116,sarcoma,EFO_0000691
KMT2D,ENSG00000167548,0.44063274952089865,sarcoma,EFO_0000691
CIC,ENSG00000079432,0.43911913402410896,sarcoma,EFO_0000691
ESR1,ENSG00000091831,0.43905240891482195,sarcoma,EFO_0000691
IKZF1,ENSG00000185811,0.4390456473212122,sarcoma,EFO_0000691
JAK3,ENSG00000105639,0.4390423414007458,sarcoma,EFO_0000691
BRD4,ENSG00000141867,0.4387693738139012,sarcoma,EFO_0000691
IFNAR1,ENSG00000142166,0.43836422617775095,sarcoma,EFO_0000691
CDH11,ENSG00000140937,0.4365623920896584,sarcoma,EFO_0000691
FANCA,ENSG00000187741,0.4359838609892961,sarcoma,EFO_0000691
STK11,ENSG00000118046,0.43573077321263926,sarcoma,EFO_0000691
TERT,ENSG00000164362,0.433622038078105,sarcoma,EFO_0000691
GRIN2A,ENSG00000183454,0.43248403341315195,sarcoma,EFO_0000691
DDX6,ENSG00000110367,0.4322488374635851,sarcoma,EFO_0000691
ARID2,ENSG00000189079,0.4321479107527738,sarcoma,EFO_0000691
UBR5,ENSG00000104517,0.43209972292183585,sarcoma,EFO_0000691
MYH9,ENSG00000100345,0.431989888534592,sarcoma,EFO_0000691
