gene_symbol,ensembl_id,score,disease_name,efo_id
CDKN2A,ENSG00000147889,0.8457975019163257,cutaneous melanoma,EFO_0000389
MITF,ENSG00000187098,0.749782531761086,cutaneous melanoma,EFO_0000389
PTEN,ENSG00000171862,0.7136856100368685,cutaneous melanoma,EFO_0000389
TERT,ENSG00000164362,0.7088422068597631,cutaneous melanoma,EFO_0000389
BRAF,ENSG00000157764,0.6981327149515315,cutaneous melanoma,EFO_0000389
CDK4,ENSG00000135446,0.685897023472983,cutaneous melanoma,EFO_0000389
NRAS,ENSG00000213281,0.6776950314558099,cutaneous melanoma,EFO_0000389
MAP2K1,ENSG00000169032,0.6768024946074412,cutaneous melanoma,EFO_0000389
RAC1,ENSG00000136238,0.6545119643942744,cutaneous melanoma,EFO_0000389
IRF4,ENSG00000137265,0.6474771554193174,cutaneous melanoma,EFO_0000389
BRCA2,ENSG00000139618,0.6470705146114244,cutaneous melanoma,EFO_0000389
MAP2K2,ENSG00000126934,0.6453580212488668,cutaneous melanoma,EFO_0000389
ARID2,ENSG00000189079,0.6425944248688229,cutaneous melanoma,EFO_0000389
NF1,ENSG00000196712,0.6395065834216468,cutaneous melanoma,EFO_0000389
RAF1,ENSG00000132155,0.6342944543875955,cutaneous melanoma,EFO_0000389
KDR,ENSG00000128052,0.6333608352665357,cutaneous melanoma,EFO_0000389
FOXP1,ENSG00000114861,0.6251495185406327,cutaneous melanoma,EFO_0000389
CSF3R,ENSG00000119535,0.6248797560927776,cutaneous melanoma,EFO_0000389
CCND1,ENSG00000110092,0.6208589910145271,cutaneous melanoma,EFO_0000389
ATM,ENSG00000149311,0.6173358107800312,cutaneous melanoma,EFO_0000389
PPP6C,ENSG00000119414,0.6170093504482003,cutaneous melanoma,EFO_0000389
LRP1B,ENSG00000168702,0.6155821413446024,cutaneous melanoma,EFO_0000389
FLT4,ENSG00000037280,0.6153377126666789,cutaneous melanoma,EFO_0000389
POT1,ENSG00000128513,0.6140480885166464,cutaneous melanoma,EFO_0000389
TET2,ENSG00000168769,0.6138483891579352,cutaneous melanoma,EFO_0000389
PDGFRA,ENSG00000134853,0.6138409833966318,cutaneous melanoma,EFO_0000389
PDGFRB,ENSG00000113721,0.6055753110693508,cutaneous melanoma,EFO_0000389
IKZF1,ENSG00000185811,0.6020612430724123,cutaneous melanoma,EFO_0000389
ERBB4,ENSG00000178568,0.5961838656742589,cutaneous melanoma,EFO_0000389
GNA11,ENSG00000088256,0.5928454728738907,cutaneous melanoma,EFO_0000389
TYR,ENSG00000077498,0.5820454533511421,cutaneous melanoma,EFO_0000389
OCA2,ENSG00000104044,0.5701444217347604,cutaneous melanoma,EFO_0000389
POLE,ENSG00000177084,0.5693261553958178,cutaneous melanoma,EFO_0000389
FGFR1,ENSG00000077782,0.5690615764346186,cutaneous melanoma,EFO_0000389
MET,ENSG00000105976,0.5686126721668044,cutaneous melanoma,EFO_0000389
KMT2D,ENSG00000167548,0.5685752747688987,cutaneous melanoma,EFO_0000389
NTRK1,ENSG00000198400,0.5672364073219873,cutaneous melanoma,EFO_0000389
TSC1,ENSG00000165699,0.5668391552842125,cutaneous melanoma,EFO_0000389
FGFR2,ENSG00000066468,0.5658780880576513,cutaneous melanoma,EFO_0000389
AKT1,ENSG00000142208,0.5648937050910444,cutaneous melanoma,EFO_0000389
ROS1,ENSG00000047936,0.5619297688838396,cutaneous melanoma,EFO_0000389
ERBB2,ENSG00000141736,0.5596518751219783,cutaneous melanoma,EFO_0000389
SETD2,ENSG00000181555,0.5541222243727588,cutaneous melanoma,EFO_0000389
CASP8,ENSG00000064012,0.5526127231763487,cutaneous melanoma,EFO_0000389
TP63,ENSG00000073282,0.5518159192929766,cutaneous melanoma,EFO_0000389
NTRK2,ENSG00000148053,0.5511343869556419,cutaneous melanoma,EFO_0000389
NUTM1,ENSG00000184507,0.5486961865254304,cutaneous melanoma,EFO_0000389
CDK6,ENSG00000105810,0.5486646781899985,cutaneous melanoma,EFO_0000389
FGFR4,ENSG00000160867,0.5484131585666715,cutaneous melanoma,EFO_0000389
MTOR,ENSG00000198793,0.5476945784191645,cutaneous melanoma,EFO_0000389
SMARCA4,ENSG00000127616,0.5473869299865328,cutaneous melanoma,EFO_0000389
TP53,ENSG00000141510,0.5469777895956653,cutaneous melanoma,EFO_0000389
HNF1A,ENSG00000135100,0.5462646904916757,cutaneous melanoma,EFO_0000389
NOTCH2,ENSG00000134250,0.5461722955280045,cutaneous melanoma,EFO_0000389
FAT4,ENSG00000196159,0.5458489131551554,cutaneous melanoma,EFO_0000389
GRIN2A,ENSG00000183454,0.5452945433731283,cutaneous melanoma,EFO_0000389
FAT1,ENSG00000083857,0.5449249635184437,cutaneous melanoma,EFO_0000389
GNAS,ENSG00000087460,0.5449249635184437,cutaneous melanoma,EFO_0000389
TRRAP,ENSG00000196367,0.5449249635184437,cutaneous melanoma,EFO_0000389
PREX2,ENSG00000046889,0.5448617955330766,cutaneous melanoma,EFO_0000389
ERBB3,ENSG00000065361,0.5445671887089821,cutaneous melanoma,EFO_0000389
BRCA1,ENSG00000012048,0.544373105798381,cutaneous melanoma,EFO_0000389
DICER1,ENSG00000100697,0.5442415655896782,cutaneous melanoma,EFO_0000389
ATR,ENSG00000175054,0.5441175027701699,cutaneous melanoma,EFO_0000389
FANCA,ENSG00000187741,0.5438564876145242,cutaneous melanoma,EFO_0000389
ERCC2,ENSG00000104884,0.5436232476505245,cutaneous melanoma,EFO_0000389
PTPRB,ENSG00000127329,0.5434158457784811,cutaneous melanoma,EFO_0000389
PTPRK,ENSG00000152894,0.5433747813501828,cutaneous melanoma,EFO_0000389
CUX1,ENSG00000257923,0.543092463405632,cutaneous melanoma,EFO_0000389
