gene_symbol,ensembl_id,score,disease_name,efo_id
CDH1,ENSG00000039068,0.8019664040766293,gastric adenocarcinoma,EFO_0000503
TP53,ENSG00000141510,0.6795988474564983,gastric adenocarcinoma,EFO_0000503
ARID1A,ENSG00000117713,0.6595811334495042,gastric adenocarcinoma,EFO_0000503
KRAS,ENSG00000133703,0.6549042535091707,gastric adenocarcinoma,EFO_0000503
RHOA,ENSG00000067560,0.6258840825690895,gastric adenocarcinoma,EFO_0000503
CTNNA1,ENSG00000044115,0.6206493230240145,gastric adenocarcinoma,EFO_0000503
PIK3CA,ENSG00000121879,0.6127485136343518,gastric adenocarcinoma,EFO_0000503
RNF43,ENSG00000108375,0.5944199150487387,gastric adenocarcinoma,EFO_0000503
KMT2D,ENSG00000167548,0.5828513231911878,gastric adenocarcinoma,EFO_0000503
ERBB2,ENSG00000141736,0.5750108528765412,gastric adenocarcinoma,EFO_0000503
SMAD4,ENSG00000141646,0.5688170143295022,gastric adenocarcinoma,EFO_0000503
APC,ENSG00000134982,0.5554255668136435,gastric adenocarcinoma,EFO_0000503
ERBB3,ENSG00000065361,0.5473444380410694,gastric adenocarcinoma,EFO_0000503
AR,ENSG00000169083,0.5349613186633406,gastric adenocarcinoma,EFO_0000503
RECQL4,ENSG00000160957,0.5316777273088543,gastric adenocarcinoma,EFO_0000503
TGFBR2,ENSG00000163513,0.527672361100154,gastric adenocarcinoma,EFO_0000503
CDKN2A,ENSG00000147889,0.5272233699384063,gastric adenocarcinoma,EFO_0000503
BAP1,ENSG00000163930,0.5257095953233873,gastric adenocarcinoma,EFO_0000503
TYMS,ENSG00000176890,0.5240113565099944,gastric adenocarcinoma,EFO_0000503
FAT4,ENSG00000196159,0.5133028111049919,gastric adenocarcinoma,EFO_0000503
ACVR2A,ENSG00000121989,0.5070862305378445,gastric adenocarcinoma,EFO_0000503
UBR5,ENSG00000104517,0.5062566486360123,gastric adenocarcinoma,EFO_0000503
MSH6,ENSG00000116062,0.5054603252081563,gastric adenocarcinoma,EFO_0000503
BCL9,ENSG00000116128,0.49373037683515036,gastric adenocarcinoma,EFO_0000503
ATM,ENSG00000149311,0.49365328663107705,gastric adenocarcinoma,EFO_0000503
BAX,ENSG00000087088,0.48649527444410456,gastric adenocarcinoma,EFO_0000503
TRRAP,ENSG00000196367,0.48321026083963575,gastric adenocarcinoma,EFO_0000503
