gene_symbol,ensembl_id,score,disease_name,efo_id
RET,ENSG00000165731,0.9173738486071406,thyroid carcinoma,EFO_0002892
HRAS,ENSG00000174775,0.7816952500214567,thyroid carcinoma,EFO_0002892
BRAF,ENSG00000157764,0.7590666644785821,thyroid carcinoma,EFO_0002892
NRAS,ENSG00000213281,0.7457046408127985,thyroid carcinoma,EFO_0002892
PTEN,ENSG00000171862,0.7344894729635748,thyroid carcinoma,EFO_0002892
SRGAP1,ENSG00000196935,0.6847175793274237,thyroid carcinoma,EFO_0002892
NTRK1,ENSG00000198400,0.6816207422121724,thyroid carcinoma,EFO_0002892
KDR,ENSG00000128052,0.6772967834549725,thyroid carcinoma,EFO_0002892
CCDC6,ENSG00000108091,0.6711133533002062,thyroid carcinoma,EFO_0002892
FLT4,ENSG00000037280,0.6647177494152758,thyroid carcinoma,EFO_0002892
TP53,ENSG00000141510,0.6593977458379682,thyroid carcinoma,EFO_0002892
NKX2-1,ENSG00000136352,0.6576550397926919,thyroid carcinoma,EFO_0002892
FOXE1,ENSG00000178919,0.6487083078813993,thyroid carcinoma,EFO_0002892
EGFR,ENSG00000146648,0.6335522572770156,thyroid carcinoma,EFO_0002892
ERBB2,ENSG00000141736,0.6286006007646104,thyroid carcinoma,EFO_0002892
NRG1,ENSG00000157168,0.6264172075850185,thyroid carcinoma,EFO_0002892
SRC,ENSG00000197122,0.6215583220282507,thyroid carcinoma,EFO_0002892
MINPP1,ENSG00000107789,0.6198482448815411,thyroid carcinoma,EFO_0002892
ERBB4,ENSG00000178568,0.6161885364820726,thyroid carcinoma,EFO_0002892
ERBB3,ENSG00000065361,0.6101321475567072,thyroid carcinoma,EFO_0002892
PTK6,ENSG00000101213,0.6086971572688029,thyroid carcinoma,EFO_0002892
CDKN1B,ENSG00000111276,0.6000444446269606,thyroid carcinoma,EFO_0002892
MET,ENSG00000105976,0.5983882757224287,thyroid carcinoma,EFO_0002892
KIF5B,ENSG00000170759,0.5967454223513945,thyroid carcinoma,EFO_0002892
EPHA3,ENSG00000044524,0.5864877178763441,thyroid carcinoma,EFO_0002892
EPHA7,ENSG00000135333,0.5820668755173553,thyroid carcinoma,EFO_0002892
FLT1,ENSG00000102755,0.5807195583295893,thyroid carcinoma,EFO_0002892
PAX8,ENSG00000125618,0.5592984146083619,thyroid carcinoma,EFO_0002892
THRB,ENSG00000151090,0.5549450478986119,thyroid carcinoma,EFO_0002892
CHEK2,ENSG00000183765,0.5544794106259721,thyroid carcinoma,EFO_0002892
NCOA4,ENSG00000266412,0.542026453081541,thyroid carcinoma,EFO_0002892
TEK,ENSG00000120156,0.5418877526696846,thyroid carcinoma,EFO_0002892
STRN,ENSG00000115808,0.5406333951370976,thyroid carcinoma,EFO_0002892
PPARG,ENSG00000132170,0.538540621555545,thyroid carcinoma,EFO_0002892
PRKAR1A,ENSG00000108946,0.5378883285227631,thyroid carcinoma,EFO_0002892
EML4,ENSG00000143924,0.5376181391330848,thyroid carcinoma,EFO_0002892
EPHB2,ENSG00000133216,0.5357689077921073,thyroid carcinoma,EFO_0002892
THRA,ENSG00000126351,0.5351076664348485,thyroid carcinoma,EFO_0002892
EPHA5,ENSG00000145242,0.5323891833834866,thyroid carcinoma,EFO_0002892
EPHB3,ENSG00000182580,0.5296483349740307,thyroid carcinoma,EFO_0002892
EPHB4,ENSG00000196411,0.5291457608448807,thyroid carcinoma,EFO_0002892
EPHA2,ENSG00000142627,0.5268367363342569,thyroid carcinoma,EFO_0002892
EPHB1,ENSG00000154928,0.5255446158052612,thyroid carcinoma,EFO_0002892
EPHA1,ENSG00000146904,0.5247511997200027,thyroid carcinoma,EFO_0002892
EPHA8,ENSG00000070886,0.5242099360436848,thyroid carcinoma,EFO_0002892
EPHA10,ENSG00000183317,0.5229084335001165,thyroid carcinoma,EFO_0002892
EPHA4,ENSG00000116106,0.5226774460909386,thyroid carcinoma,EFO_0002892
EPHB6,ENSG00000106123,0.5226774460909386,thyroid carcinoma,EFO_0002892
EPHA6,ENSG00000080224,0.5217534964542269,thyroid carcinoma,EFO_0002892
KRAS,ENSG00000133703,0.5201368676663994,thyroid carcinoma,EFO_0002892
HABP2,ENSG00000148702,0.5163067894624178,thyroid carcinoma,EFO_0002892
PDGFRB,ENSG00000113721,0.5148898288241851,thyroid carcinoma,EFO_0002892
NTRK3,ENSG00000140538,0.5139086491898709,thyroid carcinoma,EFO_0002892
FLT3,ENSG00000122025,0.513244729573858,thyroid carcinoma,EFO_0002892
RAF1,ENSG00000132155,0.5112091219252488,thyroid carcinoma,EFO_0002892
KIT,ENSG00000157404,0.5111973814670447,thyroid carcinoma,EFO_0002892
TSHR,ENSG00000165409,0.5098284273494518,thyroid carcinoma,EFO_0002892
MEN1,ENSG00000133895,0.5077650570087857,thyroid carcinoma,EFO_0002892
ZFHX3,ENSG00000140836,0.5042909188510433,thyroid carcinoma,EFO_0002892
TFG,ENSG00000114354,0.49592622490877925,thyroid carcinoma,EFO_0002892
TPM3,ENSG00000143549,0.4944407991946601,thyroid carcinoma,EFO_0002892
RINT1,ENSG00000135249,0.4933798665077097,thyroid carcinoma,EFO_0002892
AFF3,ENSG00000144218,0.48928461380369764,thyroid carcinoma,EFO_0002892
TPR,ENSG00000047410,0.48721714495342416,thyroid carcinoma,EFO_0002892
AKT1,ENSG00000142208,0.48295028116126687,thyroid carcinoma,EFO_0002892
DNMT3A,ENSG00000119772,0.48191626970904416,thyroid carcinoma,EFO_0002892
CRTC1,ENSG00000105662,0.48122376912070547,thyroid carcinoma,EFO_0002892
ETV6,ENSG00000139083,0.4804644133353891,thyroid carcinoma,EFO_0002892
TERT,ENSG00000164362,0.47108119794563297,thyroid carcinoma,EFO_0002892
MAML2,ENSG00000184384,0.4696743986618085,thyroid carcinoma,EFO_0002892
ALK,ENSG00000171094,0.46925629704550365,thyroid carcinoma,EFO_0002892
PIK3CA,ENSG00000121879,0.4645866648695703,thyroid carcinoma,EFO_0002892
MAP2K1,ENSG00000169032,0.4626966260891785,thyroid carcinoma,EFO_0002892
WRN,ENSG00000165392,0.4618031462320191,thyroid carcinoma,EFO_0002892
PTPRT,ENSG00000196090,0.4601474512966029,thyroid carcinoma,EFO_0002892
KMT2C,ENSG00000055609,0.4597117438539298,thyroid carcinoma,EFO_0002892
CAMTA1,ENSG00000171735,0.45940829158723345,thyroid carcinoma,EFO_0002892
SMAD3,ENSG00000166949,0.45878065424444564,thyroid carcinoma,EFO_0002892
ATM,ENSG00000149311,0.4560401619016045,thyroid carcinoma,EFO_0002892
