gene_symbol,ensembl_id,score,disease_name,efo_id
TP53,ENSG00000141510,0.38191858823104674,Thymoma,EFO_1000581
EGFR,ENSG00000146648,0.3781782849127274,Thymoma,EFO_1000581
HRAS,ENSG00000174775,0.37223853800068607,Thymoma,EFO_1000581
PIK3CA,ENSG00000121879,0.3663729599551953,Thymoma,EFO_1000581
TET2,ENSG00000168769,0.3267785550609896,Thymoma,EFO_1000581
KMT2D,ENSG00000167548,0.3252302721225375,Thymoma,EFO_1000581
CDKN2A,ENSG00000147889,0.2867767230529237,Thymoma,EFO_1000581
APC,ENSG00000134982,0.2855371558959128,Thymoma,EFO_1000581
BCOR,ENSG00000183337,0.2805143435294172,Thymoma,EFO_1000581
RET,ENSG00000165731,0.2546199876636104,Thymoma,EFO_1000581
ALK,ENSG00000171094,0.25403225303359095,Thymoma,EFO_1000581
CDH1,ENSG00000039068,0.2442516015798808,Thymoma,EFO_1000581
BRCA2,ENSG00000139618,0.2363642827582473,Thymoma,EFO_1000581
PPP2R1A,ENSG00000105568,0.2309874091779386,Thymoma,EFO_1000581
HOXA13,ENSG00000106031,0.2309874091779386,Thymoma,EFO_1000581
PDGFRA,ENSG00000134853,0.20947480461673784,Thymoma,EFO_1000581
FLT4,ENSG00000037280,0.2087692721114305,Thymoma,EFO_1000581
GTF2I,ENSG00000263001,0.20848764984233162,Thymoma,EFO_1000581
SRC,ENSG00000197122,0.2061411487003393,Thymoma,EFO_1000581
NTRK1,ENSG00000198400,0.20442513084514763,Thymoma,EFO_1000581
PIK3R1,ENSG00000145675,0.20367956435956897,Thymoma,EFO_1000581
AKT1,ENSG00000142208,0.20299481125558239,Thymoma,EFO_1000581
MTOR,ENSG00000198793,0.2028514581358316,Thymoma,EFO_1000581
SETD2,ENSG00000181555,0.1937466092787529,Thymoma,EFO_1000581
ERG,ENSG00000157554,0.19312087323336855,Thymoma,EFO_1000581
DNMT3A,ENSG00000119772,0.19259771436507997,Thymoma,EFO_1000581
ASXL1,ENSG00000171456,0.19077272908478285,Thymoma,EFO_1000581
KRAS,ENSG00000133703,0.18927991298846603,Thymoma,EFO_1000581
