gene_symbol,ensembl_id,score,disease_name,efo_id
TP53,ENSG00000141510,0.5680025557963698,Uterine Carcinosarcoma,EFO_1000613
PTEN,ENSG00000171862,0.509484101370134,Uterine Carcinosarcoma,EFO_1000613
PIK3CA,ENSG00000121879,0.5054730500262474,Uterine Carcinosarcoma,EFO_1000613
FBXW7,ENSG00000109670,0.46352126657364373,Uterine Carcinosarcoma,EFO_1000613
PPP2R1A,ENSG00000105568,0.4623854626388602,Uterine Carcinosarcoma,EFO_1000613
KRAS,ENSG00000133703,0.43938340563613754,Uterine Carcinosarcoma,EFO_1000613
ARID1A,ENSG00000117713,0.4393768353276098,Uterine Carcinosarcoma,EFO_1000613
CHD4,ENSG00000111642,0.4388760774380833,Uterine Carcinosarcoma,EFO_1000613
ESR1,ENSG00000091831,0.3716961767875458,Uterine Carcinosarcoma,EFO_1000613
AFF3,ENSG00000144218,0.37050380432141355,Uterine Carcinosarcoma,EFO_1000613
ARHGAP26,ENSG00000145819,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
FGFR2,ENSG00000066468,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
FHIT,ENSG00000189283,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
ABI1,ENSG00000136754,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
ERBB4,ENSG00000178568,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
CAMTA1,ENSG00000171735,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
MLF1,ENSG00000178053,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
GPC3,ENSG00000147257,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
LPP,ENSG00000145012,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
CUX1,ENSG00000257923,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
YWHAE,ENSG00000108953,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
RAP1GDS1,ENSG00000138698,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
PTPRT,ENSG00000196090,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
FOXP1,ENSG00000114861,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
RAD51B,ENSG00000182185,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
NRG1,ENSG00000157168,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
NUTM2B,ENSG00000188199,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
NFATC2,ENSG00000101096,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
CBLB,ENSG00000114423,0.3695798546847018,Uterine Carcinosarcoma,EFO_1000613
SPOP,ENSG00000121067,0.36021220248897107,Uterine Carcinosarcoma,EFO_1000613
ATM,ENSG00000149311,0.3474050634036197,Uterine Carcinosarcoma,EFO_1000613
ERBB3,ENSG00000065361,0.3405813812644632,Uterine Carcinosarcoma,EFO_1000613
PDGFRB,ENSG00000113721,0.33226963398015424,Uterine Carcinosarcoma,EFO_1000613
RB1,ENSG00000139687,0.33219508369728373,Uterine Carcinosarcoma,EFO_1000613
KMT2D,ENSG00000167548,0.3277017509405523,Uterine Carcinosarcoma,EFO_1000613
BCOR,ENSG00000183337,0.32070243857632363,Uterine Carcinosarcoma,EFO_1000613
NF1,ENSG00000196712,0.3205305482641838,Uterine Carcinosarcoma,EFO_1000613
U2AF1,ENSG00000160201,0.3185624982986189,Uterine Carcinosarcoma,EFO_1000613
LRP1B,ENSG00000168702,0.3156971032223123,Uterine Carcinosarcoma,EFO_1000613
PIK3R1,ENSG00000145675,0.3119757882016093,Uterine Carcinosarcoma,EFO_1000613
HIP1,ENSG00000127946,0.3118953381678012,Uterine Carcinosarcoma,EFO_1000613
KIT,ENSG00000157404,0.3074897982225523,Uterine Carcinosarcoma,EFO_1000613
KDR,ENSG00000128052,0.30474425545522305,Uterine Carcinosarcoma,EFO_1000613
FLT4,ENSG00000037280,0.30423095010149426,Uterine Carcinosarcoma,EFO_1000613
POLE,ENSG00000177084,0.3015597774814037,Uterine Carcinosarcoma,EFO_1000613
FGFR1,ENSG00000077782,0.30123495785356413,Uterine Carcinosarcoma,EFO_1000613
RAF1,ENSG00000132155,0.3011459849255845,Uterine Carcinosarcoma,EFO_1000613
PDGFRA,ENSG00000134853,0.30077640507089975,Uterine Carcinosarcoma,EFO_1000613
BRAF,ENSG00000157764,0.30069427621430317,Uterine Carcinosarcoma,EFO_1000613
RET,ENSG00000165731,0.30069427621430317,Uterine Carcinosarcoma,EFO_1000613
ABL1,ENSG00000097007,0.3002836319313202,Uterine Carcinosarcoma,EFO_1000613
FLT3,ENSG00000122025,0.3002836319313202,Uterine Carcinosarcoma,EFO_1000613
TUBB,ENSG00000196230,0.29711334283487734,Uterine Carcinosarcoma,EFO_1000613
TUBB1,ENSG00000101162,0.29711334283487734,Uterine Carcinosarcoma,EFO_1000613
TUBB8,ENSG00000261456,0.29711334283487734,Uterine Carcinosarcoma,EFO_1000613
TUBB2B,ENSG00000137285,0.29711334283487734,Uterine Carcinosarcoma,EFO_1000613
TUBB4B,ENSG00000188229,0.29711334283487734,Uterine Carcinosarcoma,EFO_1000613
TUBB2A,ENSG00000137267,0.29711334283487734,Uterine Carcinosarcoma,EFO_1000613
TUBB3,ENSG00000258947,0.29711334283487734,Uterine Carcinosarcoma,EFO_1000613
TUBB6,ENSG00000176014,0.29711334283487734,Uterine Carcinosarcoma,EFO_1000613
TUBB4A,ENSG00000104833,0.29711334283487734,Uterine Carcinosarcoma,EFO_1000613
MET,ENSG00000105976,0.2960745280307444,Uterine Carcinosarcoma,EFO_1000613
WNT1,ENSG00000125084,0.29597247189253617,Uterine Carcinosarcoma,EFO_1000613
ERBB2,ENSG00000141736,0.28821603638123855,Uterine Carcinosarcoma,EFO_1000613
ZBTB7B,ENSG00000160685,0.2845301623172571,Uterine Carcinosarcoma,EFO_1000613
CDH1,ENSG00000039068,0.28224608180129185,Uterine Carcinosarcoma,EFO_1000613
ALK,ENSG00000171094,0.2802210921808319,Uterine Carcinosarcoma,EFO_1000613
EGFR,ENSG00000146648,0.28009019931563106,Uterine Carcinosarcoma,EFO_1000613
CDKN2A,ENSG00000147889,0.28008763278886245,Uterine Carcinosarcoma,EFO_1000613
FUBP1,ENSG00000162613,0.2799567399236616,Uterine Carcinosarcoma,EFO_1000613
DICER1,ENSG00000100697,0.27977194999631927,Uterine Carcinosarcoma,EFO_1000613
AKT1,ENSG00000142208,0.2795589282745218,Uterine Carcinosarcoma,EFO_1000613
CTNNB1,ENSG00000168036,0.27949476510530574,Uterine Carcinosarcoma,EFO_1000613
EZH2,ENSG00000106462,0.27940237014163455,Uterine Carcinosarcoma,EFO_1000613
MLH1,ENSG00000076242,0.2793600224499519,Uterine Carcinosarcoma,EFO_1000613
WT1,ENSG00000184937,0.2793048421244261,Uterine Carcinosarcoma,EFO_1000613
EP300,ENSG00000100393,0.27926377769612776,Uterine Carcinosarcoma,EFO_1000613
