gene_symbol,ensembl_id,score,disease_name,efo_id
BAP1,ENSG00000163930,0.8042664084178973,Uveal Melanoma,EFO_1000616
MBD4,ENSG00000129071,0.6902992534245072,Uveal Melanoma,EFO_1000616
GNA11,ENSG00000088256,0.6207031169850051,Uveal Melanoma,EFO_1000616
GNAQ,ENSG00000156052,0.6200921882258624,Uveal Melanoma,EFO_1000616
SF3B1,ENSG00000115524,0.6133502781883321,Uveal Melanoma,EFO_1000616
LRP1B,ENSG00000168702,0.42673270873167624,Uveal Melanoma,EFO_1000616
BRAF,ENSG00000157764,0.4235672078260952,Uveal Melanoma,EFO_1000616
CLPTM1L,ENSG00000049656,0.396493071952183,Uveal Melanoma,EFO_1000616
FGFR4,ENSG00000160867,0.39460349067897843,Uveal Melanoma,EFO_1000616
TDP1,ENSG00000042088,0.38849783927909576,Uveal Melanoma,EFO_1000616
TSC2,ENSG00000103197,0.377279434990633,Uveal Melanoma,EFO_1000616
CHEK2,ENSG00000183765,0.377279434990633,Uveal Melanoma,EFO_1000616
BRCA2,ENSG00000139618,0.3673829077707427,Uveal Melanoma,EFO_1000616
DICER1,ENSG00000100697,0.367013327916058,Uveal Melanoma,EFO_1000616
FBXW7,ENSG00000109670,0.367013327916058,Uveal Melanoma,EFO_1000616
CDKN2A,ENSG00000147889,0.3592195617811103,Uveal Melanoma,EFO_1000616
HERC2,ENSG00000128731,0.35723440795675687,Uveal Melanoma,EFO_1000616
MTOR,ENSG00000198793,0.35601832723918814,Uveal Melanoma,EFO_1000616
ATM,ENSG00000149311,0.347589853330962,Uveal Melanoma,EFO_1000616
IRF4,ENSG00000137265,0.3466945055508804,Uveal Melanoma,EFO_1000616
MAP2K2,ENSG00000126934,0.3441366759506864,Uveal Melanoma,EFO_1000616
SRSF2,ENSG00000161547,0.34391458699826416,Uveal Melanoma,EFO_1000616
EIF1AX,ENSG00000173674,0.34346763196976987,Uveal Melanoma,EFO_1000616
PLCB4,ENSG00000101333,0.3400134663099256,Uveal Melanoma,EFO_1000616
