"","Estimate","Std. Error","Pr(>|z|)"
"A1BG","0.154085179435207","0.243175513821331","0.526317274800056"
"AAAS","0.0155498350230873","0.60854432171376","0.979614265011767"
"AAGAB","-0.0416140246409116","0.58893465217641","0.943668488880758"
"AAK1","0.11695096527841","0.555590087997058","0.833278502672586"
"AAMP","-0.268766982573996","0.579517463603235","0.642807385136826"
"AASDH","0.297640891319206","0.434313117463912","0.493145753443618"
"ABAT","-0.405673751928472","0.244496103222645","0.097070704712041"
"ABCE1","0.725730949142164","0.527365254417634","0.168776809897804"
"ABCG1","-0.128205723541402","0.288794935669463","0.657090721145535"
"ABCG2","0.0317768272235575","0.203116993552041","0.875681534903526"
"ABCG4","0.312488971137499","0.270305680596245","0.247657544870284"
"ABCG5","-0.0494065253827101","0.303076874491347","0.870505458727991"
"ABI1","0.409331331749415","0.448386159798149","0.361295599170659"
"ABI2","-0.83369435434391","0.437460986780867","0.0566817352875435"
"ABI3","0.363869261048116","0.278790644931449","0.191834875520032"
"ABLIM1","-0.21695862413095","0.286140317131339","0.448316543791811"
"ABLIM2","0.321436121189653","0.223230965229926","0.149888272439316"
"ABLIM3","0.0181196068963876","0.194080785462803","0.925616647041718"
"ACACA","0.162609381751878","0.462138373360703","0.724941029288928"
"ACACB","-0.118777496737402","0.227877668009428","0.602204051880156"
"ACADVL","-0.0369395043467287","0.457584790557953","0.935658964996949"
"ACAT1","0.271208356253555","0.39877296955235","0.496436604127526"
"ACAT2","-0.52842462933978","0.266056984265347","0.0470185274429983"
"ACBD3","-0.824738541649098","0.508706106613054","0.104964553380856"
"ACBD4","0.128298506428984","0.294475249174926","0.663065148627031"
"ACBD5","0.233904142285841","0.3971134961889","0.555854021654222"
"ACBD6","0.228632102409753","0.459072958614721","0.618462902196697"
"ACBD7","0.419036960278866","0.206698842653749","0.0426335233383468"
"ACD","-0.144153445379414","0.440474943206198","0.743465035884096"
"ACE","-0.187137022480472","0.343552026621754","0.585951388150171"
"ACHE","0.0403737145223222","0.171093252701293","0.813452141107985"
"ACOT1","0.384305772343571","0.420402777534148","0.360644814663116"
"ACOT11","-0.33475314964191","0.217649749824356","0.124039813892071"
"ACOT12","0.315572762354576","0.947931677794536","0.739204747078228"
"ACOT13","-0.550393034204541","0.559878446797281","0.325578851506875"
"ACOT2","-0.0158430545835692","0.429962418789219","0.970606573595424"
"ACOT4","-0.379821634885145","0.32263018608209","0.23908924633907"
"ACOT6","-0.0186564126194482","0.406708482211579","0.963412504407209"
"ACOT7","0.0893176266489581","0.397657743831816","0.822283231017485"
"ACOT8","0.158709884132766","0.50323430898136","0.752473379934382"
"ACOT9","-0.0154413892773925","0.271784487943921","0.954692700980149"
"ACOX1","-1.14103981992052","0.597316374220798","0.0560975384553734"
"ACOX2","-0.232833146625533","0.207705134529439","0.262296693547536"
"ACOX3","0.0643539931285879","0.383494939078126","0.866733355459469"
"ACOXL","0.0858659622042857","0.217426086484468","0.692901752405181"
"ACR","0.0689920578231116","0.215870590925321","0.749272217215481"
"ACSS1","-0.0439922300030525","0.239595409521926","0.854319034978131"
"ACSS2","-1.26946433081441","0.45922000219508","0.00570288945394535"
"ACSS3","0.0710306192944827","0.169266336385543","0.674749784002329"
"ACTL8","0.221939327434369","0.0878098802314139","0.0114878363660393"
"ACTL9","-46.0352171963969","5058.98682374997","0.992739597190412"
"ACTN1","0.00746627397049812","0.336284161285198","0.9822866015622"
"ACTN2","0.0365983299216722","0.126269818575732","0.771936914023513"
"ACTN3","-0.34129076115629","0.378768864671841","0.367560225861392"
"ACTN4","0.204812719202234","0.408342943160753","0.615969769494886"
"ACTR2","0.176761202116959","0.588801764016948","0.764020832166833"
"ACTR3","0.137246233366512","0.573498607770615","0.810862127176579"
"ACTR5","-0.0179813710564013","0.567345672373423","0.974716196014692"
"ACTR6","0.111381011777872","0.514225486836098","0.828520432322606"
"ACTR8","0.629279445136544","0.694878855387143","0.365149777642899"
"ACTRT1","-40.8106998386918","4679.61248989511","0.993041771164172"
"ACTRT2","-33.0786102529516","3501.07664410433","0.99246159897879"
"ADAM10","-0.00946275256159781","0.357912280032372","0.978907388543991"
"ADAM11","-0.0562035583706556","0.182098566276881","0.757592645469947"
"ADAM12","0.203619222191772","0.21493483185765","0.343458779502709"
