"","coef","exp(coef)","se(coef)","Pr(>|z|)"
"A1BG","0.121767424752771","1.12949137949332","0.2559573101858","0.634264369125021"
"AAAS","0.704437984889086","2.02270957207048","0.559771070649156","0.208232880925494"
"AAGAB","-0.02942008298893","0.97100847463551","0.528242419662255","0.955585353675514"
"AAK1","0.173778883757476","1.18979245429544","0.529024285689025","0.742541638245357"
"AAMP","-0.488282268634321","0.613679626082911","0.525734558323602","0.353012452765629"
"AASDH","-0.284707530826416","0.752234227472982","0.451452702832666","0.528271015462483"
"ABAT","-0.543483639154166","0.580721699683624","0.224098029017407","0.0152997485590302"
"ABCE1","0.592462808091833","1.808436768136","0.5583579399317","0.288653248941355"
"ABCG1","-0.225569359363674","0.798061705476156","0.280477245829139","0.421261800928866"
"ABCG2","-0.139000358380848","0.870227716585248","0.217314826021115","0.522415339753123"
"ABCG4","0.488069708099288","1.62916841224786","0.273115152871957","0.0739298371795385"
"ABCG5","0.151903517142971","1.16404792034484","0.249835670660379","0.54317836998266"
"ABI1","0.825454712145846","2.28291860016884","0.520213622953573","0.112566774577257"
"ABI2","-0.710929083416519","0.491187631117228","0.416853640852816","0.0881078289528294"
"ABI3","-0.318195308605476","0.727460695205115","0.245624959803789","0.19516440129872"
"ABLIM1","-0.421348878529856","0.656161140937598","0.323526176598001","0.192791948019912"
"ABLIM2","0.353457428146579","1.42398236409248","0.199821788438699","0.0769166900019915"
"ABLIM3","-0.185390837310258","0.830779520758182","0.200487894487971","0.355122806593522"
"ACACA","0.0487132099968631","1.04991920122774","0.398659350372586","0.902746511793952"
"ACACB","-0.261441570513481","0.769940861359255","0.265456714984394","0.324685681381494"
"ACADVL","0.282755702689609","1.32678099319389","0.425696397905445","0.506550053912124"
"ACAT1","0.358173360452251","1.43071362814353","0.423479245843022","0.397671421394646"
"ACAT2","-0.445605407246907","0.640436433784714","0.249446162242641","0.0740378995873476"
"ACBD3","-0.870859330303947","0.418591686128272","0.495527358510964","0.0788429333993746"
"ACBD4","0.290783156014629","1.33747452919561","0.325861792601634","0.372204728388372"
"ACBD5","0.39421377576817","1.48321759076542","0.344038792870325","0.251860921568373"
"ACBD6","0.298115370304141","1.34731721931066","0.448912271177321","0.506636673178513"
"ACBD7","0.202091037480049","1.22395942922165","0.16959066003357","0.233402379649981"
"ACD","0.166340448752177","1.18097509478775","0.498853288837912","0.738797924831361"
"ACE","-0.265194254520279","0.767056931226339","0.280131743988936","0.343803438482097"
"ACHE","-0.0931237713349983","0.911080727639322","0.177176093479548","0.599166091612091"
"ACOT1","0.353171270876076","1.42357493948247","0.369158093076464","0.338721811991666"
"ACOT11","-0.285411563917289","0.751704816068195","0.197302290690584","0.148017408768142"
"ACOT12","0.691818221247994","1.99734384672684","0.650085662242648","0.287240155684637"
"ACOT13","-0.162360335600041","0.850134815503249","0.507734919487244","0.749139793739232"
"ACOT2","-0.0470396624067625","0.954049556938352","0.409576532637353","0.908564408595909"
"ACOT4","-0.124130161881746","0.883264865983202","0.316548764544664","0.694957739553343"
"ACOT6","0.0226529578585386","1.02291148454913","0.355523509084043","0.949195419425976"
"ACOT7","0.0135444392243181","1.01363658067272","0.366839538065531","0.970547220412316"
"ACOT8","0.548562217734045","1.73076276806339","0.47945040628639","0.252562269050774"
"ACOT9","-0.0119081685464366","0.988162453089887","0.391456499332664","0.975731968562421"
"ACOX1","0.03857889747519","1.0393327258512","0.480134674508466","0.935958765964853"
"ACOX2","-0.096454546490051","0.908051170774662","0.192646345036241","0.616594981841478"
"ACOX3","-0.000707950216095266","0.999292300321533","0.388650475570502","0.998546606088584"
"ACOXL","0.0316023452153057","1.03210700140368","0.194002362313232","0.870599766698932"
"ACR","0.198708423630184","1.21982624153467","0.186621473206695","0.286981291170606"
"ACSS1","-0.109714425152879","0.896089999525216","0.224207590430101","0.62459885080393"
"ACSS2","-0.624205552028496","0.535686834834319","0.348683777577137","0.0734255198177612"
"ACSS3","0.0438991693006231","1.04487699389866","0.173027362851266","0.799717834876277"
"ACTL8","0.148673446215273","1.16029402893045","0.0774277434903124","0.0548380344465883"
